event_id,asset,event_start_time,event_end_time,signal_ids,signal_count,first_hand_count,overall_strength,overall_confidence,novelty_score,event_type,urgency,card_type,sent_to_telegram,title,summary,observation_points,created_at
efedc8d09e6e,BTC,2026-05-28 11:00:00,2026-05-28 11:30:00,news_tg_watcher_0001;news_tg_watcher_0003;news_tg_watcher_0001;news_tg_watcher_0003,4,4,100,0.6,1.0,news_context,high,intraday_radar,,【巨鲸仓位】BTC Hyperliquid 多头仓位：3495.99 万美元 | 【巨鲸仓位】BTC Hyperliquid 空头仓位：3437.52 万美元,BTC 在 11:00-11:30 UTC 内 共收到 4 条信号（一手 4 条），涉及类型：news_flash,是否有新的信息源交叉验证,2026-05-29 14:29:04 UTC+8
43057b194c1a,BTC,2026-05-29 06:00:00,2026-05-29 06:30:00,pctl_frontpage_alerts_BTC_funding_rate_percentile_fbaa66404ff04f42;pctl_watchlist_alerts_BTC_funding_price_confirmation_d96e4b83b7df46cc,2,0,98.9,0.6,0.2,market_state_change,medium,review_only,,BTC funding_rate_percentile 分位 98.9% | 核心资产资金费率达到异常分位 | BTC funding_price_confirmation 分位 98.9% | 多头持仓成本偏高，需结合价格变化确认,BTC 在 06:00-06:30 UTC 内 共收到 2 条信号（一手 0 条），涉及类型：funding,是否出现成交量放大或持仓量快速回落,2026-05-29 14:29:04 UTC+8
d58b39d07de4,BTC,2026-05-29 06:00:00,2026-05-29 06:30:00,pctl_digest_context_BTC_percentile_context_75f77ac2f10b4322,1,0,98.9,0.5,0.2,market_state_change,medium,review_only,,BTC percentile_context 分位 98.9% | 分位偏离，进入早晚报观察,BTC 在 06:00-06:30 UTC 内 共收到 1 条信号（一手 0 条），涉及类型：market_state,需要继续确认,2026-05-29 14:29:04 UTC+8
86a0ada4cc7e,BTC,2026-05-29 04:30:00,2026-05-29 05:00:00,market_BTC_price_e9e6bf14eba94c5b;market_BTC_volume_cb1a3922beb44bf8,2,0,51.1,0.6,0.2,market_state_change,medium,review_only,,BTC price 24h变化 +0.44% | BTC volume 24h变化 +10024782226.29%,"BTC 在 04:30-05:00 UTC 内 共收到 2 条信号（一手 0 条），涉及类型：price, volume",价格是否持续朝同一方向运动,2026-05-29 14:29:04 UTC+8
c7b40cf67c30,BTC,2026-05-29 04:00:00,2026-05-29 04:30:00,hl_pos_0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f:BTC;hl_pos_0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:BTC;hl_pos_0x50b309f78e774a756a2230e1769729094cac9f20:BTC,3,3,40.0,0.85,1.0,monitored_liquidation_risk,high,intraday_radar,,"监控地址清算风险 | Unknown Hyperliquid Whale BTC long 仓位 34,887,498USD 距清算15.1% | 监控地址清算风险 | loraclexyz BTC short 仓位 34,303,966USD 距清算167.5% | 监控地址清算风险 | Unknown Hyperliquid Whale BTC short 仓位 11,890,058USD 距清算29.4%",BTC 在 04:00-04:30 UTC 内 共收到 3 条信号（一手 3 条），涉及类型：monitored_liquidation_risk,是否继续接近监控地址清算风险区,2026-05-29 14:29:04 UTC+8
82f14e0cfb1f,BTC,2026-05-28 11:00:00,2026-05-28 11:30:00,watcher_watcher_fh_dbb232d98231d333;watcher_watcher_fh_f03efc9e86591489,2,2,34.0,0.0,0.8,asset_multi_signal,medium,evening_digest,,Unknown Hyperliquid Whale holds large Hyperliquid long position: $34.96M BTC | loraclexyz holds large Hyperliquid short position: $34.38M BTC,BTC 在 11:00-11:30 UTC 内 共收到 2 条信号（一手 2 条），涉及类型：hyperliquid_perp_position_snapshot,需要继续确认,2026-05-29 14:29:04 UTC+8
458ab39dbb73,BTC,2026-05-29 04:30:00,2026-05-29 05:00:00,market_BTC_open_interest_699e0fe6d4de433b,1,0,15.6,0.6,0.2,market_state_change,review,review_only,,BTC open_interest 24h变化 +3.12%,BTC 在 04:30-05:00 UTC 内 共收到 1 条信号（一手 0 条），涉及类型：open_interest,是否出现成交量放大或持仓量快速回落,2026-05-29 14:29:04 UTC+8
d751858e8c3e,ETH,2026-05-28 11:00:00,2026-05-28 11:30:00,news_tg_watcher_0002;news_tg_watcher_0002,2,2,100,0.6,0.8,news_context,medium,review_only,,【巨鲸仓位】ETH Hyperliquid 多头仓位：7952.00 万美元,ETH 在 11:00-11:30 UTC 内 共收到 2 条信号（一手 2 条），涉及类型：news_flash,是否有新的信息源交叉验证,2026-05-29 14:29:04 UTC+8
152f10b5e6b4,ETH,2026-05-29 04:30:00,2026-05-29 05:00:00,market_ETH_price_cf6821515a3a450d;market_ETH_volume_5cf386f3b26d46c9,2,0,52.9,0.6,0.2,market_state_change,medium,review_only,,ETH price 24h变化 +1.14% | ETH volume 24h变化 +7436749363.63%,"ETH 在 04:30-05:00 UTC 内 共收到 2 条信号（一手 0 条），涉及类型：price, volume",价格是否持续朝同一方向运动,2026-05-29 14:29:04 UTC+8
460a3c80cab8,ETH,2026-05-29 04:00:00,2026-05-29 04:30:00,hl_pos_0x6c8512516ce5669d35113a11ca8b8de322fd84f6:ETH,1,1,25.0,0.85,0.5,monitored_liquidation_risk,review,evening_digest,,"监控地址清算风险 | Matrixport Related ETH long 仓位 80,016,000USD 距清算32.2%",ETH 在 04:00-04:30 UTC 内 共收到 1 条信号（一手 1 条），涉及类型：monitored_liquidation_risk,是否继续接近监控地址清算风险区,2026-05-29 14:29:04 UTC+8
ec62094a5a91,ETH,2026-05-28 11:00:00,2026-05-28 11:30:00,watcher_watcher_fh_5c0ab6b52311e31a,1,1,19.0,0.0,0.5,asset_multi_signal,review,review_only,,Matrixport Related holds large Hyperliquid long position: $79.52M ETH,ETH 在 11:00-11:30 UTC 内 共收到 1 条信号（一手 1 条），涉及类型：hyperliquid_perp_position_snapshot,需要继续确认,2026-05-29 14:29:04 UTC+8
