observed_at_utc,observed_at_china,entity,asset_symbol,window_hours,inflow_usd,outflow_usd,net_usd,gross_usd,tx_count
2026-05-25T04:00:00Z,2026-05-25 12:00:00 UTC+8,Binance,UNI,4.0,8114839.45,0.00,8114839.45,8114839.45,1
2026-05-26T20:00:00Z,2026-05-27 04:00:00 UTC+8,Binance,WLD,4.0,0.00,11006123.84,-11006123.84,11006123.84,1
2026-05-27T04:00:00Z,2026-05-27 12:00:00 UTC+8,Binance,TUSD,4.0,266207.55,0.00,266207.55,266207.55,1
2026-05-27T04:00:00Z,2026-05-27 12:00:00 UTC+8,Bitfinex,SHIB,4.0,4.73,0.00,4.73,4.73,1
2026-05-28T00:00:00Z,2026-05-28 08:00:00 UTC+8,Binance,USDT,4.0,503584464.42,0.00,503584464.42,503584464.42,1
2026-05-28T03:39:56Z,2026-05-28 11:39:56 UTC+8,Binance,LINK,4.0,13631.70,89.35,13542.35,13721.05,2
2026-05-28T03:39:56Z,2026-05-28 11:39:56 UTC+8,Binance,ONDO,4.0,18630.70,0.00,18630.70,18630.70,1
2026-05-28T03:39:56Z,2026-05-28 11:39:56 UTC+8,Binance,UNI,4.0,0.00,130821.03,-130821.03,130821.03,2
2026-05-28T03:39:56Z,2026-05-28 11:39:56 UTC+8,Binance,USDT,4.0,799999.79,121968.55,678031.24,921968.34,14
2026-05-28T03:39:56Z,2026-05-28 11:39:56 UTC+8,Binance,WLD,4.0,0.00,20.48,-20.48,20.48,1
2026-05-28T04:34:21Z,2026-05-28 12:34:21 UTC+8,Binance,AAVE,4.0,14208.48,44383.35,-30174.87,58591.83,3
2026-05-28T04:34:21Z,2026-05-28 12:34:21 UTC+8,Binance,LDO,4.0,6242.30,0.00,6242.30,6242.30,1
2026-05-28T04:34:21Z,2026-05-28 12:34:21 UTC+8,Binance,LINK,4.0,12902.50,89791.34,-76888.85,102693.84,5
2026-05-28T04:34:21Z,2026-05-28 12:34:21 UTC+8,Binance,ONDO,4.0,121865.89,206058.25,-84192.37,327924.14,11
2026-05-28T04:34:21Z,2026-05-28 12:34:21 UTC+8,Binance,TUSD,4.0,266207.55,0.00,266207.55,266207.55,1
2026-05-28T04:34:21Z,2026-05-28 12:34:21 UTC+8,Binance,UNI,4.0,0.00,14798.44,-14798.44,14798.44,2
2026-05-28T04:34:21Z,2026-05-28 12:34:21 UTC+8,Binance,USDT,4.0,505096283.58,2192963.11,502903320.47,507289246.69,101
2026-05-28T04:34:21Z,2026-05-28 12:34:21 UTC+8,Binance,WBTC,4.0,0.00,219258.90,-219258.90,219258.90,1
2026-05-28T04:34:21Z,2026-05-28 12:34:21 UTC+8,Binance,WLD,4.0,1367973.77,13360.10,1354613.67,1381333.86,2
2026-05-28T04:34:21Z,2026-05-28 12:34:21 UTC+8,Bitfinex,SHIB,4.0,4.72,0.00,4.72,4.72,1
2026-05-28T04:39:18Z,2026-05-28 12:39:18 UTC+8,Binance,AAVE,4.0,0.00,2573.78,-2573.78,2573.78,1
2026-05-28T04:39:18Z,2026-05-28 12:39:18 UTC+8,Binance,LDO,4.0,13147.52,0.00,13147.52,13147.52,2
2026-05-28T04:39:18Z,2026-05-28 12:39:18 UTC+8,Binance,LINK,4.0,170511.60,92245.33,78266.27,262756.93,3
2026-05-28T04:39:18Z,2026-05-28 12:39:18 UTC+8,Binance,ONDO,4.0,121661.47,182233.10,-60571.63,303894.57,12
2026-05-28T04:39:18Z,2026-05-28 12:39:18 UTC+8,Binance,SHIB,4.0,80674.51,2.42,80672.09,80676.92,2
2026-05-28T04:39:18Z,2026-05-28 12:39:18 UTC+8,Binance,TUSD,4.0,266207.55,0.00,266207.55,266207.55,1
2026-05-28T04:39:18Z,2026-05-28 12:39:18 UTC+8,Binance,UNI,4.0,0.00,17400.67,-17400.67,17400.67,2
2026-05-28T04:39:18Z,2026-05-28 12:39:18 UTC+8,Binance,USDT,4.0,504661919.40,2902918.25,501759001.15,507564837.64,72
2026-05-28T04:39:18Z,2026-05-28 12:39:18 UTC+8,Binance,WBTC,4.0,0.00,219268.26,-219268.26,219268.26,1
2026-05-28T04:39:18Z,2026-05-28 12:39:18 UTC+8,Binance,WLD,4.0,12935.01,13426.53,-491.51,26361.54,2
2026-05-28T04:39:18Z,2026-05-28 12:39:18 UTC+8,Bitfinex,SHIB,4.0,4.73,0.00,4.73,4.73,1
2026-05-28T04:48:56Z,2026-05-28 12:48:56 UTC+8,Binance,AAVE,4.0,28019.08,11395.50,16623.58,39414.58,2
2026-05-28T04:48:56Z,2026-05-28 12:48:56 UTC+8,Binance,LDO,4.0,0.00,1226.70,-1226.70,1226.70,1
2026-05-28T04:48:56Z,2026-05-28 12:48:56 UTC+8,Binance,LINK,4.0,0.00,18483.22,-18483.22,18483.22,1
2026-05-28T04:48:56Z,2026-05-28 12:48:56 UTC+8,Binance,ONDO,4.0,0.00,22096.37,-22096.37,22096.37,7
2026-05-28T04:48:56Z,2026-05-28 12:48:56 UTC+8,Binance,SHIB,4.0,15104.07,2.42,15101.65,15106.49,2
2026-05-28T04:48:56Z,2026-05-28 12:48:56 UTC+8,Binance,TUSD,4.0,266207.55,0.00,266207.55,266207.55,1
2026-05-28T04:48:56Z,2026-05-28 12:48:56 UTC+8,Binance,UNI,4.0,47.55,84174.76,-84127.21,84222.31,3
2026-05-28T04:48:56Z,2026-05-28 12:48:56 UTC+8,Binance,USDT,4.0,545878892.45,3177799.14,542701093.31,549056691.59,90
2026-05-28T04:48:56Z,2026-05-28 12:48:56 UTC+8,Binance,WETH,4.0,3960.02,0.00,3960.02,3960.02,1
2026-05-28T04:48:56Z,2026-05-28 12:48:56 UTC+8,Binance,WLD,4.0,0.00,13509.56,-13509.56,13509.56,1
2026-05-28T04:48:56Z,2026-05-28 12:48:56 UTC+8,Bitfinex,SHIB,4.0,4.72,0.00,4.72,4.72,1
2026-05-28T12:00:00Z,2026-05-28 20:00:00 UTC+8,Binance,FDUSD,4.0,8786046.95,18489228.86,-9703181.91,27275275.81,2
2026-05-28T12:00:00Z,2026-05-28 20:00:00 UTC+8,Binance,USDT,4.0,0.00,500000000.00,-500000000.00,500000000.00,1
2026-05-28T16:00:00Z,2026-05-29 00:00:00 UTC+8,Binance,UNI,4.0,0.00,15868606.79,-15868606.79,15868606.79,1
2026-05-30T16:00:00Z,2026-05-31 00:00:00 UTC+8,Binance,UNI,4.0,923864.44,0.00,923864.44,923864.44,1
2026-05-30T20:00:00Z,2026-05-31 04:00:00 UTC+8,Binance,UNI,4.0,9110314.38,0.00,9110314.38,9110314.38,1
2026-05-31T20:00:00Z,2026-06-01 04:00:00 UTC+8,Binance,AAVE,4.0,0.00,6180.77,-6180.77,6180.77,1
2026-05-31T20:00:00Z,2026-06-01 04:00:00 UTC+8,Binance,FDUSD,4.0,2256862.28,0.00,2256862.28,2256862.28,2
2026-05-31T20:00:00Z,2026-06-01 04:00:00 UTC+8,Binance,LDO,4.0,0.00,62991.03,-62991.03,62991.03,1
2026-05-31T20:00:00Z,2026-06-01 04:00:00 UTC+8,Binance,LINK,4.0,0.00,328289.27,-328289.27,328289.27,1
2026-05-31T20:00:00Z,2026-06-01 04:00:00 UTC+8,Binance,ONDO,4.0,0.00,119.03,-119.03,119.03,1
2026-05-31T20:00:00Z,2026-06-01 04:00:00 UTC+8,Binance,UNI,4.0,0.00,123.88,-123.88,123.88,1
2026-05-31T20:00:00Z,2026-06-01 04:00:00 UTC+8,Binance,USDT,4.0,0.00,6271.65,-6271.65,6271.65,23
2026-05-31T20:00:00Z,2026-06-01 04:00:00 UTC+8,Binance,WLD,4.0,0.00,18356.89,-18356.89,18356.89,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,AAVE,4.0,0.00,1837.94,-1837.94,1837.94,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,BNB,4.0,2682.32,0.00,2682.32,2682.32,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,BUSD,4.0,89.50,0.00,89.50,89.50,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,FDUSD,4.0,0.00,10000000.00,-10000000.00,10000000.00,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,LDO,4.0,0.00,530.14,-530.14,530.14,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,LINK,4.0,0.00,60401.69,-60401.69,60401.69,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,ONDO,4.0,0.00,3122.93,-3122.93,3122.93,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,SHIB,4.0,0.00,17.50,-17.50,17.50,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,UNI,4.0,0.00,1789.16,-1789.16,1789.16,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,USDP,4.0,1009.12,0.00,1009.12,1009.12,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,USDT,4.0,0.00,203032.56,-203032.56,203032.56,25
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,WBTC,4.0,0.00,14598.60,-14598.60,14598.60,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,WETH,4.0,12000.30,0.00,12000.30,12000.30,1
2026-06-01T00:00:00Z,2026-06-01 08:00:00 UTC+8,Binance,WLD,4.0,0.00,4.73,-4.73,4.73,1
2026-06-01T03:06:05Z,2026-06-01 11:06:05 UTC+8,Binance,AAVE,4.0,1379.59,0.00,1379.59,1379.59,1
2026-06-01T03:06:05Z,2026-06-01 11:06:05 UTC+8,Binance,FDUSD,4.0,2256862.28,0.00,2256862.28,2256862.28,2
2026-06-01T03:06:05Z,2026-06-01 11:06:05 UTC+8,Binance,LDO,4.0,0.00,540.95,-540.95,540.95,1
2026-06-01T03:06:05Z,2026-06-01 11:06:05 UTC+8,Binance,LINK,4.0,0.00,35212.29,-35212.29,35212.29,2
2026-06-01T03:06:05Z,2026-06-01 11:06:05 UTC+8,Binance,ONDO,4.0,6222.06,12034.62,-5812.55,18256.68,3
2026-06-01T03:06:05Z,2026-06-01 11:06:05 UTC+8,Binance,SHIB,4.0,0.00,2989.62,-2989.62,2989.62,1
2026-06-01T03:06:05Z,2026-06-01 11:06:05 UTC+8,Binance,USDT,4.0,770357.49,559049.19,211308.30,1329406.68,119
2026-06-01T03:06:05Z,2026-06-01 11:06:05 UTC+8,Binance,WLD,4.0,9033.94,9265.48,-231.55,18299.42,2
2026-06-01T03:44:01Z,2026-06-01 11:44:01 UTC+8,Binance,BNB,4.0,2707.06,0.00,2707.06,2707.06,1
2026-06-01T03:44:01Z,2026-06-01 11:44:01 UTC+8,Binance,FDUSD,4.0,2256862.28,0.00,2256862.28,2256862.28,2
2026-06-01T03:44:01Z,2026-06-01 11:44:01 UTC+8,Binance,LINK,4.0,0.00,18147.82,-18147.82,18147.82,3
2026-06-01T03:44:01Z,2026-06-01 11:44:01 UTC+8,Binance,ONDO,4.0,3786.78,4158.50,-371.72,7945.28,4
2026-06-01T03:44:01Z,2026-06-01 11:44:01 UTC+8,Binance,SHIB,4.0,0.00,37.27,-37.27,37.27,3
2026-06-01T03:44:01Z,2026-06-01 11:44:01 UTC+8,Binance,USDT,4.0,5152445.16,89849.76,5062595.40,5242294.92,98
