date,date_sort,asset,source,total_net_flow_usd,IBIT,FBTC,BITB,ARKB,BTCO,EZBC,BRRR,HODL,BTCW,MSBT,GBTC,BTC,Total
28 May 2026,2026-05-28,BTC,Farside Investors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27 May 2026,2026-05-27,BTC,Farside Investors,-733400000.0,-527799999.99999994,-60300000.0,-17500000.0,-17400000.0,0.0,0.0,0.0,0.0,0.0,4300000.0,-104800000.0,-9900000.0,-733400000.0
26 May 2026,2026-05-26,BTC,Farside Investors,-333600000.0,-192400000.0,-57700000.0,-28800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41300000.0,-13400000.0,-333600000.0
22 May 2026,2026-05-22,BTC,Farside Investors,-105200000.0,-68900000.0,-36300000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-105200000.0
21 May 2026,2026-05-21,BTC,Farside Investors,-100900000.0,-103700000.0,0.0,0.0,2800000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100900000.0
20 May 2026,2026-05-20,BTC,Farside Investors,-70500000.0,-61500000.0,-10100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1100000.0,0.0,0.0,-70500000.0
19 May 2026,2026-05-19,BTC,Farside Investors,-331100000.0,-325600000.0,-1700000.0,0.0,0.0,0.0,0.0,-3800000.0,0.0,0.0,0.0,0.0,0.0,-331100000.0
18 May 2026,2026-05-18,BTC,Farside Investors,-648600000.0,-448400000.0,-63400000.0,-9200000.0,-109600000.0,-3800000.0,-6600000.0,0.0,-7600000.0,0.0,0.0,0.0,0.0,-648600000.0
15 May 2026,2026-05-15,BTC,Farside Investors,-290400000.0,-136200000.0,-39600000.0,-11600000.0,-52500000.0,0.0,-6900000.0,0.0,0.0,0.0,0.0,-43600000.0,0.0,-290400000.0
14 May 2026,2026-05-14,BTC,Farside Investors,131300000.0,144100000.0,3500000.0,17700000.0,-9500000.0,-5700000.0,-14100000.0,0.0,7500000.0,0.0,6800000.0,-31600000.0,12600000.0,131300000.00000001
13 May 2026,2026-05-13,BTC,Farside Investors,-630400000.0,-284700000.0,-133199999.99999999,-35400000.0,-177100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-630400000.0
12 May 2026,2026-05-12,BTC,Farside Investors,-233200000.0,-32900000.0,-86100000.0,-17500000.0,-85100000.0,0.0,0.0,0.0,0.0,0.0,6000000.0,-17600000.0,0.0,-233200000.0
11 May 2026,2026-05-11,BTC,Farside Investors,27200000.0,-7400000.0,-3600000.0,0.0,0.0,7300000.0,0.0,0.0,4600000.0,0.0,26300000.0,0.0,0.0,27200000.0
08 May 2026,2026-05-08,BTC,Farside Investors,-145700000.0,-27200000.0,-97600000.0,0.0,-26600000.0,0.0,0.0,0.0,0.0,0.0,5700000.0,0.0,0.0,-145700000.0
07 May 2026,2026-05-07,BTC,Farside Investors,-268500000.0,-98000000.0,-129000000.0,0.0,-12600000.0,-10000000.0,0.0,0.0,-5100000.0,0.0,7300000.0,-26800000.0,5700000.0,-268500000.0
06 May 2026,2026-05-06,BTC,Farside Investors,46200000.0,134600000.0,-39000000.0,-25200000.0,0.0,0.0,-7100000.0,0.0,0.0,0.0,0.0,-17100000.0,0.0,46200000.0
05 May 2026,2026-05-05,BTC,Farside Investors,467300000.0,251400000.0,133199999.99999999,14600000.0,92300000.0,0.0,0.0,0.0,-5800000.0,0.0,0.0,-18400000.0,0.0,467300000.0
04 May 2026,2026-05-04,BTC,Farside Investors,532300000.0,335500000.0,184600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12200000.0,0.0,0.0,532299999.99999994
01 May 2026,2026-05-01,BTC,Farside Investors,629800000.0,284400000.0,213400000.0,27300000.0,88500000.0,0.0,0.0,0.0,5500000.0,0.0,4500000.0,0.0,6200000.0,629800000.0
30 Apr 2026,2026-04-30,BTC,Farside Investors,23500000.0,19100000.0,26600000.0,-2900000.0,-6300000.0,-4900000.0,0.0,0.0,-2200000.0,0.0,0.0,-5900000.0,0.0,23500000.0
