candidate_id,raw_id,published_at,published_at_utc,published_at_china,backtest_time,backtest_time_utc,backtest_time_china,source_timezone,source_timezone_assumption,title,content,source,url,primary_asset_symbol,primary_entity,primary_entity_type,detected_entity_names,event_type_l1,event_type_l2,event_scope,publish_decision,research_priority,relevance_score_realtime,impact_score,certainty_score,timeliness_score,entity_quality_score,source_count,duplicate_count,discard_reason,primary_discard_reason,secondary_discard_reasons,tradability_tier,tradability_tier_reason,channel_route,entity_flags,quality_flags,recommended_benchmark,benchmark_reason,manual_decision,manual_event_type_l1,manual_event_type_l2,manual_primary_asset_symbol,manual_notes
cand_00146,2056509658588963032,2026-05-19 06:58:05 UTC+8,2026-05-18T22:58:05Z,2026-05-19 06:58:05 UTC+8,2026-05-19 06:58:05 UTC+8,2026-05-18T22:58:05Z,2026-05-19 06:58:05 UTC+8,Asia/Shanghai,source_rule:webhook,Delphi Digital：比特币在流动性趋紧背景下表现可能优于多数加密资产,币界网消息，吴说获悉，Delphi Digital表示，在未来一年流动性趋紧背景下，比特币表现可能优于多数加密资产。该机构认为，当市场偏好高质量流动性资产时，资金通常会先从山寨币流向比特币，再进一步流向现金与美国国债。Delphi的流动性安全边际指数（LMOS）目前已升至接近全球金融危机前水平，而中央银行政策广度指数与美国政策领先指标均已出现回落，历史上通常对应未来12至18个月实际收益率上升环境。该机构还称，LMOS指标通常领先比特币市占率约12个月，当前读数意味着BTC dominance或继续上升，市场环境可能面临类似2022年的流动性压力。,webhook,,BTC,asset_btc,asset,Bitcoin,institutional_flow,etf_or_fund_flow,single_asset,discard,discard,85.5,80,100.0,80,85,4,3,opinion_or_analysis,opinion_or_analysis,,T3,default_research_only,research_only,opinion_or_analysis,,ETHUSDT,btc_event_uses_eth_or_market_basket,,,,,
cand_00167,news:1032:56f89591850cf1f8,2026-05-19 06:27:22 UTC+8,2026-05-18T22:27:22Z,2026-05-19 06:27:22 UTC+8,2026-05-19 06:27:22 UTC+8,2026-05-18T22:27:22Z,2026-05-19 06:27:22 UTC+8,Asia/Shanghai,default_china,How Did Anthropic’s Claude AI Help Recover 5 BTC Locked Crypto Wallet for 11 Years?,"Claude AI has helped Bitcoin holder recover 5 BTC from an 11-year locked wallet by finding an old encrypted backup file and guiding decryption.

A Bitcoin holder using the name cprkrn on X said he recovered 5 BTC from a wallet that had been inaccessible for more than 11 years after using Anthropic’s Claude AI to review old computer files and assist with the recovery process.

The recovered Bitcoin was worth close to $400,000 at a Bitcoin price near $79,622. The user said the funds had been locked after he changed a Blockchain.com wallet password years ago and later lost access to the correct credentials.

According to posts shared by cprkrn, the recovery began after he uploaded old college computer files, notes, and wallet-related data to Claude as a final attempt. The AI system reportedly identified an old encrypted wallet backup file among the stored material.

The user said Claude then helped review the recovery workflow using btcrecover, an open-source tool widely used for crypto wallet password recovery. Screenshots posted to X showed Claude analyzing the decryption process and identifying how the tool handled password logic.

The recovery depended on an old mnemonic and password information that the user said he had found in a college notebook. Claude reportedly helped match that information with the old wallet backup, allowing the user to decrypt the file and access the private keys.

The wallet owner said he had tried commercial recovery services before using Claude, paying about $250 per failed attempt. He also said he had tested trillions of password combinations through brute-force methods without success.

In a later post, cprkrn said the recovery effort included searches across two Macs, two external drives, Apple Notes, emails, Twitter direct messages, notebooks, and other old files. He said about 3.5 trillion password attempts were tested through tools such as btcrecover and Hashcat.

The successful method did not involve breaking a seed phrase. Instead, the user said an older wallet backup could be decrypted with a previously known password. Since Bitcoin private keys remain the same even when wallet encryption changes, decrypting the backup allowed access to the same funds.

A post from another crypto user noted that Claude did not “crack” Bitcoin security. The AI assisted in finding and using a local encrypted file that the owner already controlled.

The recovery story drew wide attention on X, gaining millions of views and responses from crypto market figures, wallet companies, and investors. Some users described the case as an example of how AI tools can assist with technical research, file review, and software troubleshooting.

However, the case has also raised security concerns since uploading wallet backups, private keys, seed phrases, or related files to any AI system can expose sensitive financial data. Consequently, crypto users should not share private credentials with online tools unless they fully understand the risks.

The recovery also drew attention because of cprkrn’s reaction online. In one post, he joked that he planned to name his child after Anthropic CEO Dario Amodei after recovering the Bitcoin, which was worth nearly $400,000 at the time.

The incident adds to wider interest in dormant Bitcoin wallets. Many older wallets remain inactive because owners have lost passwords, misplaced seed phrases, or discarded devices. Some recovery cases depend on whether users kept old hard drives, wallet files, notebooks, or cloud backups.

Don’t miss out and join our newsletter to get the latest, well-curated news from the crypto world!

https://coinpaper.com/17119/how-did-anthropic-s-claude-ai-help-recover-5-btc-locked-crypto-wallet-for-11-years",news:coinpaper,https://coinpaper.com/17119/how-did-anthropic-s-claude-ai-help-recover-5-btc-locked-crypto-wallet-for-11-years,BTC,asset_btc,asset,Bitcoin|AI|Wallet,institutional_flow,etf_or_fund_flow,market_wide,discard,discard,80.0,70,90.0,80,85,4,3,duplicate_non_primary,duplicate_non_primary,,T2,market_wide_or_policy_event,macro_policy,,market_wide_event,market_wide_separate,market_wide_events_need_separate_evaluation,,,,,
cand_00291,2056467474426556617,2026-05-19 04:10:27 UTC+8,2026-05-18T20:10:27Z,2026-05-19 04:10:27 UTC+8,2026-05-19 04:10:27 UTC+8,2026-05-18T20:10:27Z,2026-05-19 04:10:27 UTC+8,Asia/Shanghai,source_rule:webhook,"In 2019 I sincerely questioned myself whether I wanted to continue trading crypto.

Almost all markets went down, crypto","In 2019 I sincerely questioned myself whether I wanted to continue trading crypto.

Almost all markets went down, crypto usecases weren't there. 

All the promises of 2017 were diminishing away. 

There was an hard fork on Bitcoin claiming to be the actual Bitcoin.

This is the feeling that most of the people have, and as a consequence, it's actually the best period to be investing into assets.

The years after 2019 have completely changed my life. 

I've had large returns within my portfolio. 
I've been able to travel to several places I've not been before.
I've had the ability to work with incredible people within our enterprises.

The lesson in here is to remain patient and to be calm. 

Yes, most of the altcoins will die. That doesn't mean that yours should die. There are many strong altcoins out there, we simply don't need millions of those coins in the ecosystem.

I can tell you that the only game is to remain in the game, do your research, avoid leverage, pick your bets and stick to them. 

That's the game that I'm playing when it comes to my altcoin picks and my portfolio. 

If I thought there wouldn't be any upside anymore, I'd be selling the positions. 

That's just simply not the case.

Be patient.",webhook,,BTC,asset_btc,asset,Bitcoin,network_upgrade,upgrade_or_fork,single_asset,discard,discard,78.75,75,95.0,80,85,3,2,"opinion_or_analysis,generic_market_commentary",generic_market_commentary,opinion_or_analysis,T3,default_research_only,research_only,"opinion_or_analysis,generic_market_commentary",,ETHUSDT,btc_event_uses_eth_or_market_basket,,,,,
cand_00303,news:1023:4e90951d1e9c8b40,2026-05-19 04:00:00 UTC+8,2026-05-18T20:00:00Z,2026-05-19 04:00:00 UTC+8,2026-05-19 04:00:00 UTC+8,2026-05-18T20:00:00Z,2026-05-19 04:00:00 UTC+8,UTC,source_rule:news:cryptonews,Kraken parent Payward grows Q1 revenue 3% as derivatives jump 51%,"Payward, Kraken’s parent, grew Q1 2026 adjusted revenue 3% to $507m as derivatives jumped 51%, even while Bitcoin, market cap and spot volumes all saw steep double‑digit drops.

Kraken parent Payward has posted Q1 2026 adjusted revenue of $507 million, a 3% increase from a year earlier, even as Bitcoin, total crypto market capitalization and industry spot volumes all suffered double-digit declines, according to CoinDesk. During the quarter, Bitcoin fell 22%, overall crypto market cap slid 23% and spot trading volume across the industry dropped 38%, underscoring how unusual it is for a major exchange group to grow topline in that environment.

The outperformance was driven in large part by derivatives, where Payward’s futures business saw daily average revenue trades jump 51% year-on-year. Management attributed that surge to the expansion of NinjaTrader and Breakout, as well as the broader build-out of Kraken’s derivatives franchise, which is increasingly offsetting cyclicality in spot trading.

Despite the revenue growth, adjusted EBITDA declined to $18 million in the quarter as the company leaned into spending. Payward said it is deliberately prioritizing mergers and acquisitions, product development and regulatory infrastructure over near-term profitability, characterizing the current bear-market stretch as the right time to invest.

The company’s strategic push appears to be translating into real market-share gains. Payward disclosed that Kraken ’s spot market share has climbed from about 3.5% in mid-2025 to 5.2% in March 2026, a meaningful jump in a market where incremental share is typically hard-won.

User metrics are also moving sharply higher: the number of funded accounts on Kraken grew 47% year-on-year to 6.1 million in Q1 2026, while total client assets on the platform rose to $40 billion. Co-CEO Arjun Sethi framed that performance as validation of the firm’s long-term strategy, saying, “While other companies choose to contract, we choose to continue investing.”

That stance stands in contrast to rivals that have cut headcount, scaled back product lines or pulled out of tougher regulatory jurisdictions over the past year. If the derivatives momentum and market-share gains continue, Payward’s decision to endure thinner EBITDA today in exchange for deeper global footprint and more diversified revenue streams could leave Kraken better positioned when the next upcycle in crypto volumes arrives.",news:cryptonews,https://crypto.news/kraken-parent-payward-grows-q1-revenue-3-as-derivatives-jump-51/,BTC,asset_btc,asset,Bitcoin|Kraken,regulation_macro,macro,market_wide,discard,discard,75.75,65,95.0,80,85,3,3,duplicate_non_primary,duplicate_non_primary,,T2,market_wide_or_policy_event,macro_policy,,market_wide_event,market_wide_separate,market_wide_events_need_separate_evaluation,,,,,
cand_00455,2056423318279106667,2026-05-19 01:15:00 UTC+8,2026-05-18T17:15:00Z,2026-05-19 01:15:00 UTC+8,2026-05-19 01:15:00 UTC+8,2026-05-18T17:15:00Z,2026-05-19 01:15:00 UTC+8,Asia/Shanghai,source_rule:webhook,🔥HUGE: White House Executive Director says an announcement on a Strategic Bitcoin Reserve is coming soon.,🔥HUGE: White House Executive Director says an announcement on a Strategic Bitcoin Reserve is coming soon.,webhook,,BTC,asset_btc,asset,Bitcoin,regulation_macro,bitcoin_reserve_policy,market_wide,discard,discard,75.75,65,95.0,80,85,3,2,duplicate_non_primary,duplicate_non_primary,,T2,market_wide_or_policy_event,macro_policy,,market_wide_event,market_wide_separate,market_wide_events_need_separate_evaluation,,,,,
cand_00469,2056420369632817572,2026-05-19 01:03:17 UTC+8,2026-05-18T17:03:17Z,2026-05-19 01:03:17 UTC+8,2026-05-19 01:03:17 UTC+8,2026-05-18T17:03:17Z,2026-05-19 01:03:17 UTC+8,Asia/Shanghai,source_rule:webhook,Michael Saylor的策略现已持有超过4%的比特币总供应量,币界网消息，据Bitcoin Magazine报道，Michael Saylor的投资策略现已持有超过4%的比特币总供应量。,webhook,,BTC,asset_btc,asset,Bitcoin|Strategy,institutional_flow,etf_or_fund_flow,single_asset,discard,discard,75.0,80,90.0,80,85,2,4,duplicate_non_primary,duplicate_non_primary,,T3,default_research_only,research_only,,unknown_event_type,ETHUSDT,btc_event_uses_eth_or_market_basket,,,,,
cand_00487,2056416753874329796,2026-05-19 00:48:55 UTC+8,2026-05-18T16:48:55Z,2026-05-19 00:48:55 UTC+8,2026-05-19 00:48:55 UTC+8,2026-05-18T16:48:55Z,2026-05-19 00:48:55 UTC+8,Asia/Shanghai,source_rule:webhook,Michael Saylor的策略现持有超过4%的比特币总供应量,币界网消息，Polymarket报道，Michael Saylor的策略现在已持有超过4%的比特币总供应量。,webhook,,BTC,asset_btc,asset,Bitcoin|Strategy|Polymarket|Polymarket,institutional_flow,etf_or_fund_flow,single_asset,discard,discard,75.0,80,90.0,80,85,2,4,duplicate_non_primary,duplicate_non_primary,,T3,default_research_only,research_only,,unknown_event_type,ETHUSDT,btc_event_uses_eth_or_market_basket,,,,,
cand_00121,news:1005:23f26f54c5285f98,2026-05-19 07:40:51 UTC+8,2026-05-18T23:40:51Z,2026-05-19 07:40:51 UTC+8,2026-05-19 07:40:51 UTC+8,2026-05-18T23:40:51Z,2026-05-19 07:40:51 UTC+8,UTC,source_rule:news:cointelegraph,"Binance Retail Investor Bitcoin Inflows Drop By 73%, What's Next for BTC?","Binance Retail Investor Bitcoin Inflows Drop By 73%, What's Next for BTC? Ecosystem English News Markets Features Learn Sponsored About ZEC $565.24 5.77% LINK $9.63 1.37% BTC $77,181 0.01% TRX $0.3559 0.30% XMR $383.81 1.05% DOGE $0.105 2.28% BCH $378.47 6.56% ADA $0.2522 0.44% BNB $645.17 0.19% ETH $2,136 0.75% SOL $85.59 0.64% HYPE $48.12 3.57% XRP $1.39 0.07% Written by Biraajmaan Tamuly ⁠, Staff Writer. Reviewed by Ray Salmond ⁠, Staff Editor. Written by Biraajmaan Tamuly ⁠, Staff Writer. Reviewed by Ray Salmond ⁠, Staff Editor. Retail Bitcoin investor demand falls by 73% as futures selling tops $2B: Are the bears back? Markets Published May 18, 2026 Bitcoin retail inflows to Binance remained at record lows as aggressive BTC futures selling and weakening spot demand pressured BTC below $77,000. Bitcoin (BTC) retail investor activity on Binance has fallen to its lowest level in history. Retail BTC inflows on Binance now average near 314 BTC per month in 2026, down sharply from the 1,200 BTC range recorded in March 2024. Bitcoin’s recovery in May also slowed as spot inflows on Binance weakened, with the 30-day net demand growth falling 73% over the past three weeks. Bitcoin retail traders step back CryptoQuant analyst Darkfost said retail Bitcoin inflows to Binance remained near its historic lows. The metric tracks BTC deposits from wallets holding less than 1 BTC, a common signal for retail investor activity. Bitcoin retail inflows (less than 1 BTC) on Binance. Source: CryptoQuant Monthly retail BTC inflows on Binance now average just 314 BTC. The figure stood near 1,800 BTC during the 2022 bear market and around 1,200 BTC during Bitcoin’s March 2024 local top near $75,000. Earlier cycles showed far heavier retail participation, with inflows peaking near 5,400 BTC in 2018 and 2,600 BTC in 2021. Darkfost said part of the shift likely stemmed from investors moving toward spot Bitcoin exchange-traded funds (ETFs) rather than directly holding BTC on exchanges. CryptoQuant data also showed a cooldown in retail demand growth. The 30-day change in retail investor demand dropped to 3.12% from 7.39% last week. That earlier reading marked the strongest retail demand expansion since August 2025, when Bitcoin traded near $115,000. The decline points to weaker spot participation after a brief pickup in buying activity. Bitcoin retail investor demand. Source: CryptoQuant Related: Bitcoin price hits $76K, lowest since April after $1B ETF net outflow BTC spot demand lags behind futures positioning Crypto analyst Amr Taha said Binance recorded two large spikes in Bitcoin taker sell volume during the recent decline. The first reached roughly $1.5 billion on May 15. Another climbed above $1.1 billion as Bitcoin fell below $77,000. Market analyst Crazzyblockk said one important signal still missing from Bitcoin’s recovery is a balanced spot demand. The previous rallies in October 2024, November 2024, and May 2025 showed that spot and futures demand rose together. Spot demand ranged between +97,000 BTC and +190,000 BTC during those price rallies, while the futures demand expanded alongside it. The latest recovery showed a different pattern. BTC futures demand remained positive at +193,000 BTC over 30 days, while spot demand remained negative at -28,000 BTC and stayed below zero for 65 consecutive days. The total 30-day demand growth also fell from 232,000 BTC in early May to 62,000 BTC by May 16, recording a 73% decline. Bitcoin spot and futures demand growth (30-day sum). Source: CryptoQuant Crazzyblockk also pointed to a sharp shift in Binance’s futures dominance last month. Binance previously controlled 40%-44% of global USDT-margined futures volume from October 2024 to March 2026. In May 2026, Binance’s share dropped to 21.1% while OKX climbed to 26.3%, marking the first reversal in exchange leadership during the cycle. Related: Price predictions 5/18: SPX, DXY, BTC, ETH, XRP, BNB, SOL, DOGE, HYPE, ADA This article is produced in accordance with Cointelegraph's Editorial Policy and is intended for informational purposes only. It does not constitute investment advice or recommendations. All investments and trades carry risk; readers are encouraged to conduct independent research. Bitcoin Price BTC Markets Markets Price Analysis Market Analysis Binance Cryptocurrencies Cryptocurrency Exchange Bitcoin More on the subject Bitcoin lost its hold on $80K, but three events may send it back sooner than markets expect 3 hours ago Marcel Pechman Bitcoin’s trend defining battle starts at the $74K support: Analyst 5 hours ago Biraajmaan Tamuly Price predictions 5/18: SPX, DXY, BTC, ETH, XRP, BNB, SOL, DOGE, HYPE, ADA 7 hours ago Rakesh Upadhyay Bitcoin lost its hold on $80K, but three events may send it back sooner than markets expect 3 hours ago Marcel Pechman Bitcoin’s trend defining battle starts at the $74K support: Analyst 5 hours ago Biraajmaan Tamuly Price predictions 5/18: SPX, DXY, BTC, ETH, XRP, BNB, SOL, DOGE, HYPE, ADA 7 hours ago Rakesh Upadhyay News Latest News Markets Bitcoin Ethereum Altcoins Blockchain Regulation Sponsored Sponsored Articles Press Releases Research Ecosystem Magazine Accelerator Events Decentralization Guardians LONGITUDE Event About About Cointelegraph Editorial Policy Ads Disclosure Financial Risk Disclaimer Cointelegraph is committed to providing independent, high-quality journalism across the crypto, blockchain, AI, and fintech industries. All news, reviews, and analyses are produced with full journalistic independence and integrity. For more details on our standards and processes, please read our Editorial Policy . © Cointelegraph 2013 - 2026 Terms of Service and Privacy Policy",news:cointelegraph,https://cointelegraph.com/markets/bitcoin-retail-demand-on-binance-drops-73-as-futures-selling-tops-2b?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,BTC,asset_btc,asset,Bitcoin|Ethereum|Solana|BNB|XRP|Dogecoin|Cardano|Chainlink|Hyperliquid|Zcash|TRON|Bitcoin Cash|Monero|Binance,institutional_flow,etf_or_fund_flow,multi_asset,discard,discard,74.75,60,95.0,80,50,4,3,duplicate_non_primary,duplicate_non_primary,,T3,default_research_only,research_only,"multiple_assets_detected,candidate_asset_mismatch",multi_asset,ETHUSDT,btc_event_uses_eth_or_market_basket,,,,,
cand_00028,2056552949174948146,2026-05-19 09:50:06 UTC+8,2026-05-19T01:50:06Z,2026-05-19 09:50:06 UTC+8,2026-05-19 09:50:06 UTC+8,2026-05-19T01:50:06Z,2026-05-19 09:50:06 UTC+8,Asia/Shanghai,source_rule:webhook,". $HYPE TOP1 和 TOP2 头寸互为对手方，六千多万刀的头寸，总有一个要投降🙌

🔴Loracle：5x 做空 144 万枚 HYPE，价值 6843 万美元，入场价格 $42.55，目前浮亏 700.4 万美元
https:/",". $HYPE TOP1 和 TOP2 头寸互为对手方，六千多万刀的头寸，总有一个要投降🙌

🔴Loracle：5x 做空 144 万枚 HYPE，价值 6843 万美元，入场价格 $42.55，目前浮亏 700.4 万美元
https://t.co/4Wbrlu2dCJ

🟢地址 0x082…dca88：5x 做多 138 万枚 HYPE，价值 6537 万美元，入场价格 $38.67，目前浮盈 1198 万美元
https://t.co/37abU7HbOS",webhook,,HYPE,asset_hype,asset,Hyperliquid|US Dollar|Wallet,whale_position,whale_wallet_position,market_wide,discard,discard,73.5,75,90.0,80,85,2,2,duplicate_non_primary,duplicate_non_primary,,T2,market_wide_or_policy_event,macro_policy,,market_wide_event,market_wide_separate,market_wide_events_need_separate_evaluation,,,,,
cand_00053,news:1029:d50b047736db2652,2026-05-19 09:11:27 UTC+8,2026-05-19T01:11:27Z,2026-05-19 09:11:27 UTC+8,2026-05-19 09:11:27 UTC+8,2026-05-19T01:11:27Z,2026-05-19 09:11:27 UTC+8,Asia/Shanghai,default_china,Bitcoin Whales Defy $77K Drop as Large Wallets Surge 11%,"Steve is a crypto news writer with a passion for decoding market moves. He blends breaking blockchain news with sharp technical analysis and bold price predictions. From Bitcoin rallies to altcoin breakouts, Steve breaks it all down with clarity and insight. Whether you're a trader or just curious, his analysis keeps you ahead of the curve.

Steve is a crypto news writer with a passion for decoding market moves. He blends breaking blockchain news with sharp technical analysis and bold price predictions. From Bitcoin rallies to altcoin breakouts, Steve breaks it all down with clarity and insight. Whether you're a trader or just curious, his analysis keeps you ahead of the curve.

Steve is a crypto news writer with a passion for decoding market moves. He blends breaking blockchain news with sharp technical analysis and bold price predictions. From Bitcoin rallies to altcoin breakouts, Steve breaks it all down with clarity and insight. Whether you're a trader or just curious, his analysis keeps you ahead of the curve.

Bitcoin whale wallets have increased by 11.2% over the past year, despite BTC losing 27.2% in value over the same period.

Geopolitical tensions have been a sore spot in the crypto space since February, causing the recent price pullback and ETF outflows.

Whale conviction indicates long-term bullish conviction amid a rise in retail sell pressure.

The number of Bitcoin (BTC) wallets holding at least 100 BTC (roughly $7.7 million at press time) has risen to 20,229. This represents an 11.2% increase over the past year, from 18,191.

On-chain data show that wallets of this size typically belong to whales, institutions, major investors, and highly capitalized long-term holders. The holdings indicate strong long-term conviction, given that Bitcoin has dumped by 27.2% in price over the same period ($105,574 to $77,000).

More recently, Bitcoin experienced a major pullback , dropping from over $82,000 a week ago to $77,000. Geopolitical tensions between the US and Iran have contributed to market-wide risk aversion, with Sunday seeing the largest single-day liquidation of bullish bets (over $700 million) since February 6.

Last week also marked the first negative week in seven for ETF flows. According to CoinShares , digital asset investment products saw $1.07 billion in outflows, with Bitcoin accounting for $982 million.

In the past year, Bitcoin has also experienced major volatility – literally halving in price from its all-time high of about $126,000 to $63,000 on February 28 – the day active hostilities began in the Middle East.

According to the blockchain analytics platform, Santiment Intelligence, whales are showing steady resilience during a time when retail is exuding panic, fear, and skepticism.

“Historically, rising whale wallet counts are viewed as a sign that key stakeholders still have confidence in Bitcoin’s future value and scarcity.”

Additionally, bullish reversals typically form when retail fear sets in as whale accumulation rises.

That said, the US-Iran conflict remains a major sentiment mover among institutions and retailers alike, causing price swings as consequential developments on the war roll out. We now wait to see whether whales will step in to offset selling pressure and hold larger positions, as has historically been a catalyst for a bullish trend.",news:coinpedia,https://coinpedia.org/news/bitcoin-whales-defy-77k-drop-as-large-wallets-surge-11/,BTC,asset_btc,asset,Bitcoin|ETF|Whale,onchain_data,wallet_metric,single_asset,discard,discard,72.5,80,80.0,80,85,2,1,"duplicate_non_primary,opinion_or_analysis",duplicate_non_primary,opinion_or_analysis,T1,direct_asset_event_with_price,alpha_candidate,opinion_or_analysis,market_wide_event,ETHUSDT,btc_event_uses_eth_or_market_basket,,,,,
