candidate_id,raw_id,published_at,published_at_utc,published_at_china,backtest_time,backtest_time_utc,backtest_time_china,source_timezone,source_timezone_assumption,title,content,source,url,primary_asset_symbol,primary_entity,primary_entity_type,detected_entity_names,event_type_l1,event_type_l2,event_scope,publish_decision,research_priority,relevance_score_realtime,impact_score,certainty_score,timeliness_score,entity_quality_score,source_count,duplicate_count,discard_reason,primary_discard_reason,secondary_discard_reasons,tradability_tier,tradability_tier_reason,channel_route,entity_flags,quality_flags,recommended_benchmark,benchmark_reason,manual_decision,manual_event_type_l1,manual_event_type_l2,manual_primary_asset_symbol,manual_notes
cand_00307,2056464478636548369,2026-05-19 03:58:33 UTC+8,2026-05-18T19:58:33Z,2026-05-19 03:58:33 UTC+8,2026-05-19 03:58:33 UTC+8,2026-05-18T19:58:33Z,2026-05-19 03:58:33 UTC+8,Asia/Shanghai,source_rule:webhook,NEW: Scientists warn Canadians to prepare for a U.S. “tick invasion” this summer.,NEW: Scientists warn Canadians to prepare for a U.S. “tick invasion” this summer.,webhook,,,,,,other_review,needs_taxonomy_review,unknown,discard,discard,46.0,20,80.0,80,0,2,43,"missing_entity,duplicate_non_primary,other_review,low_crypto_relevance",low_crypto_relevance,"missing_entity,duplicate_non_primary,other_review",T3,default_research_only,research_only,"no_entity_detected,other_review","missing_asset,unknown_event_type",,missing_asset_no_benchmark,,,,,
cand_00313,2056462909316681937,2026-05-19 03:52:19 UTC+8,2026-05-18T19:52:19Z,2026-05-19 03:52:19 UTC+8,2026-05-19 03:52:19 UTC+8,2026-05-18T19:52:19Z,2026-05-19 03:52:19 UTC+8,Asia/Shanghai,source_rule:webhook,NEW: Iran claims U.S.-Israeli drones were spotted over Qeshm Island.,NEW: Iran claims U.S.-Israeli drones were spotted over Qeshm Island.,webhook,,,,,,other_review,needs_taxonomy_review,unknown,discard,discard,46.0,20,80.0,80,0,2,43,"missing_entity,duplicate_non_primary,other_review,low_crypto_relevance",low_crypto_relevance,"missing_entity,duplicate_non_primary,other_review",T3,default_research_only,research_only,"no_entity_detected,other_review","missing_asset,unknown_event_type",,missing_asset_no_benchmark,,,,,
cand_00325,2056458300183421385,2026-05-19 03:34:00 UTC+8,2026-05-18T19:34:00Z,2026-05-19 03:34:00 UTC+8,2026-05-19 03:34:00 UTC+8,2026-05-18T19:34:00Z,2026-05-19 03:34:00 UTC+8,Asia/Shanghai,source_rule:webhook,"JUST IN: Reagan Presidential Library in Simi Valley, CA evacuated as the wildfire rapidly expands.","JUST IN: Reagan Presidential Library in Simi Valley, CA evacuated as the wildfire rapidly expands.",webhook,,,,,,other_review,needs_taxonomy_review,unknown,discard,discard,46.0,20,80.0,80,0,2,43,"missing_entity,duplicate_non_primary,other_review,low_crypto_relevance",low_crypto_relevance,"missing_entity,duplicate_non_primary,other_review",T3,default_research_only,research_only,"no_entity_detected,other_review","missing_asset,unknown_event_type",,missing_asset_no_benchmark,,,,,
cand_00330,2056457273006850375,2026-05-19 03:29:55 UTC+8,2026-05-18T19:29:55Z,2026-05-19 03:29:55 UTC+8,2026-05-19 03:29:55 UTC+8,2026-05-18T19:29:55Z,2026-05-19 03:29:55 UTC+8,Asia/Shanghai,source_rule:webhook,"JUST IN: Meta reportedly plans to launch its 10% layoffs on Wednesday, with termination notices going out at 4 a.m. loca","JUST IN: Meta reportedly plans to launch its 10% layoffs on Wednesday, with termination notices going out at 4 a.m. local time.",webhook,,,,,,other_review,needs_taxonomy_review,unknown,discard,discard,46.0,20,80.0,80,0,2,43,"missing_entity,duplicate_non_primary,other_review,low_crypto_relevance",low_crypto_relevance,"missing_entity,duplicate_non_primary,other_review",T3,default_research_only,research_only,"no_entity_detected,other_review","missing_asset,unknown_event_type",,missing_asset_no_benchmark,,,,,
cand_00333,2056456841203204341,2026-05-19 03:28:12 UTC+8,2026-05-18T19:28:12Z,2026-05-19 03:28:12 UTC+8,2026-05-19 03:28:12 UTC+8,2026-05-18T19:28:12Z,2026-05-19 03:28:12 UTC+8,Asia/Shanghai,source_rule:webhook,"JUST IN: Meta reportedly plans to launch its 10% layoffs on Wednesday, with notices going out at 4 a.m. local time.","JUST IN: Meta reportedly plans to launch its 10% layoffs on Wednesday, with notices going out at 4 a.m. local time.",webhook,,,,,,other_review,needs_taxonomy_review,unknown,discard,discard,46.0,20,80.0,80,0,2,43,"missing_entity,duplicate_non_primary,other_review,low_crypto_relevance",low_crypto_relevance,"missing_entity,duplicate_non_primary,other_review",T3,default_research_only,research_only,"no_entity_detected,other_review","missing_asset,unknown_event_type",,missing_asset_no_benchmark,,,,,
cand_00334,2056456590119883045,2026-05-19 03:27:12 UTC+8,2026-05-18T19:27:12Z,2026-05-19 03:27:12 UTC+8,2026-05-19 03:27:12 UTC+8,2026-05-18T19:27:12Z,2026-05-19 03:27:12 UTC+8,Asia/Shanghai,source_rule:webhook,Nuts that this is possible within a day.  This took startups months to land before,Nuts that this is possible within a day.  This took startups months to land before,webhook,,,,,,other_review,needs_taxonomy_review,unknown,discard,discard,46.0,20,80.0,80,0,2,43,"missing_entity,duplicate_non_primary,other_review,low_crypto_relevance",low_crypto_relevance,"missing_entity,duplicate_non_primary,other_review",T3,default_research_only,research_only,"no_entity_detected,other_review","missing_asset,unknown_event_type",,missing_asset_no_benchmark,,,,,
cand_00335,2056455427085176917,2026-05-19 03:22:35 UTC+8,2026-05-18T19:22:35Z,2026-05-19 03:22:35 UTC+8,2026-05-19 03:22:35 UTC+8,2026-05-18T19:22:35Z,2026-05-19 03:22:35 UTC+8,Asia/Shanghai,source_rule:webhook,"As wealth grows, portfolios get more complex.
 
More than half of advisors use models for high-net-worth clients, helpin","As wealth grows, portfolios get more complex.
 
More than half of advisors use models for high-net-worth clients, helping optimize portfolio management to deliver more personalized solutions and free up time to focus on clients.
 
As needs evolve, the approach should too.
 
Learn how our models can help: https://t.co/4LiVEJk12D

Content is intended for Financial Professionals only.",webhook,,,,,,other_review,needs_taxonomy_review,unknown,discard,discard,46.0,20,80.0,80,0,2,43,"missing_entity,duplicate_non_primary,other_review",missing_entity,"duplicate_non_primary,other_review",T3,default_research_only,research_only,"no_entity_detected,other_review","missing_asset,unknown_event_type",,missing_asset_no_benchmark,,,,,
cand_00348,2056452097441468857,2026-05-19 03:09:21 UTC+8,2026-05-18T19:09:21Z,2026-05-19 03:09:21 UTC+8,2026-05-19 03:09:21 UTC+8,2026-05-18T19:09:21Z,2026-05-19 03:09:21 UTC+8,Asia/Shanghai,source_rule:webhook,🚨BREAKING: Trump says he has called off the scheduled strike on Iran tomorrow. https://t.co/Nvwrkvtovh,🚨BREAKING: Trump says he has called off the scheduled strike on Iran tomorrow. https://t.co/Nvwrkvtovh,webhook,,,,,,other_review,needs_taxonomy_review,unknown,discard,discard,46.0,20,80.0,80,0,2,43,"missing_entity,duplicate_non_primary,other_review,low_crypto_relevance",low_crypto_relevance,"missing_entity,duplicate_non_primary,other_review",T3,default_research_only,research_only,"no_entity_detected,other_review","missing_asset,unknown_event_type",,missing_asset_no_benchmark,,,,,
cand_00359,2056447550056526159,2026-05-19 02:51:17 UTC+8,2026-05-18T18:51:17Z,2026-05-19 02:51:17 UTC+8,2026-05-19 02:51:17 UTC+8,2026-05-18T18:51:17Z,2026-05-19 02:51:17 UTC+8,Asia/Shanghai,source_rule:webhook,Ask him if he’s tried @PhoenixTrade,Ask him if he’s tried @PhoenixTrade,webhook,,,,,,other_review,needs_taxonomy_review,unknown,discard,discard,46.0,20,80.0,80,0,2,43,"missing_entity,duplicate_non_primary,other_review,low_crypto_relevance",low_crypto_relevance,"missing_entity,duplicate_non_primary,other_review",T3,default_research_only,research_only,"no_entity_detected,other_review","missing_asset,unknown_event_type",,missing_asset_no_benchmark,,,,,
cand_00364,2056446182377882075,2026-05-19 02:45:51 UTC+8,2026-05-18T18:45:51Z,2026-05-19 02:45:51 UTC+8,2026-05-19 02:45:51 UTC+8,2026-05-18T18:45:51Z,2026-05-19 02:45:51 UTC+8,Asia/Shanghai,source_rule:webhook,Renaissance https://t.co/t9XP29fMNE,Renaissance https://t.co/t9XP29fMNE,webhook,,,,,,other_review,needs_taxonomy_review,unknown,discard,discard,46.0,20,80.0,80,0,2,43,"missing_entity,duplicate_non_primary,other_review,low_crypto_relevance",low_crypto_relevance,"missing_entity,duplicate_non_primary,other_review",T3,default_research_only,research_only,"no_entity_detected,other_review","missing_asset,unknown_event_type",,missing_asset_no_benchmark,,,,,
