candidate_id,raw_id,raw_published_at,published_at,published_at_utc,published_at_china,raw_source_published_at,source_published_at_utc,source_published_at_china,source_timezone,source_timezone_assumption,source_lag_minutes,backtest_time,backtest_time_utc,backtest_time_china,backtest_time_basis,time_timezone_assumption,time_parse_status,time_parse_flags,title,content,source,url,candidate_asset_symbol,candidate_binance_spot_symbol,candidate_binance_futures_symbol,candidate_event_type,candidate_direction_hint,candidate_importance,event_scope,asset_confidence,time_confidence,needs_review,review_decision,review_notes,quality_flags,auto_quality_score,suggested_reason,suggested_review_decision,review_priority,parsed_backtest_time_utc,event_age_hours,horizon_status,is_mature_72h,historical_replay_mode
cand_00484,2056417103637254305,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 00:50:18 UTC+8,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金,币界网消息，据Cointelegraph报道，Adshares桥的攻击者已归还256枚ETH，覆盖了被盗资金的86%。,webhook,,ETH,ETHUSDT,ETHUSDT,hack_security,risk,4,single_asset,high,high,false,include,,,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T16:50:18Z,229.2881,mature_72h,true,conservative
cand_00482,2056418026870743250,2026-05-18T16:53:58Z,2026-05-19 00:53:58 UTC+8,2026-05-18T16:53:58Z,2026-05-19 00:53:58 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 00:53:58 UTC+8,2026-05-18T16:53:58Z,2026-05-19 00:53:58 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Bitwise to add HYPE to balance sheet using fees from Hyperliquid ETF,Bitwise to add HYPE to balance sheet using fees from Hyperliquid ETF,webhook,,HYPE,,HYPEUSDT,institutional_flow,observe,4,single_asset,high,high,false,include,,,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T16:53:58Z,229.2269,mature_72h,true,conservative
cand_00419,news:1006:80c4d6c2f38d9763,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,,,,Asia/Shanghai,default_china,,2026-05-19 01:41:53 UTC+8,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,White House: Bitcoin Reserve Announcement Is Imminent,"The White House is nearing a formal announcement on a U.S. Strategic Bitcoin Reserve, with Patrick Witt saying the administration has already cleared a key legal hurdle.

The White House is on the verge of a formal announcement on the U.S. Strategic Bitcoin Reserve — and the official leading the charge says the hard part is done.

Patrick Witt, Executive Director of the President’s Council of Advisors for Digital Assets, told an interviewer this week that the administration has cleared a major legal hurdle in standing up the reserve.

“We’ll have an announcement,” Witt said. “I wish I could say more… It’s a breakthrough as far as getting everything in place, legally sound, properly safeguarding the assets.”

The signal follows a similar declaration Witt made at the Bitcoin 2026 conference in Las Vegas, where he told the crowd an update was coming within weeks.

President Trump signed the executive order establishing the Strategic Bitcoin Reserve on March 6, 2025. Since then, Witt says his deputy Harry John has driven the interagency process: identifying what legal authorities exist, commissioning the necessary legal memos, and building a custody and reporting infrastructure across federal agencies that were designed for gold, not private keys.

The reserve holds an estimated 328,372 BTC — roughly 1.6% of total global supply — accumulated through law enforcement seizures, including the Silk Road takedown, the 2022 Bitfinex hack recovery, and years of criminal forfeitures.

The executive order bars the Treasury from selling a single coin.

Witt pointed to a breach at the U.S. Marshals Service as proof that the reserve’s security mandate is urgent. A government contractor named John Daghita allegedly stole more than $46 million in cryptocurrency from USMS custody accounts in late 2025, and the FBI arrested him in March 2026. A separate $24 million theft was traced to October 2024.

“It’s a case in point for why it was so necessary that the president established the SBR,” Witt said.

An executive order dies the moment a new president takes office. That vulnerability is the core argument for two bills now moving through Congress. Rep. Nick Begich recently rebranded the BITCOIN Act as the American Reserves Modernization Act (ARMA), which would authorize the U.S. Treasury to purchase up to 200,000 BTC per year for five years — with holdings locked for a minimum of 20 years. Senator Cynthia Lummis has put Congress on a deadline, pushing for a vote before the summer recess as midterm campaigning begins to consume floor time.

If the BITCOIN Act passes, the Treasury’s first open-market Bitcoin purchase is projected for Q4 2026 — making the U.S. the first sovereign nation to actively accumulate Bitcoin as a strategic reserve asset.",news:bitcoinmagazine,https://bitcoinmagazine.com/news/white-house-strategic-bitcoin-reserve,BTC,BTCUSDT,BTCUSDT,hack_security,risk,4,single_asset,high,high,true,include,,market_wide_event,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T17:41:53Z,228.4283,mature_72h,true,conservative
cand_00365,2056445967503917562,2026-05-18T18:45:00Z,2026-05-19 02:45:00 UTC+8,2026-05-18T18:45:00Z,2026-05-19 02:45:00 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 02:45:00 UTC+8,2026-05-18T18:45:00Z,2026-05-19 02:45:00 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Bitwise将用10%管理费购买$HYPE,币界网消息，Bitwise宣布将使用其BHYP Hyperliquid ETF管理费的10%来购买并持有$HYPE代币。此外，99%的区块链收入将用于回购和销毁HYPE代币。,webhook,,HYPE,,HYPEUSDT,institutional_flow,observe,4,single_asset,high,high,false,include,,,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T18:45:00Z,227.3764,mature_72h,true,conservative
cand_00324,news:1023:0b5e5f49d6fd3a14,2026-05-18T19:37:15Z,2026-05-19 03:37:15 UTC+8,2026-05-18T19:37:15Z,2026-05-19 03:37:15 UTC+8,,,,UTC,source_rule:news:cryptonews,,2026-05-19 03:37:15 UTC+8,2026-05-18T19:37:15Z,2026-05-19 03:37:15 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Leopold Aschenbrenner bets $13.6b on miners,"Ex-OpenAI researcher Leopold Aschenbrenner’s Situational Awareness fund has doubled to $13.67b, with Bitcoin miners as its top long positions.

Aschenbrenner, who was fired from OpenAI in 2024 over an alleged information leak, filed the fund’s Q1 2026 13F with the SEC on May 15, with the regulator accepting it on May 18. The document shows disclosed equity exposure more than doubling from $5.52 billion at end-2025 to $13.67 billion as of March 31.

The largest long positions span Bitcoin miners IREN, Core Scientific, Riot Platforms, CleanSpark, Bitfarms, Bitdeer, and Hive Digital, alongside energy and compute plays Bloom Energy, SanDisk, and CoreWeave. As Fortune noted in its March profile, the thesis holds that “the most valuable assets in the AI era may not be algorithms, but electricity and computing power.”

Aschenbrenner’s investment logic holds that AI buildout will be bottlenecked by power and land, not chips. Bitcoin miners already hold high-density power sites and grid access that AI companies cannot replicate quickly. His 165-page “Situational Awareness: The Decade Ahead” paper argued that compute infrastructure, not model development, would determine the pace of AGI progress.

The trend is reshaping reported earnings across the sector. As crypto.news reported , TeraWulf’s AI and HPC hosting revenue of $21 million outpaced Bitcoin mining revenue for the first time in Q1 2026. Core Scientific, among Aschenbrenner’s disclosed holdings, has announced plans to repurpose its Pecos site into a 1.5GW AI data center campus, repurposing 300MW of existing mining capacity.

Alongside the miner longs, the fund opened $7.46 billion in put options against the chip sector. The largest positions were $2.04 billion against the VanEck Semiconductor ETF, $1.57 billion against Nvidia, $1.07 billion against Oracle, and $1.01 billion against Broadcom, the filing shows.

The pairing makes the thesis internally consistent: if AI value accrues to power sites rather than chip makers, semiconductor valuations face compression even as infrastructure operators gain.

Crypto.news documented this broader miner pivot in an earlier analysis of firms leaping into HPC , noting that companies from Bitdeer to Riot are accelerating the conversion of mining facilities into AI data centers. Full Q1 holdings data is available at the Situational Awareness LP 13F tracker on 13f.info.",news:cryptonews,https://crypto.news/leopold-aschenbrenner-bets-13-6b-on-miners/,BTC,BTCUSDT,BTCUSDT,institutional_flow,observe,4,single_asset,high,high,false,include,,,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T19:37:15Z,226.5056,mature_72h,true,conservative
cand_00146,2056509658588963032,2026-05-18T22:58:05Z,2026-05-19 06:58:05 UTC+8,2026-05-18T22:58:05Z,2026-05-19 06:58:05 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 06:58:05 UTC+8,2026-05-18T22:58:05Z,2026-05-19 06:58:05 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,Delphi Digital：比特币在流动性趋紧背景下表现可能优于多数加密资产,币界网消息，吴说获悉，Delphi Digital表示，在未来一年流动性趋紧背景下，比特币表现可能优于多数加密资产。该机构认为，当市场偏好高质量流动性资产时，资金通常会先从山寨币流向比特币，再进一步流向现金与美国国债。Delphi的流动性安全边际指数（LMOS）目前已升至接近全球金融危机前水平，而中央银行政策广度指数与美国政策领先指标均已出现回落，历史上通常对应未来12至18个月实际收益率上升环境。该机构还称，LMOS指标通常领先比特币市占率约12个月，当前读数意味着BTC dominance或继续上升，市场环境可能面临类似2022年的流动性压力。,webhook,,BTC,BTCUSDT,BTCUSDT,institutional_flow,observe,4,single_asset,high,high,false,include,,,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T22:58:05Z,223.1583,mature_72h,true,conservative
cand_00124,2056519415211192670,2026-05-18T23:36:51Z,2026-05-19 07:36:51 UTC+8,2026-05-18T23:36:51Z,2026-05-19 07:36:51 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 07:36:51 UTC+8,2026-05-18T23:36:51Z,2026-05-19 07:36:51 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,"#PeckShieldAlert @dcfgod reports that @EchoProtocol_ was hacked on @monad 

The hacker minted 1k $eBTC ($76.7M) &, utili","#PeckShieldAlert @dcfgod reports that @EchoProtocol_ was hacked on @monad 

The hacker minted 1k $eBTC ($76.7M) &, utilizing the tested flow, deposited 45 $eBTC ($3.45M) into Curvance. They then borrowed ~11.29 $WBTC ($867.7K) against it, bridged the $WBTC to #Ethereum, swapped them for $ETH, and sent 384 $ETH (~$821.7K) to #TornadoCash.",webhook,,ETH,ETHUSDT,ETHUSDT,hack_security,risk,4,single_asset,high,high,false,include,,,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T23:36:51Z,222.5122,mature_72h,true,conservative
cand_00117,2056522722461761612,2026-05-18T23:50:00Z,2026-05-19 07:50:00 UTC+8,2026-05-18T23:50:00Z,2026-05-19 07:50:00 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 07:50:00 UTC+8,2026-05-18T23:50:00Z,2026-05-19 07:50:00 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,"Exploit Alert 🚨

According to @dcfgod, @EchoProtocol_ on @monad has been exploited.

The attacker reportedly minted 1,00","Exploit Alert 🚨

According to @dcfgod, @EchoProtocol_ on @monad has been exploited.

The attacker reportedly minted 1,000 $eBTC worth $76.7M and used a previously tested exploit flow to extract funds through Curvance.

So far, the exploiter has:

• Deposited 45 $eBTC ($3.45M) into Curvance as collateral
• Borrowed ~11.29 $WBTC ($867.7K) against it
• Bridged the $WBTC to #Ethereum
• Swapped the funds into $ETH
• Sent 385 $ETH (~$818K) to #TornadoCash

The attacker still appears to control a significant amount of minted $eBTC.

https://t.co/YDPfoYULvD",webhook,,ETH,ETHUSDT,ETHUSDT,hack_security,risk,4,single_asset,high,high,false,include,,,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-18T23:50:00Z,222.2931,mature_72h,true,conservative
cand_00105,2056526392758788419,2026-05-19T00:04:35Z,2026-05-19 08:04:35 UTC+8,2026-05-19T00:04:35Z,2026-05-19 08:04:35 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 08:04:35 UTC+8,2026-05-19T00:04:35Z,2026-05-19 08:04:35 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,链上监测：黑客在Monad平台上铸造1000枚EBTC并洗钱,"币界网消息，据链上监测平台Lookonchain报道，最近发生了一起黑客攻击事件。黑客在Monad平台上铸造了1000枚$EBTC（约合7664万美元），随后将45枚$EBTC（约合345万美元）存入Curvance，借入11.3枚$WBTC（约合867,000美元），并将其跨链至以太坊，兑换为385枚$ETH（约合821,000美元）。最后，黑客将这385枚$ETH存入Tornado Cash进行洗钱，目前仍持有955枚$EBTC（约合7320万美元）。",webhook,,ETH,ETHUSDT,ETHUSDT,hack_security,risk,4,single_asset,high,high,true,include,,market_wide_event,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-19T00:04:35Z,222.05,mature_72h,true,conservative
cand_00094,2056529579813343720,2026-05-19T00:17:14Z,2026-05-19 08:17:14 UTC+8,2026-05-19T00:17:14Z,2026-05-19 08:17:14 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,2026-05-19 08:17:14 UTC+8,2026-05-19T00:17:14Z,2026-05-19 08:17:14 UTC+8,published_at,Asia/Shanghai_for_naive_time,ok,,链上监测：过去4天内发生三起重大黑客事件,币界网消息，据Lookonchain监测，过去4天内发生了三起重大黑客事件。5月15日，一次攻击导致超过1000万美元的资金被盗5月18日，Verus-以太坊桥被黑客攻击，损失约1150万美元今天，又发生了一起攻击，黑客铸造了1000枚$EBTC（价值约7664万美元），并已利用这些资金盗取了385枚$ETH（约82.1万美元）。请保持警惕，注意安全。,webhook,,ETH,ETHUSDT,ETHUSDT,hack_security,risk,4,single_asset,high,high,true,include,,market_wide_event,130,"has_asset,has_binance_symbol,time_ok,typed_event,single_asset,asset_confidence_high,time_confidence_high,importance_ge_4",include,high,2026-05-19T00:17:14Z,221.8392,mature_72h,true,conservative
