event_id,event_time,event_time_utc,event_time_china,title,content,source,asset_symbol,binance_spot_symbol,binance_futures_symbol,event_type,direction_hint,importance
cand_00324,2026-05-19 03:37:15 UTC+8,2026-05-18T19:37:15Z,2026-05-19 03:37:15 UTC+8,Leopold Aschenbrenner bets $13.6b on miners,"Ex-OpenAI researcher Leopold Aschenbrenner’s Situational Awareness fund has doubled to $13.67b, with Bitcoin miners as its top long positions.

Aschenbrenner, who was fired from OpenAI in 2024 over an alleged information leak, filed the fund’s Q1 2026 13F with the SEC on May 15, with the regulator accepting it on May 18. The document shows disclosed equity exposure more than doubling from $5.52 billion at end-2025 to $13.67 billion as of March 31.

The largest long positions span Bitcoin miners IREN, Core Scientific, Riot Platforms, CleanSpark, Bitfarms, Bitdeer, and Hive Digital, alongside energy and compute plays Bloom Energy, SanDisk, and CoreWeave. As Fortune noted in its March profile, the thesis holds that “the most valuable assets in the AI era may not be algorithms, but electricity and computing power.”

Aschenbrenner’s investment logic holds that AI buildout will be bottlenecked by power and land, not chips. Bitcoin miners already hold high-density power sites and grid access that AI companies cannot replicate quickly. His 165-page “Situational Awareness: The Decade Ahead” paper argued that compute infrastructure, not model development, would determine the pace of AGI progress.

The trend is reshaping reported earnings across the sector. As crypto.news reported , TeraWulf’s AI and HPC hosting revenue of $21 million outpaced Bitcoin mining revenue for the first time in Q1 2026. Core Scientific, among Aschenbrenner’s disclosed holdings, has announced plans to repurpose its Pecos site into a 1.5GW AI data center campus, repurposing 300MW of existing mining capacity.

Alongside the miner longs, the fund opened $7.46 billion in put options against the chip sector. The largest positions were $2.04 billion against the VanEck Semiconductor ETF, $1.57 billion against Nvidia, $1.07 billion against Oracle, and $1.01 billion against Broadcom, the filing shows.

The pairing makes the thesis internally consistent: if AI value accrues to power sites rather than chip makers, semiconductor valuations face compression even as infrastructure operators gain.

Crypto.news documented this broader miner pivot in an earlier analysis of firms leaping into HPC , noting that companies from Bitdeer to Riot are accelerating the conversion of mining facilities into AI data centers. Full Q1 holdings data is available at the Situational Awareness LP 13F tracker on 13f.info.",news:cryptonews,BTC,BTCUSDT,BTCUSDT,institutional_flow,observe,4
cand_00275,2026-05-19 04:30:00 UTC+8,2026-05-18T20:30:00Z,2026-05-19 04:30:00 UTC+8,XRP price slips 2% on profit taking,"XRP price dropped 2% on May 18, sliding to $1.3865 as traders sold aggressively into the $1.42 resistance zone.

XRP fell as traders took profits aggressively after another failed push above $1.42, knocking the token back below $1.40 in the 24-hour session ending May 18.

The sharpest move came during the May 17 23:00 UTC session, when 144.3 million in volume pushed price from the $1.42 area to lows near $1.378. Buyers stepped in around $1.38 to limit the loss, and XRP recovered partially into the close.

The rejection is technically significant. As crypto.news reported , roughly 1.24 billion XRP tokens are held by investors who entered between $1.45 and $1.47, creating a structural supply wall that absorbs buying on every approach to that level.

Analysts have pointed to a months-long symmetrical triangle compressing XRP’s price action, with the apex tightening toward a resolution in late May. The pattern is approaching a decisive breakout point, with sellers still controlling the $1.42 upper edge even as buyers defend $1.38 on each test.

Standard Chartered analyst Geoffrey Kendrick has projected that Senate Banking Committee advancement of the CLARITY Act could unlock $4 to $8 billion in additional XRP ETF inflows, making that vote the primary binary catalyst for any breakout above $1.45. As crypto.news documented , XRP ETFs recorded $81.63 million in net inflows in April, the best month of 2026, yet price failed to sustain momentum despite consistent institutional demand.

A clean breakdown below $1.38 removes the floor under the current consolidation and opens the path toward $1.30. Traders who entered at higher levels have been the primary selling force on each recovery attempt. The crypto.news XRP price page shows the token trading at roughly a 62% discount to its July 2025 all-time high of $3.65.

A close above $1.42 would be the first signal that sellers are losing their grip on the upper range. Until then, the symmetrical triangle continues to compress toward a resolution that technical analysts warn could be sharp in either direction.",news:cryptonews,XRP,XRPUSDT,XRPUSDT,token_unlock,risk,3
cand_00484,2026-05-19 00:50:18 UTC+8,2026-05-18T16:50:18Z,2026-05-19 00:50:18 UTC+8,Adshares桥攻击者归还256枚ETH，覆盖86%被盗资金,币界网消息，据Cointelegraph报道，Adshares桥的攻击者已归还256枚ETH，覆盖了被盗资金的86%。,webhook,ETH,ETHUSDT,ETHUSDT,hack_security,risk,4
cand_00449,2026-05-19 01:19:22 UTC+8,2026-05-18T17:19:22Z,2026-05-19 01:19:22 UTC+8,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊 PoS 升级；Julian Ma 在以,Ethereum Foundation 研究员 Carl Beek 与 Julian Ma 于周一宣布离职。其中，Carl Beek 在以太坊工作约 7 年，曾参与 Beacon Chain 及以太坊 PoS 升级；Julian Ma 在以太坊工作约 4 年，曾参与 FOCIL（EIP-7805）提案撰写及 Fast Confirmation Rule 推进工作。此前，Ethereum Foundation 前联合执行董事 Tomasz K. Stańczak、前成员 Josh Stark，以及 Protocol 团队成员 Barnabé Monnot、Tim Beiko、Alex Stokes 等人也已相继离职或暂时休假。（The Block）https://t.co/9gtDyj94Sj,webhook,ETH,ETHUSDT,ETHUSDT,network_upgrade,observe,3
cand_00193,2026-05-19 06:07:31 UTC+8,2026-05-18T22:07:31Z,2026-05-19 06:07:31 UTC+8,"JUST IN: 100,000 blocks remain until the next Bitcoin Halving. https://t.co/y8wcvN854g","JUST IN: 100,000 blocks remain until the next Bitcoin Halving. https://t.co/y8wcvN854g",webhook,BTC,BTCUSDT,BTCUSDT,halving,observe,3
cand_00160,2026-05-19 06:42:26 UTC+8,2026-05-18T22:42:26Z,2026-05-19 06:42:26 UTC+8,以太坊质押比例上升至31%，长期持有者信心依旧,币界网消息，据The Block报道，尽管以太坊年内价格已下跌约26%，但其质押比例由年初的约29%升至总供应量的约31%。持续增长的质押规模显示，长期持有者在价格承压及链上风险仍存的情况下，依然对以太坊保持信心，并逐步减少市场流通供应。随着现货以太坊ETF发展及以太坊上代币化活动扩张，机构对质押以太坊的需求可能为质押生态带来新的结构性资金流入，但是否会进一步传导至以太坊价格，仍取决于机构资金的实际配置进展。,webhook,ETH,ETHUSDT,ETHUSDT,staking_governance,observe,3
cand_00487,2026-05-19 00:48:55 UTC+8,2026-05-18T16:48:55Z,2026-05-19 00:48:55 UTC+8,Michael Saylor的策略现持有超过4%的比特币总供应量,币界网消息，Polymarket报道，Michael Saylor的策略现在已持有超过4%的比特币总供应量。,webhook,BTC,BTCUSDT,BTCUSDT,other,observe,3
cand_00419,2026-05-19 01:41:53 UTC+8,2026-05-18T17:41:53Z,2026-05-19 01:41:53 UTC+8,White House: Bitcoin Reserve Announcement Is Imminent,"The White House is nearing a formal announcement on a U.S. Strategic Bitcoin Reserve, with Patrick Witt saying the administration has already cleared a key legal hurdle.

The White House is on the verge of a formal announcement on the U.S. Strategic Bitcoin Reserve — and the official leading the charge says the hard part is done.

Patrick Witt, Executive Director of the President’s Council of Advisors for Digital Assets, told an interviewer this week that the administration has cleared a major legal hurdle in standing up the reserve.

“We’ll have an announcement,” Witt said. “I wish I could say more… It’s a breakthrough as far as getting everything in place, legally sound, properly safeguarding the assets.”

The signal follows a similar declaration Witt made at the Bitcoin 2026 conference in Las Vegas, where he told the crowd an update was coming within weeks.

President Trump signed the executive order establishing the Strategic Bitcoin Reserve on March 6, 2025. Since then, Witt says his deputy Harry John has driven the interagency process: identifying what legal authorities exist, commissioning the necessary legal memos, and building a custody and reporting infrastructure across federal agencies that were designed for gold, not private keys.

The reserve holds an estimated 328,372 BTC — roughly 1.6% of total global supply — accumulated through law enforcement seizures, including the Silk Road takedown, the 2022 Bitfinex hack recovery, and years of criminal forfeitures.

The executive order bars the Treasury from selling a single coin.

Witt pointed to a breach at the U.S. Marshals Service as proof that the reserve’s security mandate is urgent. A government contractor named John Daghita allegedly stole more than $46 million in cryptocurrency from USMS custody accounts in late 2025, and the FBI arrested him in March 2026. A separate $24 million theft was traced to October 2024.

“It’s a case in point for why it was so necessary that the president established the SBR,” Witt said.

An executive order dies the moment a new president takes office. That vulnerability is the core argument for two bills now moving through Congress. Rep. Nick Begich recently rebranded the BITCOIN Act as the American Reserves Modernization Act (ARMA), which would authorize the U.S. Treasury to purchase up to 200,000 BTC per year for five years — with holdings locked for a minimum of 20 years. Senator Cynthia Lummis has put Congress on a deadline, pushing for a vote before the summer recess as midterm campaigning begins to consume floor time.

If the BITCOIN Act passes, the Treasury’s first open-market Bitcoin purchase is projected for Q4 2026 — making the U.S. the first sovereign nation to actively accumulate Bitcoin as a strategic reserve asset.",news:bitcoinmagazine,BTC,BTCUSDT,BTCUSDT,hack_security,risk,4
cand_00375,2026-05-19 02:30:00 UTC+8,2026-05-18T18:30:00Z,2026-05-19 02:30:00 UTC+8,Standard Chartered: $4T tokenized by 2028,"Standard Chartered projects $4 trillion in tokenized assets onchain by 2028, with mature DeFi protocols as the main beneficiaries.

Standard Chartered projects that $4 trillion in tokenized assets will sit onchain by the end of 2028, evenly split between stablecoins and real-world assets. The forecast positions established DeFi protocols as the main winners.

Geoffrey Kendrick, the bank’s global head of digital assets research, said DeFi’s composability allows the same asset to generate yield, serve as collateral, and trade for liquidity without traditional intermediaries.

Kendrick cited BlackRock’s BUIDL fund as proof of concept. The $2.85 billion tokenized Treasury fund earns Treasury yield, converts to sBUIDL for DeFi compatibility, and serves as core reserve collateral for Ethena’s USDtb and Ondo’s OUSG.

Aave, the largest DeFi lending protocol, processed daily stablecoin lending volumes between $1.5 billion and $2 billion at its peak. Coinbase’s lending product with Morpho has reached $1.75 billion in loans.

Kendrick views passage of the CLARITY Act as the most significant near-term catalyst for accelerating the shift from traditional rails to DeFi. The bill cleared Senate Banking 15-9 on May 14 and now heads to a full floor vote.

The projection consolidates two forecasts Kendrick has maintained separately: a $2 trillion stablecoin target and a $2 trillion RWA market, both by end-2028. The bank reaffirmed the RWA call in April despite recent DeFi exploits.

There are currently roughly 1,000 times more assets offchain than onchain, according to the note. Kendrick believes tokenizing institutional-grade assets is the most likely source of growth, with protocols that scale safely positioned to benefit most.

“TradFi operators moving assets onchain will favor established players with strong risk metrics,” Kendrick wrote. Aave, Compound, and Morpho are positioned to lead, with Ethereum remaining the dominant settlement layer.",news:cryptonews,ETH,ETHUSDT,ETHUSDT,hack_security,risk,4
cand_00146,2026-05-19 06:58:05 UTC+8,2026-05-18T22:58:05Z,2026-05-19 06:58:05 UTC+8,Delphi Digital：比特币在流动性趋紧背景下表现可能优于多数加密资产,币界网消息，吴说获悉，Delphi Digital表示，在未来一年流动性趋紧背景下，比特币表现可能优于多数加密资产。该机构认为，当市场偏好高质量流动性资产时，资金通常会先从山寨币流向比特币，再进一步流向现金与美国国债。Delphi的流动性安全边际指数（LMOS）目前已升至接近全球金融危机前水平，而中央银行政策广度指数与美国政策领先指标均已出现回落，历史上通常对应未来12至18个月实际收益率上升环境。该机构还称，LMOS指标通常领先比特币市占率约12个月，当前读数意味着BTC dominance或继续上升，市场环境可能面临类似2022年的流动性压力。,webhook,BTC,BTCUSDT,BTCUSDT,institutional_flow,observe,4
