position_key,updated_at_utc,updated_at_china,address,entity,asset_symbol,side,szi_abs,position_value_usd,entry_px,liquidation_px,mark_px,liquidation_distance_pct,near_liquidation,unrealized_pnl,return_on_equity,above_threshold
0x6c8512516ce5669d35113a11ca8b8de322fd84f6:ETH,2026-06-03T11:37:54Z,2026-06-03 19:37:54 UTC+8,0x6c8512516ce5669d35113a11ca8b8de322fd84f6,Matrixport Related,ETH,long,40000,75180000.00,2265.44,1416.5957073393,1879.50000000,0.246291,false,-15437764.9732089993,-3.4072270438,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:TON,2026-06-03T11:37:54Z,2026-06-03 19:37:54 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,TON,long,1896902.6,3810497.94,1.86584,,2.00880000,,false,271175.45864,0.3830895035,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:HYPE,2026-06-03T11:37:54Z,2026-06-03 19:37:54 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,HYPE,long,82195.47,5966486.97,70.2041,,72.58900000,,false,196021.7805,0.0679396804,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:VVV,2026-05-29T04:18:10Z,2026-05-29 12:18:10 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,VVV,short,47728.09,752767.44,18.9744,1060.3036228196,15.77200000,66.226961,false,152848.89886,0.506336601,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:LIT,2026-05-29T04:18:10Z,2026-05-29 12:18:10 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,LIT,short,635319,733856.98,1.195291,84.3808865763,1.15510000,72.050720,false,25534.4893,0.1008748074,false
0x082e843a431aef031264dc232693dd710aedca88:HYPE,2026-06-03T11:37:54Z,2026-06-03 19:37:54 UTC+8,0x082e843a431aef031264dc232693dd710aedca88,Unknown HYPE Whale,HYPE,long,1380042.66,100072413.45,38.6755,54.9286318789,72.51400000,0.242510,false,46698483.4004919976,4.3746528839,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:ASTER,2026-06-03T11:37:54Z,2026-06-03 19:37:54 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,ASTER,long,3584396,2435274.49,0.74332,,0.67941000,,false,-229079.3342,-0.4298966084,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:ZEC,2026-06-03T11:37:54Z,2026-06-03 19:37:54 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,ZEC,long,9085.89,5415917.31,543.6207,,596.08000000,,false,476638.5771,0.9649963138,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:XMR,2026-06-03T11:37:54Z,2026-06-03 19:37:54 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,XMR,long,6421.686,2209830.59,336.877,,344.12000000,,false,46507.98958,0.1074920348,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:NEAR,2026-06-03T11:37:54Z,2026-06-03 19:37:54 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,NEAR,long,905581.7,2608528.09,2.76534,,2.88050000,,false,104280.36393,0.4164139313,false
0x50b309f78e774a756a2230e1769729094cac9f20:BTC,2026-06-03T11:37:54Z,2026-06-03 19:37:54 UTC+8,0x50b309f78e774a756a2230e1769729094cac9f20,Unknown Hyperliquid Whale,BTC,short,1040.14182,69783114.70,66450.1,70086.401040642,67090.00000000,0.044662,true,-665509.09178,-0.1925729591,true
