position_key,updated_at_utc,updated_at_china,address,entity,asset_symbol,side,szi_abs,position_value_usd,entry_px,liquidation_px,mark_px,liquidation_distance_pct,near_liquidation,unrealized_pnl,return_on_equity,above_threshold
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f:BTC,2026-05-28T06:09:10Z,2026-05-28 14:09:10 UTC+8,0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,Unknown Hyperliquid Whale,BTC,long,476.40341,34750293.94,76687.8,62125.5076435114,72943.00000000,0.148301,false,-1784044.9364700001,-0.2441600138,true
0x6c8512516ce5669d35113a11ca8b8de322fd84f6:ETH,2026-05-28T06:09:10Z,2026-05-28 14:09:10 UTC+8,0x6c8512516ce5669d35113a11ca8b8de322fd84f6,Matrixport Related,ETH,long,40000,79076000.00,2265.44,1355.9019394571,1976.90000000,0.314127,false,-11541764.9732089993,-2.5473514993,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:BTC,2026-05-28T06:09:10Z,2026-05-28 14:09:10 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,BTC,short,468.43504,34169057.12,75280.1,212791.6650751589,72943.00000000,1.917232,false,1094789.28183,0.3104565705,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:TON,2026-05-28T06:09:10Z,2026-05-28 14:09:10 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,TON,short,3749.3,6682.00,1.7575,16120.8046856606,1.78220000,9044.452074,false,-92.60771,-0.0702702703,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:HYPE,2026-05-28T06:09:10Z,2026-05-28 14:09:10 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,HYPE,short,1807855.3,102825385.90,45.3701,90.230881307,56.87700000,0.586421,false,-20802715.3528899997,-1.2681076594,true
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:VVV,2026-05-28T06:09:10Z,2026-05-28 14:09:10 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,VVV,short,47728.09,707903.03,18.9744,1206.0243243193,14.83200000,80.312320,false,197713.30346,0.6549571688,false
0x8def9f50456c6c4e37fa5d3d57f108ed23992dae:LIT,2026-05-28T06:09:10Z,2026-05-28 14:09:10 UTC+8,0x8def9f50456c6c4e37fa5d3d57f108ed23992dae,loraclexyz,LIT,short,635319,697326.13,1.195291,96.0089612162,1.09760000,86.471721,false,62065.3318,0.2451910558,false
0x082e843a431aef031264dc232693dd710aedca88:HYPE,2026-05-28T06:09:10Z,2026-05-28 14:09:10 UTC+8,0x082e843a431aef031264dc232693dd710aedca88,Unknown HYPE Whale,HYPE,long,1380042.66,78492686.37,38.6755,49.0700669089,56.87700000,0.137260,false,25118756.326072,2.3530922591,true
0x50b309f78e774a756a2230e1769729094cac9f20:BTC,2026-05-28T06:09:10Z,2026-05-28 14:09:10 UTC+8,0x50b309f78e774a756a2230e1769729094cac9f20,Unknown Hyperliquid Whale,BTC,short,115.2829,8409080.57,72930.1,103015.9474907016,72943.00000000,0.412280,false,-1477.74306,-0.0035152542,false
0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f:BTC,2026-05-28T06:34:12Z,2026-05-28 14:34:12 UTC+8,0xebe837cd345469cbc5d6e1fd3d15ee5079ac885f,Unknown Hyperliquid Whale,BTC,long,476.40341,34682168.25,76687.8,62125.5076435114,72800.00000000,0.146628,false,-1852170.6240999999,-0.2534835283,true
