event_id,event_family,reference_period,actual_release_at_utc,actual_initial,consensus_value,point_in_time_quality
4776157f717c806fa3865022,us_cpi,2019-12,2020-01-12T13:30:00Z,256.974,,missing
9454c06522447f1b30ed9ed3,us_cpi,2019-11,2019-12-11T13:30:00Z,257.208,,missing
fddcb21df3a3572e7699aab8,us_cpi,2019-10,2019-11-10T13:30:00Z,257.346,,missing
14926389c82d588b0cecda36,us_cpi,2019-09,2019-10-09T13:30:00Z,256.759,,missing
689448e654875274f9e32c64,us_cpi,2019-08,2019-09-08T13:30:00Z,256.558,,missing
da1796f05f80ab8d7b263b85,us_cpi,2019-07,2019-08-07T13:30:00Z,256.571,,missing
0de5b17d9efd8570338a3887,us_cpi,2019-06,2019-07-06T13:30:00Z,256.143,,missing
089278fab1e13a2fa4e68e27,us_cpi,2019-05,2019-06-05T13:30:00Z,256.092,,missing
b7f5771746d6f80e2a27d963,us_cpi,2019-04,2019-05-04T13:30:00Z,255.548,,missing
702a0fbde288c583c1197daf,us_cpi,2019-03,2019-04-03T13:30:00Z,254.202,,missing
f43f56d876c306b1ec58b56b,us_cpi,2019-02,2019-03-02T13:30:00Z,252.776,,missing
7daed724d759c8f9b6fa4117,us_cpi,2019-01,2019-02-01T13:30:00Z,251.712,,missing
a338f1687b23a1ca47996340,us_cpi,2018-12,2019-01-12T13:30:00Z,251.233,,missing
6c6534b2afbe52a2c57eb751,us_cpi,2018-11,2018-12-11T13:30:00Z,252.038,,missing
ee221f340880ffedd15c9c52,us_cpi,2018-10,2018-11-10T13:30:00Z,252.885,,missing
dd58f43c1bebd28010bf1fb1,us_cpi,2018-09,2018-10-09T13:30:00Z,252.439,,missing
f56fbcc422516816d2cad3ce,us_cpi,2018-08,2018-09-08T13:30:00Z,252.146,,missing
c3a5b1fab0dee90ed643ab4c,us_cpi,2018-07,2018-08-07T13:30:00Z,252.006,,missing
3fe4cb8f6fa21b57877eae66,us_cpi,2018-06,2018-07-06T13:30:00Z,251.989,,missing
841c4ca13e1539ead3442ec6,us_cpi,2018-05,2018-06-05T13:30:00Z,251.588,,missing
bc2ebc16be90eba7b408d46b,us_cpi,2018-04,2018-05-04T13:30:00Z,250.546,,missing
39a86fa5e76ea006734c4bdc,us_cpi,2018-03,2018-04-03T13:30:00Z,249.554,,missing
995a1f831b91c8b76ecf40e7,us_cpi,2018-02,2018-03-02T13:30:00Z,248.991,,missing
f5c395f580eb5bff2ae60f0a,us_cpi,2018-01,2018-02-01T13:30:00Z,247.867,,missing
25f9c7cb093c50695330bcc7,us_cpi,2017-12,2018-01-12T13:30:00Z,246.524,,missing
e2bbce67960221b0f740221e,us_cpi,2017-11,2017-12-11T13:30:00Z,246.669,,missing
d2fc6ca2957fe2aa287bd971,us_cpi,2017-10,2017-11-10T13:30:00Z,246.663,,missing
55f1442d7691bab1516524bd,us_cpi,2017-09,2017-10-09T13:30:00Z,246.819,,missing
d443d7bfa2f75fc2a4717e9b,us_cpi,2017-08,2017-09-08T13:30:00Z,245.519,,missing
5edb8cfff167f9570d6f9ec6,us_cpi,2017-07,2017-08-07T13:30:00Z,244.786,,missing
8eed140c15409f223e1e992e,us_cpi,2017-06,2017-07-06T13:30:00Z,244.955,,missing
e1086c0fa04573dbfd6f899f,us_cpi,2017-05,2017-06-05T13:30:00Z,244.733,,missing
