created_at,provider,model,task_type,prompt_path,output_path,prompt_sha256_16,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,status,error
2026-05-28 19:14:27 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_V12_HISTORICAL_POLICY_REVIEW_PROMPT.md,results\v12_claude_historical_policy_review.md,c47d9e6f96280b5d,2358,7000,9358,0.112074,ok,
2026-05-28 19:34:48 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_V12_CONTINUATION_PROMPT.md,results\v12_claude_continuation_response.md,8c190e43eef48c4a,1778,7000,8778,0.110334,ok,
2026-05-28 19:53:37 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_V13_QUALITY_AUDIT_CONTINUATION_PROMPT.md,results\v13_claude_quality_audit_continuation.md,3363284cdfab6b10,2700,6000,8700,0.0981,ok,
2026-05-28 20:14:46 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_V13_EXTENDED_REPLAY_REVIEW_PROMPT.md,results\v13_claude_extended_replay_review.md,aedd5966ac737322,2522,6094,8616,0.098976,ok,
2026-05-28 20:43:36 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_V14_EXTERNAL_REFERENCE_UPGRADE_PROMPT.md,results\v14_claude_external_reference_upgrade.md,5472f243ec2bbd0d,1827,7000,8827,0.110481,ok,
2026-05-28 20:59:19 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_V14_COMPOSER_POLICY_REVIEW_PROMPT.md,results\v14_claude_composer_policy_review.md,fa275c1ff9148d3e,1588,4500,6088,0.072264,ok,
2026-05-28 21:09:31 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_V14_GATE_POLICY_REVIEW_PROMPT.md,results\v14_claude_gate_policy_review.md,957bbc5b8aba699f,2283,5500,7783,0.089349,ok,
2026-05-28 21:24:21 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_V14_UPGRADE_DIGEST_REVIEW_PROMPT.md,results\v14_claude_upgrade_digest_review.md,76a9f9ee066d7890,1293,3683,4976,0.059124,ok,
2026-05-28 21:36:31 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_V14_FIRST_HAND_SOURCE_REVIEW_PROMPT.md,results\v14_claude_first_hand_source_review.md,5040a1ca5c63d40a,1514,1950,3464,0.033792,ok,
2026-05-28 21:41:17 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_V14_VALIDATION_LOOP_REVIEW_PROMPT.md,results\v14_claude_validation_loop_review.md,f8898a2d6f3af330,1286,4169,5455,0.066393,ok,
2026-05-28 21:47:39 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_V14_FIVE_TASK_ACCEPTANCE_REVIEW_PROMPT.md,results\v14_claude_five_task_acceptance_review.md,61f50667898bdcc7,1576,4500,6076,0.072228,ok,
2026-05-28 22:35:17 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_NEXT_PROMPT.md,results\v14_claude_market_state_next_review.md,4c5b0b0a5b356efe,2312,7000,9312,0.111936,ok,
2026-05-28 22:45:55 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_NEXT_PROMPT.md,results\v14_claude_after_p0_p1_review.md,6acb13e743c1bc96,1538,4262,5800,0.068544,ok,
2026-05-28 23:01:02 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_NEXT_PROMPT.md,results\v14_claude_derivatives_percentile_review.md,4c0f56d7399455e8,1664,3885,5549,0.063267,ok,
2026-05-29 12:09:56 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_NEXT_PROMPT.md,results\v15_claude_tg_digest_hyperliquid_review.md,4975a77292a159ff,2921,5645,8566,0.093438,ok,
2026-05-29 12:20:52 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_NEXT_PROMPT.md,results\v15_claude_hyperliquid_after_impl_review.md,83a6893dd1d86696,2166,5399,7565,0.087483,ok,
2026-05-29 12:52:15 UTC+8,openrouter,anthropic/claude-sonnet-4.5,claude_consultation,docs\CLAUDE_NEXT_PROMPT.md,results\v15_claude_liquidation_whale_onchain_review.md,825af2ca0fc0608a,2883,6000,8883,0.098649,ok,
