asset_symbol,binance_futures_symbol,metric,sample_time_utc,sample_time_china,value
BTC,BTCUSDT,open_interest_value_usd,2026-04-29T08:00:00Z,2026-04-29 16:00:00 UTC+8,7553350834.0382366180
BTC,BTCUSDT,open_interest_value_usd,2026-04-29T12:00:00Z,2026-04-29 20:00:00 UTC+8,7696117657.9167995453
BTC,BTCUSDT,open_interest_value_usd,2026-04-29T16:00:00Z,2026-04-30 00:00:00 UTC+8,7399899750.3832626343
BTC,BTCUSDT,open_interest_value_usd,2026-04-29T20:00:00Z,2026-04-30 04:00:00 UTC+8,7188966080.4386091232
BTC,BTCUSDT,open_interest_value_usd,2026-04-30T00:00:00Z,2026-04-30 08:00:00 UTC+8,7233847598.3535995483
BTC,BTCUSDT,open_interest_value_usd,2026-04-30T04:00:00Z,2026-04-30 12:00:00 UTC+8,7224911059.7227125168
BTC,BTCUSDT,open_interest_value_usd,2026-04-30T08:00:00Z,2026-04-30 16:00:00 UTC+8,7236439627.4700002670
BTC,BTCUSDT,open_interest_value_usd,2026-04-30T12:00:00Z,2026-04-30 20:00:00 UTC+8,7263244363.0855998993
BTC,BTCUSDT,open_interest_value_usd,2026-04-30T16:00:00Z,2026-05-01 00:00:00 UTC+8,7344902983.3247995377
BTC,BTCUSDT,open_interest_value_usd,2026-04-30T20:00:00Z,2026-05-01 04:00:00 UTC+8,7314107952.7462005615
BTC,BTCUSDT,open_interest_value_usd,2026-05-01T00:00:00Z,2026-05-01 08:00:00 UTC+8,7272988012.4989385605
BTC,BTCUSDT,open_interest_value_usd,2026-05-01T04:00:00Z,2026-05-01 12:00:00 UTC+8,7386251863.5288667679
BTC,BTCUSDT,open_interest_value_usd,2026-05-01T08:00:00Z,2026-05-01 16:00:00 UTC+8,7468988062.1538238525
BTC,BTCUSDT,open_interest_value_usd,2026-05-01T12:00:00Z,2026-05-01 20:00:00 UTC+8,7645911866.2725000381
BTC,BTCUSDT,open_interest_value_usd,2026-05-01T16:00:00Z,2026-05-02 00:00:00 UTC+8,8189753949.0183553696
BTC,BTCUSDT,open_interest_value_usd,2026-05-01T20:00:00Z,2026-05-02 04:00:00 UTC+8,8216706900.1599998474
BTC,BTCUSDT,open_interest_value_usd,2026-05-02T00:00:00Z,2026-05-02 08:00:00 UTC+8,8121402240.8432998657
BTC,BTCUSDT,open_interest_value_usd,2026-05-02T04:00:00Z,2026-05-02 12:00:00 UTC+8,8157958153.7630653381
BTC,BTCUSDT,open_interest_value_usd,2026-05-02T08:00:00Z,2026-05-02 16:00:00 UTC+8,8014887656.4455995560
BTC,BTCUSDT,open_interest_value_usd,2026-05-02T12:00:00Z,2026-05-02 20:00:00 UTC+8,7977604272.5319004059
BTC,BTCUSDT,open_interest_value_usd,2026-05-02T16:00:00Z,2026-05-03 00:00:00 UTC+8,8007215998.6404504776
BTC,BTCUSDT,open_interest_value_usd,2026-05-02T20:00:00Z,2026-05-03 04:00:00 UTC+8,8001354333.3767995834
BTC,BTCUSDT,open_interest_value_usd,2026-05-03T00:00:00Z,2026-05-03 08:00:00 UTC+8,8029811346.9240779877
BTC,BTCUSDT,open_interest_value_usd,2026-05-03T04:00:00Z,2026-05-03 12:00:00 UTC+8,8040789326.8124885559
BTC,BTCUSDT,open_interest_value_usd,2026-05-03T08:00:00Z,2026-05-03 16:00:00 UTC+8,8065413083.3415002823
BTC,BTCUSDT,open_interest_value_usd,2026-05-03T12:00:00Z,2026-05-03 20:00:00 UTC+8,8104796425.8929996490
BTC,BTCUSDT,open_interest_value_usd,2026-05-03T16:00:00Z,2026-05-04 00:00:00 UTC+8,8143821244.0707349777
BTC,BTCUSDT,open_interest_value_usd,2026-05-03T20:00:00Z,2026-05-04 04:00:00 UTC+8,8149147827.7215995789
BTC,BTCUSDT,open_interest_value_usd,2026-05-04T00:00:00Z,2026-05-04 08:00:00 UTC+8,8119065512.7146997452
BTC,BTCUSDT,open_interest_value_usd,2026-05-04T04:00:00Z,2026-05-04 12:00:00 UTC+8,8686759598.9949398041
BTC,BTCUSDT,open_interest_value_usd,2026-05-04T08:00:00Z,2026-05-04 16:00:00 UTC+8,8607399067.7675476074
BTC,BTCUSDT,open_interest_value_usd,2026-05-04T12:00:00Z,2026-05-04 20:00:00 UTC+8,7967711947.2930002213
BTC,BTCUSDT,open_interest_value_usd,2026-05-04T16:00:00Z,2026-05-05 00:00:00 UTC+8,8584470415.2636003494
BTC,BTCUSDT,open_interest_value_usd,2026-05-04T20:00:00Z,2026-05-05 04:00:00 UTC+8,8728435684.2373008728
BTC,BTCUSDT,open_interest_value_usd,2026-05-05T00:00:00Z,2026-05-05 08:00:00 UTC+8,8675908060.2404994965
BTC,BTCUSDT,open_interest_value_usd,2026-05-05T04:00:00Z,2026-05-05 12:00:00 UTC+8,9010395422.0879993439
BTC,BTCUSDT,open_interest_value_usd,2026-05-05T08:00:00Z,2026-05-05 16:00:00 UTC+8,8980584209.2790088654
BTC,BTCUSDT,open_interest_value_usd,2026-05-05T12:00:00Z,2026-05-05 20:00:00 UTC+8,9199431974.9477996826
BTC,BTCUSDT,open_interest_value_usd,2026-05-05T16:00:00Z,2026-05-06 00:00:00 UTC+8,9378267891.1236495972
BTC,BTCUSDT,open_interest_value_usd,2026-05-05T20:00:00Z,2026-05-06 04:00:00 UTC+8,9287239431.1452007294
BTC,BTCUSDT,open_interest_value_usd,2026-05-06T00:00:00Z,2026-05-06 08:00:00 UTC+8,9157591576.7630004883
BTC,BTCUSDT,open_interest_value_usd,2026-05-06T04:00:00Z,2026-05-06 12:00:00 UTC+8,9303064522.7520008087
BTC,BTCUSDT,open_interest_value_usd,2026-05-06T08:00:00Z,2026-05-06 16:00:00 UTC+8,9259773673.9722003937
BTC,BTCUSDT,open_interest_value_usd,2026-05-06T12:00:00Z,2026-05-06 20:00:00 UTC+8,9127259593.4598007202
BTC,BTCUSDT,open_interest_value_usd,2026-05-06T16:00:00Z,2026-05-07 00:00:00 UTC+8,8796361306.9716663361
BTC,BTCUSDT,open_interest_value_usd,2026-05-06T20:00:00Z,2026-05-07 04:00:00 UTC+8,8719104410.2963409424
BTC,BTCUSDT,open_interest_value_usd,2026-05-07T00:00:00Z,2026-05-07 08:00:00 UTC+8,8658795642.0740585327
BTC,BTCUSDT,open_interest_value_usd,2026-05-07T04:00:00Z,2026-05-07 12:00:00 UTC+8,8657565680.3633995056
BTC,BTCUSDT,open_interest_value_usd,2026-05-07T08:00:00Z,2026-05-07 16:00:00 UTC+8,8724007432.0953330994
BTC,BTCUSDT,open_interest_value_usd,2026-05-07T12:00:00Z,2026-05-07 20:00:00 UTC+8,8528411068.5839996338
BTC,BTCUSDT,open_interest_value_usd,2026-05-07T16:00:00Z,2026-05-08 00:00:00 UTC+8,8354081867.7096004486
BTC,BTCUSDT,open_interest_value_usd,2026-05-07T20:00:00Z,2026-05-08 04:00:00 UTC+8,8328806031.6990003586
BTC,BTCUSDT,open_interest_value_usd,2026-05-08T00:00:00Z,2026-05-08 08:00:00 UTC+8,8308690896.8016004562
BTC,BTCUSDT,open_interest_value_usd,2026-05-08T04:00:00Z,2026-05-08 12:00:00 UTC+8,8235250861.2145395279
BTC,BTCUSDT,open_interest_value_usd,2026-05-08T08:00:00Z,2026-05-08 16:00:00 UTC+8,8218910403.7547664642
BTC,BTCUSDT,open_interest_value_usd,2026-05-08T12:00:00Z,2026-05-08 20:00:00 UTC+8,8270541923.5017004013
BTC,BTCUSDT,open_interest_value_usd,2026-05-08T16:00:00Z,2026-05-09 00:00:00 UTC+8,8160642381.2983999252
BTC,BTCUSDT,open_interest_value_usd,2026-05-08T20:00:00Z,2026-05-09 04:00:00 UTC+8,8101849945.9167881012
BTC,BTCUSDT,open_interest_value_usd,2026-05-09T00:00:00Z,2026-05-09 08:00:00 UTC+8,8082993139.7756996155
BTC,BTCUSDT,open_interest_value_usd,2026-05-09T04:00:00Z,2026-05-09 12:00:00 UTC+8,8131290843.4548997879
BTC,BTCUSDT,open_interest_value_usd,2026-05-09T08:00:00Z,2026-05-09 16:00:00 UTC+8,8096168140.6049604416
BTC,BTCUSDT,open_interest_value_usd,2026-05-09T12:00:00Z,2026-05-09 20:00:00 UTC+8,8095879653.9634685516
BTC,BTCUSDT,open_interest_value_usd,2026-05-09T16:00:00Z,2026-05-10 00:00:00 UTC+8,8080455441.0780000687
BTC,BTCUSDT,open_interest_value_usd,2026-05-09T20:00:00Z,2026-05-10 04:00:00 UTC+8,8122608075.7760000229
BTC,BTCUSDT,open_interest_value_usd,2026-05-10T00:00:00Z,2026-05-10 08:00:00 UTC+8,8081660980.5391702652
BTC,BTCUSDT,open_interest_value_usd,2026-05-10T04:00:00Z,2026-05-10 12:00:00 UTC+8,8075255232.9943714142
BTC,BTCUSDT,open_interest_value_usd,2026-05-10T08:00:00Z,2026-05-10 16:00:00 UTC+8,8065664767.8355951309
BTC,BTCUSDT,open_interest_value_usd,2026-05-10T12:00:00Z,2026-05-10 20:00:00 UTC+8,8022426378.2487993240
BTC,BTCUSDT,open_interest_value_usd,2026-05-10T16:00:00Z,2026-05-11 00:00:00 UTC+8,8109547128.3796310425
BTC,BTCUSDT,open_interest_value_usd,2026-05-10T20:00:00Z,2026-05-11 04:00:00 UTC+8,8183317731.3420000076
BTC,BTCUSDT,open_interest_value_usd,2026-05-11T00:00:00Z,2026-05-11 08:00:00 UTC+8,8256374453.7735996246
BTC,BTCUSDT,open_interest_value_usd,2026-05-11T04:00:00Z,2026-05-11 12:00:00 UTC+8,7775460703.4697446823
BTC,BTCUSDT,open_interest_value_usd,2026-05-11T08:00:00Z,2026-05-11 16:00:00 UTC+8,7761989840.8007001877
BTC,BTCUSDT,open_interest_value_usd,2026-05-11T12:00:00Z,2026-05-11 20:00:00 UTC+8,7840962880.7405004501
BTC,BTCUSDT,open_interest_value_usd,2026-05-11T16:00:00Z,2026-05-12 00:00:00 UTC+8,7980769586.7032003403
BTC,BTCUSDT,open_interest_value_usd,2026-05-11T20:00:00Z,2026-05-12 04:00:00 UTC+8,8217601601.6551246643
BTC,BTCUSDT,open_interest_value_usd,2026-05-12T00:00:00Z,2026-05-12 08:00:00 UTC+8,8212936557.3812551498
BTC,BTCUSDT,open_interest_value_usd,2026-05-12T04:00:00Z,2026-05-12 12:00:00 UTC+8,8211021984.2070999146
BTC,BTCUSDT,open_interest_value_usd,2026-05-12T08:00:00Z,2026-05-12 16:00:00 UTC+8,8206708654.5536031723
BTC,BTCUSDT,open_interest_value_usd,2026-05-12T12:00:00Z,2026-05-12 20:00:00 UTC+8,8179043730.0480003357
BTC,BTCUSDT,open_interest_value_usd,2026-05-12T16:00:00Z,2026-05-13 00:00:00 UTC+8,8374863367.6727294922
BTC,BTCUSDT,open_interest_value_usd,2026-05-12T20:00:00Z,2026-05-13 04:00:00 UTC+8,8566480064.9219999313
BTC,BTCUSDT,open_interest_value_usd,2026-05-13T00:00:00Z,2026-05-13 08:00:00 UTC+8,8487896434.2586603165
BTC,BTCUSDT,open_interest_value_usd,2026-05-13T04:00:00Z,2026-05-13 12:00:00 UTC+8,8575156602.1281995773
BTC,BTCUSDT,open_interest_value_usd,2026-05-13T08:00:00Z,2026-05-13 16:00:00 UTC+8,8545702322.8648481369
BTC,BTCUSDT,open_interest_value_usd,2026-05-13T12:00:00Z,2026-05-13 20:00:00 UTC+8,8427092355.3041229248
BTC,BTCUSDT,open_interest_value_usd,2026-05-13T16:00:00Z,2026-05-14 00:00:00 UTC+8,8179885154.9125585556
BTC,BTCUSDT,open_interest_value_usd,2026-05-13T20:00:00Z,2026-05-14 04:00:00 UTC+8,8307110481.2353963852
BTC,BTCUSDT,open_interest_value_usd,2026-05-14T00:00:00Z,2026-05-14 08:00:00 UTC+8,8269001740.5371999741
BTC,BTCUSDT,open_interest_value_usd,2026-05-14T04:00:00Z,2026-05-14 12:00:00 UTC+8,8223338687.6756248474
BTC,BTCUSDT,open_interest_value_usd,2026-05-14T08:00:00Z,2026-05-14 16:00:00 UTC+8,8282008094.9088001251
BTC,BTCUSDT,open_interest_value_usd,2026-05-14T12:00:00Z,2026-05-14 20:00:00 UTC+8,8242743574.9175996780
BTC,BTCUSDT,open_interest_value_usd,2026-05-14T16:00:00Z,2026-05-15 00:00:00 UTC+8,8726043634.6235466003
