generated_at_china,source_id,source_family,source_channel,source_channel_type,candidate_count,backtested_count,uncategorized_count,uncategorized_ratio,top_event_type,top_event_type_share,top_event_subtype,top_asset,top_asset_share,avg_abnormal_vs_btc_24h,win_rate_vs_btc_24h,reliability_status
2026-05-28 20:06:04 UTC+8,webhook,webhook_news,webhook,webhook,2087,93,1126,0.5395,other,0.5395,needs_taxonomy_review,UNKNOWN,0.575,0.022354,0.8172,promising_needs_validation
2026-05-28 20:06:04 UTC+8,news_jin10,news_import,news:jin10,unknown,1496,0,806,0.5388,other,0.5388,needs_taxonomy_review,UNKNOWN,0.6156,0.0,0.0,insufficient_data
2026-05-28 20:06:04 UTC+8,tg_hyperinsight,historical_news,tg:HyperInsight,telegram_channel,287,7,0,0.0,whale_position,0.9338,whale_wallet_position,BTC,0.5854,0.010151,0.8571,insufficient_data
2026-05-28 20:06:04 UTC+8,news_cryptonews,news_import,news:cryptonews,unknown,213,28,2,0.0094,macro,0.5023,macro_event,BTC,0.6714,0.005162,0.5,monitor
2026-05-28 20:06:04 UTC+8,tg_onemillion_ai,telegram_news,tg:OneMillion_AI,telegram_channel,123,0,24,0.1951,macro,0.2439,macro_event,UNKNOWN,0.7154,0.0,0.0,insufficient_data
2026-05-28 20:06:04 UTC+8,news_odaily_exchange_gap,news_import,news:odaily_exchange_gap,unknown,110,8,7,0.0636,macro,0.5455,macro_event,BTC,0.4364,0.016933,0.625,insufficient_data
2026-05-28 20:06:04 UTC+8,news_cointelegraph,news_import,news:cointelegraph,unknown,106,42,0,0.0,macro,0.5566,macro_event,ADA,0.8679,-0.002943,0.3571,weak_or_context_only
2026-05-28 20:06:04 UTC+8,news_coinpaper,news_import,news:coinpaper,unknown,94,4,0,0.0,macro,0.7128,macro_event,BTC,0.6489,0.060196,0.5,insufficient_data
2026-05-28 20:06:04 UTC+8,news_bitcoinist,news_import,news:bitcoinist,unknown,80,44,0,0.0,macro,0.425,macro_event,BNB,0.9,0.002147,0.6136,weak_or_context_only
2026-05-28 20:06:04 UTC+8,news_utoday,news_import,news:utoday,unknown,79,14,0,0.0,macro,0.5316,macro_event,BTC,0.5316,-0.005316,0.4286,monitor
2026-05-28 20:06:04 UTC+8,news_decrypt,news_import,news:decrypt,unknown,58,22,0,0.0,macro,0.6034,macro_event,AAVE,1.0,-0.000549,0.5455,weak_or_context_only
2026-05-28 20:06:04 UTC+8,news_watcherguru,news_import,news:watcherguru,unknown,55,4,0,0.0,halving,0.8182,halving,BTC,0.9091,0.00754,1.0,insufficient_data
2026-05-28 20:06:04 UTC+8,news_coinpedia,news_import,news:coinpedia,unknown,46,4,0,0.0,macro,0.3696,macro_event,BTC,0.6087,0.003726,0.75,insufficient_data
2026-05-28 20:06:04 UTC+8,news_kucoin_ann,news_import,news:kucoin_ann,unknown,34,3,0,0.0,macro,0.4706,macro_event,USDT,0.3529,0.005572,0.6667,insufficient_data
2026-05-28 20:06:04 UTC+8,news_coindesk,news_import,news:coindesk,unknown,30,2,2,0.0667,macro,0.4333,macro_event,BTC,0.7667,-0.003081,0.0,insufficient_data
2026-05-28 20:06:04 UTC+8,news_dailyhodl,news_import,news:dailyhodl,unknown,20,0,1,0.05,macro,0.5,macro_event,BTC,1.0,0.0,0.0,insufficient_data
2026-05-28 20:06:04 UTC+8,news_99bitcoins,news_import,news:99bitcoins,unknown,17,5,0,0.0,macro,0.3529,macro_event,BTC,0.5294,4.5e-05,0.2,insufficient_data
2026-05-28 20:06:04 UTC+8,news_coinjournal,news_import,news:coinjournal,unknown,17,0,0,0.0,macro,0.4118,macro_event,BTC,0.7059,0.0,0.0,insufficient_data
2026-05-28 20:06:04 UTC+8,news_bybit_ann,news_import,news:bybit_ann,unknown,13,0,0,0.0,exchange_listing,0.7692,listing_delisting,USDT,0.6154,0.0,0.0,insufficient_data
2026-05-28 20:06:04 UTC+8,news_binance_ann,news_import,news:binance_ann,unknown,11,0,0,0.0,macro,0.7273,macro_event,BTC,0.3636,0.0,0.0,insufficient_data
2026-05-28 20:06:04 UTC+8,news_cryptonewsflash,news_import,news:cryptonewsflash,unknown,9,1,0,0.0,macro,0.5556,macro_event,BTC,0.6667,0.01159,1.0,insufficient_data
2026-05-28 20:06:04 UTC+8,news_bitcoinmagazine,news_import,news:bitcoinmagazine,unknown,6,0,0,0.0,macro,0.8333,macro_event,BTC,1.0,0.0,0.0,insufficient_data
2026-05-28 20:06:04 UTC+8,news_okx_ann,news_import,news:okx_ann,unknown,5,0,0,0.0,macro,0.4,macro_event,BTC,0.4,0.0,0.0,insufficient_data
2026-05-28 20:06:04 UTC+8,news_bitmex_ann,news_import,news:bitmex_ann,unknown,2,0,0,0.0,market_structure,0.5,price_market_structure,UNKNOWN,0.5,0.0,0.0,insufficient_data
2026-05-28 20:06:04 UTC+8,news_kraken_ann,news_import,news:kraken_ann,unknown,2,0,0,0.0,staking_governance,0.5,staking_or_governance,UNKNOWN,0.5,0.0,0.0,insufficient_data
