generated_at_china,subsource,candidate_count,backtested_count,unknown_ratio,avg_abnormal_vs_btc_24h,win_rate_vs_btc_24h,score,score_reasons,recommended_action,max_per_digest,max_per_hour
2026-05-28 20:30:13 UTC+8,news:bitcoinist,80,44,0.0,0.002147,0.6136,70,"candidate_count>=20,backtested_count>=10,win_rate>=60,unknown_ratio<=30",trust,3,10
2026-05-28 20:30:13 UTC+8,webhook_bijie,341,12,0.1906,0.03009,0.75,55,"candidate_count>=20,backtested_count>=10,avg_24h>=1pct,win_rate>=60,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,webhook_wublockchain,72,9,0.2639,0.010135,0.7778,55,"candidate_count>=20,avg_24h>=1pct,win_rate>=60,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,news:odaily_exchange_gap,110,8,0.0636,0.016933,0.625,55,"candidate_count>=20,avg_24h>=1pct,win_rate>=60,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,webhook_etf_news,39,7,0.2564,0.015668,0.8571,55,"candidate_count>=20,avg_24h>=1pct,win_rate>=60,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,webhook_okx,8,3,0.25,0.034427,1.0,55,"avg_24h>=1pct,win_rate>=60,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,news:cryptonewsflash,9,1,0.0,0.01159,1.0,55,"avg_24h>=1pct,win_rate>=60,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,news:cointelegraph,106,42,0.0,-0.002943,0.3571,50,"candidate_count>=20,backtested_count>=10,unknown_ratio<=30",validate,2,5
2026-05-28 20:30:13 UTC+8,news:cryptonews,213,28,0.0094,0.005162,0.5,50,"candidate_count>=20,backtested_count>=10,unknown_ratio<=30",validate,2,5
2026-05-28 20:30:13 UTC+8,news:decrypt,58,22,0.0,-0.000549,0.5455,50,"candidate_count>=20,backtested_count>=10,unknown_ratio<=30",validate,2,5
2026-05-28 20:30:13 UTC+8,news:utoday,79,14,0.0,-0.005316,0.4286,50,"candidate_count>=20,backtested_count>=10,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,news:coinpaper,94,4,0.0,0.060196,0.5,50,"candidate_count>=20,avg_24h>=1pct,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,news:coinpedia,46,4,0.0,0.003726,0.75,50,"candidate_count>=20,win_rate>=60,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,news:watcherguru,55,4,0.0,0.00754,1.0,50,"candidate_count>=20,win_rate>=60,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,news:kucoin_ann,34,3,0.0,0.005572,0.6667,50,"candidate_count>=20,win_rate>=60,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,webhook_cointelegraph,83,1,0.2289,1.9e-05,1.0,50,"candidate_count>=20,win_rate>=60,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
2026-05-28 20:30:13 UTC+8,webhook_security_news,32,1,0.0,0.008158,1.0,50,"candidate_count>=20,win_rate>=60,unknown_ratio<=30,low_backtest_count_cap",validate,2,5
