manual_decision,manual_event_type_l1,manual_event_type_l2,manual_primary_asset_symbol,manual_channel_route,manual_useful_for_research,manual_notes,label_source,candidate_id,published_at,published_at_utc,published_at_china,backtest_time,backtest_time_utc,backtest_time_china,source_timezone,source_timezone_assumption,title,content,source,url,primary_asset_symbol,candidate_asset_symbol,event_type_l1,event_type_l2,event_scope,publish_decision,research_priority,channel_route,tradability_tier,tradability_tier_reason,relevance_score_realtime,discard_reason,relevance_flags,detected_entity_names,entity_flags,suggested_manual_decision,suggested_manual_event_type_l1,suggested_manual_event_type_l2,suggested_manual_primary_asset_symbol,suggested_manual_channel_route,suggested_manual_useful_for_research,auto_label_confidence,auto_label_reasons,auto_label_apply,auto_prefilled,manual_review_required,label_origin
discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95),discard_audit,cand_00001,2026-05-19 10:42:30 UTC+8,2026-05-19T02:42:30Z,2026-05-19 10:42:30 UTC+8,2026-05-19 10:42:30 UTC+8,2026-05-19T02:42:30Z,2026-05-19 10:42:30 UTC+8,Asia/Shanghai,source_rule:tg:,AI包月「续杯」终结！谷歌Gemini改用「算力限额」,"AI包月「续杯」终结！谷歌Gemini改用「算力限额」
谷歌针对其 AI 助手 Gemini 的服务条款发布公告，宣布自 2026 年 5 月 17 日起，全面调整年满 18 周岁用户的用量限额规则。Gemini 将彻底弃用传统的「每日固定提问次数」限制，改用基于计算的用量限额，额度每 5 小时刷新一次并设有每周上限。
根据新规，系统将依据提示的复杂程度、用户所用功能以及对话长度来实时计算额度消耗。使用 Pro 模型、Deep Research、扩展思考与 Deep Think 以及生成图片、视频或音乐等媒体功能，将更快速地消耗额度。付费用户的限额倍数将与订阅价格直接挂钩，8 美元/月的 AI Plus 用户享有 2 倍于免费用户的额度，20 美元/月的 AI Pro 用户享有 4 倍额度，而 250 美元/月的 AI Ultra 用户额度则高达免费用户的 20 倍。
信源：https://support.google.com/gemini/answer/17004136?hl=zh-Hans",tg:OneMillion_AI,https://t.me/OneMillion_AI/2155,,,regulation_macro,macro,market_wide,discard,discard,macro_policy,T2,market_wide_or_policy_event,67.25,"ai_only_non_crypto,low_crypto_relevance",,US Dollar|AI,ai_only_non_crypto,discard,regulation_macro,macro,,macro_policy,no,0.95,"publish_decision=discard,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional
approve_publish,regulation_macro,regulation,ADA,macro_policy,yes,auto_provisional(conf=0.90),publish_review,cand_00003,2026-05-19 10:37:19 UTC+8,2026-05-19T02:37:19Z,2026-05-19 10:37:19 UTC+8,2026-05-19 10:37:19 UTC+8,2026-05-19T02:37:19Z,2026-05-19 10:37:19 UTC+8,UTC,source_rule:news:cointelegraph,SEC Exemption Tokenized Stock Trading: Report,"SEC Exemption Tokenized Stock Trading: Report Ecosystem English News Markets Features Learn Sponsored About XMR $390.32 1.60% LINK $9.73 2.83% DOGE $0.1044 0.15% ADA $0.2519 1.30% BTC $76,970 0.22% ZEC $566.99 6.48% SOL $85.20 0.72% XRP $1.38 0.02% BCH $382.22 3.47% ETH $2,134 0.89% HYPE $47.67 5.19% TRX $0.3571 0.24% BNB $643.64 0.55% Written by Brayden Lindrea ⁠, Staff Writer. Reviewed by Felix Ng ⁠, Staff Editor. Written by Brayden Lindrea ⁠, Staff Writer. Reviewed by Felix Ng ⁠, Staff Editor. SEC to make ‘innovation exemption’ for tokenized stock trading: Report Latest News Published May 19, 2026 Several SEC officials reportedly didn’t support the decision, while tokenization platform Securitize flagged risks with enabling third-party platforms to issue tokenized stocks. The US Securities and Exchange Commission is reportedly making an “innovation exemption” for blockchain-based tokenized trading of public companies, even those that don’t consent to the third-party tokens tracking their share prices. Bloomberg reported on Monday that the exemption could come as early as this week, expanding the trading of public companies beyond traditional stock exchanges to decentralized crypto platforms. The SEC reportedly spoke with “hundreds of market participants” for feedback on how best to tailor the rules for tokenized trading and proposed that third-party tokens carry the same benefits as common stock, such as voting rights and dividends, or risk being delisted. Details haven’t been finalized and could change before the exemption is made, Bloomberg reported, citing people familiar with the matter. SEC Commissioner Hester Peirce led the push for tokenized stock trading to receive an innovation exemption, the sources said. Blockchain-based tokenization has attracted growing interest from Wall Street firms over the past few years, as it’s seen as offering potentially greater efficiencies for trading and settlement than traditional systems. The New York Stock Exchange’s parent, Intercontinental Exchange, said in January that it would launch a tokenization platform for 24/7 trading and settlement of stocks and exchange-traded funds using a blockchain post-trade system, marking one of the biggest developments in the tokenization space to date. Source: Nate Geraci Bullish, the crypto exchange led by former NYSE president Tom Farley, also strengthened its tokenization capabilities earlier this month with its $4.2 billion acquisition of transfer agent platform Equiniti. Backers of tokenized stock trading have also said the technology can promote financial inclusion by enabling individuals without access to US markets or traditional brokerage accounts to gain exposure to public companies including Nvidia (NVDA), Google (GOOGL) and Tesla (TSLA). Related: Kraken parent Payward sees revenue surge as tokenization expands Despite the expected exemption, some SEC officials do not support the decision to allow tokenized stock trading, according to the sources. Cointelegraph reached out to the SEC for comment but did not receive an immediate response. Securitize president pushes back against exemption Meanwhile, Brett Redfearn, president of one of the biggest crypto-native tokenization platforms, Securitize, expressed concerns over the SEC’s expected exemption, arguing that enabling third parties to tokenize stock “without an issuer at the table” could lead to fragmentation issues. It could leave investors less certain over what their shares are worth, Redfearn said. Source: Securitize Tokenized trading has also expanded into the pre-IPO space, enabling investors to gain exposure to sought-after private companies before they go public. However, some of these companies, including OpenAI and Anthropic, have opposed unauthorized tokenized stocks tracking their valuations. The SEC’s tokenization move comes after the Senate Banking Committee advanced the CLARITY Act on Thursday, setting it up for a full Senate floor vote next month. Several industry pundits, including “Shark Tank” investor Kevin O’Leary, have said Wall Street firms won’t fully embrace tokenization unless there is a framework like the CLARITY Act in place and that issues over ownership are ironed out. Magazine: eToro founder timed Bitcoin top perfectly due to belief in 4 year cycles Cointelegraph is committed to independent, transparent journalism. This news article is produced in accordance with Cointelegraph’s Editorial Policy and aims to provide accurate and timely information. Readers are encouraged to verify information independently. Tokenization Wall Street Stocks Trading SEC Blockchain More on the subject SBI, Rakuten, Nomura line up to launch crypto investment trusts: Report May 17, 2026 Amin Haqshanas When prediction markets go wrong: Who decides what counts as the truth? May 16, 2026 Dilip Kumar Patairya Kraken joins LayerZero exodus as it switches to Chainlink CCIP May 15, 2026 Martin Young SBI, Rakuten, Nomura line up to launch crypto investment trusts: Report May 17, 2026 Amin Haqshanas When prediction markets go wrong: Who decides what counts as the truth? May 16, 2026 Dilip Kumar Patairya Kraken joins LayerZero exodus as it switches to Chainlink CCIP May 15, 2026 Martin Young News Latest News Markets Bitcoin Ethereum Altcoins Blockchain Regulation Sponsored Sponsored Articles Press Releases Research Ecosystem Magazine Accelerator Events Decentralization Guardians LONGITUDE Event About About Cointelegraph Editorial Policy Ads Disclosure Financial Risk Disclaimer Cointelegraph is committed to providing independent, high-quality journalism across the crypto, blockchain, AI, and fintech industries. All news, reviews, and analyses are produced with full journalistic independence and integrity. For more details on our standards and processes, please read our Editorial Policy . © Cointelegraph 2013 - 2026 Terms of Service and Privacy Policy",news:cointelegraph,https://cointelegraph.com/news/sec-to-make-innovation-exemption-for-tokenized-stock-trading-report?utm_source=rss_feed&utm_medium=rss&utm_campaign=rss_partner_inbound,ADA,,regulation_macro,regulation,multi_asset,human_review,medium,macro_policy,T2,market_wide_or_policy_event,59.0,,,Bitcoin|Ethereum|Solana|BNB|XRP|Dogecoin|Cardano|Chainlink|Hyperliquid|Zcash|TRON|Bitcoin Cash|Monero|SEC|RWA,multiple_assets_detected,approve_publish,regulation_macro,regulation,ADA,macro_policy,yes,0.9,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,event_scope=multi_asset,asset_present,relevance_score<60",false,,true,auto_provisional
discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95),discard_audit,cand_00006,2026-05-19 10:31:27 UTC+8,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,2026-05-19 10:31:27 UTC+8,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,Asia/Shanghai,source_rule:webhook,据香港 01 报道，前香港湾仔警署总督察何兆东于 5 月 18 日在法院正式承认受贿及公职人员行为失当等 4 项罪名。案情显示，何兆东涉嫌收受商人曲海鹏超过 114 万港元（约合 14.6 万美元）的现金与礼物。作为回报，何利用职权多次向该,"据香港 01 报道，前香港湾仔警署总督察何兆东于 5 月 18 日在法院正式承认受贿及公职人员行为失当等 4 项罪名。案情显示，何兆东涉嫌收受商人曲海鹏超过 114 万港元（约合 14.6 万美元）的现金与礼物。作为回报，何利用职权多次向该商人泄露警方内部资料，并在调查中给予优待。据悉，涉案商人曾于 2021 年报案称被骗取了价值 1700 万美元的加密货币，该案与该商人的另一起案件均由何兆东所在的湾仔警区处理并受到其非法干预。本案目前已押后至 5 月 26 日进行宣判。
https://t.co/tXnOfiIMzy",webhook,,,,regulation_macro,macro,market_wide,discard,discard,macro_policy,T2,market_wide_or_policy_event,72.25,duplicate_non_primary,,US Dollar,,discard,regulation_macro,macro,,macro_policy,no,0.95,"publish_decision=discard,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional
discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95),discard_audit,cand_00014,2026-05-19 10:19:51 UTC+8,2026-05-19T02:19:51Z,2026-05-19 10:19:51 UTC+8,2026-05-19 10:19:51 UTC+8,2026-05-19T02:19:51Z,2026-05-19 10:19:51 UTC+8,Asia/Shanghai,source_rule:news:jin10,美国国务院批准向比利时出售AGM-184联合打击导弹及相关设备，预计成本约为2.36亿美元,美国国务院批准向比利时出售AGM-184联合打击导弹及相关设备，预计成本约为2.36亿美元。,news:jin10,https://www.jin10.com/detail/20260519021951728800.html,,,regulation_macro,macro,market_wide,discard,discard,macro_policy,T2,market_wide_or_policy_event,69.75,"duplicate_non_primary,low_crypto_relevance",,US Dollar,,discard,regulation_macro,macro,,macro_policy,no,0.95,"publish_decision=discard,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional
approve_publish,regulation_macro,macro,,macro_policy,yes,auto_provisional(conf=0.80),publish_review,cand_00030,2026-05-19 09:44:19 UTC+8,2026-05-19T01:44:19Z,2026-05-19 09:44:19 UTC+8,2026-05-19 09:44:19 UTC+8,2026-05-19T01:44:19Z,2026-05-19 09:44:19 UTC+8,Asia/Shanghai,source_rule:webhook,纳斯达克上市绿色数据中心开发商 Soluna (SLNH) 发布 2026 年第一季度财报。数据显示，公司 Q1 营收达 940 万美元，同比增长 58%，实现连续四个季度的环比增长；受股权薪酬及融资成本上升影响，Q1 净亏损为 1790,"纳斯达克上市绿色数据中心开发商 Soluna (SLNH) 发布 2026 年第一季度财报。数据显示，公司 Q1 营收达 940 万美元，同比增长 58%，实现连续四个季度的环比增长；受股权薪酬及融资成本上升影响，Q1 净亏损为 1790 万美元，调整后 EBITDA 亏损则同比微降至 210 万美元。业务方面，Soluna 提前完成了 48 MW 的 Kati 1A 项目建设，并正在推进规划 300+ MW 的 Kati 2 和 Dorothy 3 AI 算力中心园区。公司近期还斥资 5300 万美元收购了 150 MW 的 Briscoe 风电场，以实现算力与能源层的垂直整合。
https://t.co/S4HhRj1HLu",webhook,,,,regulation_macro,macro,market_wide,human_review,medium,macro_policy,T2,market_wide_or_policy_event,61.75,,,US Dollar|Nasdaq|AI,,approve_publish,regulation_macro,macro,,macro_policy,yes,0.8,"publish_decision=human_review,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional
discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95),discard_audit,cand_00032,2026-05-19 09:40:16 UTC+8,2026-05-19T01:40:16Z,2026-05-19 09:40:16 UTC+8,2026-05-19 09:40:16 UTC+8,2026-05-19T01:40:16Z,2026-05-19 09:40:16 UTC+8,Asia/Shanghai,source_rule:webhook,"🇺🇸 NEW: Kevin Warsh is set to be sworn in as the new Fed Chair on Friday, replacing Jerome Powell. https://t.co/wiRphenQ","🇺🇸 NEW: Kevin Warsh is set to be sworn in as the new Fed Chair on Friday, replacing Jerome Powell. https://t.co/wiRphenQWC",webhook,,,,regulation_macro,macro,market_wide,discard,discard,macro_policy,T2,market_wide_or_policy_event,67.0,"duplicate_non_primary,low_crypto_relevance",,Federal Reserve|Kevin Warsh,,discard,regulation_macro,macro,,macro_policy,no,0.95,"publish_decision=discard,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional
discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95),discard_audit,cand_00045,2026-05-19 09:21:43 UTC+8,2026-05-19T01:21:43Z,2026-05-19 09:21:43 UTC+8,2026-05-19 09:21:43 UTC+8,2026-05-19T01:21:43Z,2026-05-19 09:21:43 UTC+8,Asia/Shanghai,source_rule:news:jin10,美联储在固定利率逆回购操作中总计接纳了21个对手方的71.93亿美元,美联储在固定利率逆回购操作中总计接纳了21个对手方的71.93亿美元。,news:jin10,https://www.jin10.com/detail/20260519012143539800.html,,,regulation_macro,macro,market_wide,discard,discard,macro_policy,T2,market_wide_or_policy_event,64.5,"duplicate_non_primary,low_crypto_relevance",,Federal Reserve|Interest Rate|US Dollar,,discard,regulation_macro,macro,,macro_policy,no,0.95,"publish_decision=discard,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional
discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95),discard_audit,cand_00066,2026-05-19 08:57:43 UTC+8,2026-05-19T00:57:43Z,2026-05-19 08:57:43 UTC+8,2026-05-19 08:57:43 UTC+8,2026-05-19T00:57:43Z,2026-05-19 08:57:43 UTC+8,Asia/Shanghai,source_rule:news:jin10,沃什周五将宣誓就任美联储主席 宣誓仪式由特朗普主持,据福克斯商业频道周一援引白宫官员的话报道称，沃什将于周五在白宫举行的仪式上宣誓就任美联储主席，仪式将由特朗普主持。美国参议院周三批准沃什出任美联储主席，这位56岁的律师兼金融家将执掌美国央行。当前美联储正面临日益加剧的通胀压力 ，这可能使特朗普所要求的降息举措难以推行。作为特朗普提名的美联储主席人选，沃什的上任有望为特朗普政府与美联储的关系带来新开端。此前八年间，白宫与美联储之间摩擦不断，又经历了全球疫情和与高通胀的斗争。沃什将从鲍威尔手中接过领导权。,news:jin10,https://www.jin10.com/detail/20260519005743395800.html,,,regulation_macro,macro,market_wide,discard,discard,macro_policy,T2,market_wide_or_policy_event,64.5,low_crypto_relevance,,Federal Reserve|CPI|Interest Rate,,discard,regulation_macro,macro,,macro_policy,no,0.95,"publish_decision=discard,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional
discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95),discard_audit,cand_00067,2026-05-19 08:53:24 UTC+8,2026-05-19T00:53:24Z,2026-05-19 08:53:24 UTC+8,2026-05-19 08:53:24 UTC+8,2026-05-19T00:53:24Z,2026-05-19 08:53:24 UTC+8,Asia/Shanghai,source_rule:news:jin10,白宫官员：美国总统特朗普将于周五举行美联储主席提名人沃什的宣誓就职仪式,白宫官员：美国总统特朗普将于周五举行美联储主席提名人沃什的宣誓就职仪式。,news:jin10,https://www.jin10.com/detail/20260519005324785800.html,,,regulation_macro,macro,market_wide,discard,discard,macro_policy,T2,market_wide_or_policy_event,64.5,"duplicate_non_primary,low_crypto_relevance",,Federal Reserve,,discard,regulation_macro,macro,,macro_policy,no,0.95,"publish_decision=discard,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional
discard,regulation_macro,macro,,macro_policy,no,auto_provisional(conf=0.95),discard_audit,cand_00072,2026-05-19 08:44:12 UTC+8,2026-05-19T00:44:12Z,2026-05-19 08:44:12 UTC+8,2026-05-19 08:44:12 UTC+8,2026-05-19T00:44:12Z,2026-05-19 08:44:12 UTC+8,Asia/Shanghai,source_rule:news:jin10,据福克斯商业：美联储主席提名人沃什将于周五在白宫宣誓就职，宣誓仪式将由特朗普主持,据福克斯商业：美联储主席提名人沃什将于周五在白宫宣誓就职，宣誓仪式将由特朗普主持。,news:jin10,https://www.jin10.com/detail/20260519004412480800.html,,,regulation_macro,macro,market_wide,discard,discard,macro_policy,T2,market_wide_or_policy_event,64.5,"duplicate_non_primary,low_crypto_relevance",,Federal Reserve,,discard,regulation_macro,macro,,macro_policy,no,0.95,"publish_decision=discard,channel_route=macro_policy,event_type_l1_specific,asset_missing",false,,true,auto_provisional
