artifact_id,category,path,required,freshness_policy,exists,size_bytes,updated_at_china,age_hours,status,notes
project_root_rules,project_os,AGENTS.md,yes,stable,yes,2058,2026-05-27 14:29:24,115.6338,pass,Local project rules.
python_requirements,project_os,requirements.txt,yes,stable,yes,16,2026-05-27 16:08:36,113.9805,pass,Minimal local runtime dependencies.
project_state,project_os,docs/PROJECT_STATE.md,yes,fresh_24h,yes,14639,2026-05-29 12:52:28,69.2495,fail,Current local project memory.
project_dashboard,project_os,docs/PROJECT_DASHBOARD.md,yes,fresh_24h,yes,6623,2026-05-29 12:52:29,69.2492,fail,Current local dashboard.
validation_checklist,project_os,docs/VALIDATION_CHECKLIST.md,yes,stable,yes,5115,2026-05-27 16:12:44,113.9117,pass,Operator validation checklist.
command_registry_doc,project_os,docs/COMMAND_REGISTRY.md,yes,fresh_24h,yes,74649,2026-05-29 14:29:06,67.6389,fail,Runnable command inventory.
artifact_manifest_doc,project_os,docs/ARTIFACT_MANIFEST.md,no,fresh_24h,yes,62101,2026-05-29 14:29:07,67.6387,warning,This generated manifest.
project_review_actions_doc,project_os,docs/PROJECT_REVIEW_ACTIONS.md,yes,fresh_24h,yes,3352,2026-05-29 12:52:24,69.2505,fail,Dashboard review action queue.
decisions_doc,project_os,docs/DECISIONS.md,yes,stable,yes,33542,2026-05-28 21:21:51,84.7596,pass,Accepted direction decisions.
mvp_timeline_doc,project_os,docs/MVP_TIMELINE.md,yes,stable,yes,2897,2026-05-27 16:52:39,113.2464,pass,Current MVP definition and timeline estimate.
ai_cost_control_policy,project_os,docs/AI_COST_CONTROL_POLICY.md,yes,stable,yes,3929,2026-05-27 17:07:32,112.9983,pass,AI/Claude routing and spend-control policy.
secret_setup_doc,project_os,docs/SECRET_SETUP.md,yes,stable,yes,1225,2026-05-27 17:55:40,112.1962,pass,Local secret setup instructions.
gitignore,project_os,.gitignore,yes,stable,yes,268,2026-05-29 14:28:02,67.6566,pass,Ignore local secret files and runtime noise.
secret_template,config,config/secrets.example.ps1,yes,stable,yes,408,2026-05-27 17:55:27,112.1998,pass,Local secret template with placeholders only.
cursor_prompt,agent_handoff,docs/CURSOR_NEXT_PROMPT.md,yes,fresh_24h,yes,63905,2026-05-29 12:52:30,69.249,fail,File-based Cursor handoff.
cursor_backlog,agent_handoff,docs/CURSOR_TASK_BACKLOG.md,yes,stable,yes,5217,2026-05-27 15:51:15,114.2698,pass,Cursor task backlog.
claude_prompt,agent_handoff,docs/CLAUDE_NEXT_PROMPT.md,yes,fresh_24h,yes,29900,2026-05-29 12:52:30,69.249,fail,Current Claude consultation prompt.
claude_question_backlog,agent_handoff,docs/CLAUDE_QUESTION_BACKLOG.md,yes,stable,yes,4975,2026-05-29 12:52:15,69.2531,pass,Architecture question backlog.
claude_response_index_doc,agent_handoff,docs/CLAUDE_RESPONSE_INDEX.md,yes,fresh_24h,yes,2290,2026-05-29 12:52:19,69.252,fail,Local Claude response index.
claude_decision_review_doc,agent_handoff,docs/CLAUDE_DECISION_REVIEW.md,yes,fresh_24h,yes,4888,2026-05-29 12:52:20,69.2518,fail,Claude recommendation review queue.
symbol_map,data,data/symbol_map.csv,yes,stable,yes,958,2026-05-27 17:36:15,112.5197,pass,Asset to market symbol map.
entity_dictionary,data,data/entity_dictionary.csv,yes,stable,yes,6050,2026-05-27 12:21:19,117.7687,pass,Entity dictionary for intake rules.
source_timezone_rules,data,data/source_timezone_rules.csv,yes,stable,yes,973,2026-05-27 14:04:51,116.043,pass,Source time-zone assumptions.
older500_raw_news,data,data/raw_news_real_500_older.csv,yes,stable,yes,604951,2026-05-26 10:43:18,143.4024,pass,Older real-news source export.
older500_candidates,data,data/event_candidates_real_500_older_review.csv,yes,stable,yes,751900,2026-05-27 14:06:50,116.01,pass,Older candidate import output.
v06_relevance_scored,data,data/event_candidates_v06_relevance_scored.csv,yes,stable,yes,1151969,2026-05-27 16:21:12,113.7705,pass,v0.6 scored intake output.
v06_manual_label_sheet,data,data/v06_manual_label_sheet.csv,yes,stable,yes,395166,2026-05-27 15:23:40,114.7294,pass,AI-first review sheet.
v06_other_review_classified,data,data/event_candidates_v06_other_review_classified.csv,no,stable,yes,209059,2026-05-27 18:38:15,111.4863,pass,Rule-based split of the other_review bucket.
project_review_action_queue,data,data/project_review_action_queue.csv,yes,fresh_24h,yes,3766,2026-05-29 12:52:24,69.2505,fail,Generated dashboard action queue.
claude_decision_queue,data,data/claude_decision_review_queue.csv,yes,fresh_24h,yes,201517,2026-05-29 12:52:20,69.2518,fail,Generated Claude decision queue.
tg_pilot_gate,results,results/v06_tg_pilot_gate_report.md,yes,fresh_24h,yes,794,2026-05-29 12:14:13,69.887,fail,TG draft pilot safety gate.
project_os_validation_report,results,results/project_os_validation_report.md,yes,stable,yes,4956,2026-06-01 10:07:07,0.0054,pass,Consolidated validation report.
project_os_validation_summary,results,results/project_os_validation_summary.csv,yes,stable,yes,78,2026-06-01 10:07:07,0.0054,pass,Consolidated validation summary.
local_environment_summary,results,results/local_environment_summary.csv,yes,fresh_24h,yes,103,2026-05-29 12:52:17,69.2525,fail,Local runtime check summary.
secret_leak_summary,results,results/secret_leak_summary.csv,yes,fresh_24h,yes,88,2026-06-01 10:07:04,0.006,pass,Secret scan summary.
command_registry_summary,results,results/command_registry_summary.csv,yes,fresh_24h,yes,104,2026-05-29 14:29:06,67.6389,fail,Command registry summary.
project_review_action_summary,results,results/project_review_action_summary.csv,yes,fresh_24h,yes,111,2026-05-29 12:52:24,69.2505,fail,Review action summary.
project_dashboard_metrics,results,results/project_dashboard_metrics.csv,yes,fresh_24h,yes,4035,2026-05-29 12:52:29,69.2492,fail,Dashboard metrics CSV.
v043_backfill,results,results/v043_older_mature50_event_price_backfill.csv,yes,stable,yes,110939,2026-05-27 14:06:55,116.0085,pass,Historical mature50 backfill.
v043_quality,results,results/v043_older_mature50_event_quality_report.csv,yes,stable,yes,7541,2026-05-27 14:06:56,116.0083,pass,Historical mature50 quality report.
time_provenance_summary,results,results/v043_time_provenance_summary.csv,yes,stable,yes,218,2026-05-27 14:06:59,116.0076,pass,Time provenance summary.
v043_selection_v06_summary,results,results/v043_selection_vs_v06_relevance_summary.csv,yes,fresh_24h,yes,283,2026-05-29 12:52:18,69.2523,fail,v043 versus v0.6 relevance audit summary.
v043_selection_v06_breakdown,results,results/v043_selection_vs_v06_discard_breakdown.csv,yes,fresh_24h,yes,178,2026-05-29 12:52:18,69.2523,fail,Discard reason breakdown for historical v043 selection.
v043_selection_v06_impact,results,results/v043_selection_vs_v06_event_type_impact.csv,yes,fresh_24h,yes,299,2026-05-29 12:52:18,69.2523,fail,Event-type impact of v0.6 discard decisions.
v06_low_risk_preview_backfill,results,results/v06_clean_low_risk_preview_event_price_backfill.csv,no,stable,yes,62071,2026-05-27 16:27:45,113.6613,pass,Optional v0.6 low-risk preview sanity-check backfill.
v06_low_risk_preview_quality,results,results/v06_clean_low_risk_preview_event_quality_report.csv,no,stable,yes,4625,2026-05-27 16:27:46,113.6612,pass,Optional v0.6 low-risk preview quality report.
v06_low_risk_preview_findings,results,results/v06_clean_low_risk_preview_backtest_findings.md,no,stable,yes,5020,2026-05-27 16:27:47,113.6608,pass,Optional v0.6 low-risk preview findings.
tg_drafts_private_pilot,data,data/tg_drafts_v06_private_pilot.csv,no,stable,yes,9252,2026-05-27 18:43:18,111.4021,pass,Local TG private-pilot draft queue; no auto-send.
tg_drafts_private_pilot_ai_reviewed,data,data/tg_drafts_v06_private_pilot_ai_reviewed.csv,no,stable,yes,10729,2026-05-27 17:13:43,112.8953,pass,AI-reviewed local TG private-pilot draft queue.
tg_prefilter_pass,data,data/event_candidates_v06_tg_prefilter_pass.csv,no,stable,yes,12872,2026-05-27 18:38:15,111.4864,pass,Local pre-Claude TG candidate prefilter pass set.
tg_prefilter_rejects,data,data/event_candidates_v06_tg_prefilter_rejects.csv,no,stable,yes,31297,2026-05-27 18:38:15,111.4864,pass,Local pre-Claude TG candidate prefilter rejects.
tg_approved_pool,data,data/tg_drafts_v06_approved_pool.csv,no,stable,yes,9284,2026-05-27 18:38:15,111.4863,pass,Approved-only local TG draft pool.
tg_draft_review_packet,data,data/tg_draft_review_packet.csv,no,stable,yes,225,2026-05-27 18:38:15,111.4864,pass,Compact local draft review packet.
tg_drafts_private_pilot_preview,results,results/tg_drafts_v06_private_pilot.md,no,stable,yes,6887,2026-05-27 18:43:18,111.4021,pass,Readable preview of local TG drafts.
tg_draft_review_packet_md,results,results/tg_draft_review_packet.md,no,stable,yes,373,2026-05-27 18:38:15,111.4864,pass,Readable compact local draft review packet.
tg_draft_feedback_summary,results,results/tg_draft_feedback_summary.csv,no,stable,yes,290,2026-05-27 18:38:15,111.4864,pass,Local private-pilot draft feedback summary.
tg_draft_ai_review_summary,results,results/tg_draft_ai_review_summary.csv,no,stable,yes,243,2026-05-27 17:13:43,112.8953,pass,AI-review summary for local TG private-pilot drafts.
tg_prefilter_summary,results,results/tg_draft_prefilter_summary.csv,no,stable,yes,145,2026-05-27 18:38:15,111.4864,pass,Local pre-Claude TG candidate prefilter summary.
tg_approved_pool_summary,results,results/tg_draft_approved_pool_summary.csv,no,stable,yes,106,2026-05-27 18:38:15,111.4863,pass,Approved-only local TG draft pool summary.
tg_draft_validation_summary,results,results/tg_draft_validation_summary.csv,no,stable,yes,100,2026-05-27 18:43:25,111.4003,pass,Local private-pilot draft safety validation summary.
daily_private_pilot_summary,results,results/daily_private_pilot_summary.csv,no,stable,yes,548,2026-05-27 18:38:15,111.4863,pass,One-row daily private-pilot operational summary.
daily_private_pilot_report,results,results/daily_private_pilot_report.md,no,stable,yes,2095,2026-05-27 18:38:15,111.4863,pass,One-page daily private-pilot operational report.
tg_draft_rule_improvement_summary,results,results/tg_draft_rule_improvement_summary.csv,no,stable,yes,125,2026-05-27 18:38:15,111.4863,pass,Summary of AI-rejected draft rule improvement candidates.
tg_draft_rule_improvement_report,results,results/tg_draft_rule_improvement_report.md,no,stable,yes,540,2026-05-27 18:38:15,111.4863,pass,AI-rejected draft rule improvement report.
v07_watchlist_addresses,data,data/watchlist_addresses.csv,yes,stable,yes,2700,2026-05-28 09:48:08,96.3218,pass,v0.7 first-hand watcher address watchlist.
v07_stablecoin_watchlist,data,data/stablecoin_watchlist.csv,yes,stable,yes,507,2026-05-27 17:33:09,112.5713,pass,v0.7 stablecoin mint/burn watchlist.
v07_hyperliquid_watchlist,data,data/hyperliquid_watchlist.csv,yes,stable,yes,1192,2026-05-27 18:47:04,111.3396,pass,v0.7 Hyperliquid perp-position watchlist.
v07_watcher_alerts_raw,data,data/watcher_alerts_raw.csv,no,stable,yes,9575,2026-05-28 19:23:36,86.7305,pass,Normalized first-hand watcher alerts.
v07_hyperliquid_position_alerts,data,data/watcher_alerts_hyperliquid_positions.csv,no,stable,yes,6931,2026-05-29 12:18:12,69.8205,pass,Raw Hyperliquid large-position watcher alerts.
v07_watcher_events_raw,data,data/watcher_events_raw.csv,no,stable,yes,13373,2026-05-28 19:23:36,86.7305,pass,Watcher alerts converted to event schema.
v07_watcher_tg_drafts,data,data/tg_drafts_v07_watcher_private_pilot.csv,no,stable,yes,11050,2026-05-28 19:23:36,86.7305,pass,Local TG draft preview for first-hand watcher alerts.
v07_watchlist_validation_summary,results,results/v07_watchlist_validation_summary.csv,yes,fresh_24h,yes,174,2026-05-28 19:23:27,86.7332,fail,v0.7 watchlist validation summary.
