file,response_type,title,generated_at,model,prompt,prompt_sha256_16,size_bytes,line_count,modified_at_china,content_sha256_16
results\claude_cost_control_response.md,next_consultation,Claude Response,2026-05-27 17:07:01 UTC+8,anthropic/claude-sonnet-4.5,docs\CLAUDE_COST_CONTROL_PROMPT.md,b19eecb98c9a29d0,13763,317,2026-05-27 17:07:01,80908ce7c545858c
results\claude_next_response_20260527_163346.md,next_consultation,Claude Response,2026-05-27 16:35:10 UTC+8,anthropic/claude-sonnet-4.5,docs\CLAUDE_NEXT_PROMPT.md,fca19de014d58043,13114,356,2026-05-27 16:35:10,5ff0385bd09a4145
results\claude_next_response_20260527_163625.md,next_consultation,Claude Response,2026-05-27 16:38:23 UTC+8,anthropic/claude-sonnet-4.5,docs\CLAUDE_NEXT_PROMPT.md,46c573c780a900fd,18893,428,2026-05-27 16:38:23,7d128ac057c2b1d1
results\v06_claude_after_gate_next_step.md,other,Rationale,,,,,1888,44,2026-05-27 15:20:38,c684c70b0974717a
results\v06_claude_macro_holdout_decision.md,macro_holdout,Rule,,,,,1205,28,2026-05-27 15:19:43,013080741bcca330
results\v06_claude_manual_reduction_call_status.md,manual_reduction,Claude Call Status,,,,,654,25,2026-05-27 14:54:42,cc104ad3c4866609
results\v06_claude_manual_reduction_response.md,manual_reduction,1. Decision Table: AI vs Human by Step,,,,,2378,56,2026-05-27 15:11:02,ec405c945b42f0e0
results\v06_claude_manual_review_release_rules.md,release_rules,AUTO-RELEASE CRITERIA (manual_review_required=FALSE),,,,,1366,37,2026-05-27 15:18:11,57873b79b777ab07
results\v06_claude_next_engineering_direction.md,engineering_direction,Why This Is The Right Next Step,,,,,2376,54,2026-05-27 15:15:54,e7df8b14a479f97f
results\v06_claude_question_backlog_response.md,question_backlog,Crypto Event Intelligence v0.6 - 架构与产品评估,,,,,9736,200,2026-05-27 12:20:33,d6e8aff408d453be
results\v06_claude_tg_pilot_gate.md,tg_pilot,Recommended Numeric Gates (Sequential):,,,,,771,15,2026-05-27 15:11:33,a6d5a4ebccfae79b
