event_type,event_subtype,source_type,asset_tier,btc_regime_trend_14d,sample_count,computed_1h_count,avg_abnormal_primary_1h,median_abnormal_primary_1h,win_rate_primary_1h,computed_4h_count,avg_abnormal_primary_4h,median_abnormal_primary_4h,win_rate_primary_4h,computed_24h_count,avg_abnormal_primary_24h,median_abnormal_primary_24h,win_rate_primary_24h,computed_72h_count,avg_abnormal_primary_72h,median_abnormal_primary_72h,win_rate_primary_72h,matrix_status
macro,macro,news:jin10,benchmark_asset,historical_unknown,58,58,0.0,0.0,0.0,58,0.0,0.0,0.0,58,0.0,0.0,0.0,58,0.0,0.0,0.0,weak_or_context_only
macro,macro,webhook,benchmark_asset,historical_unknown,40,40,6.6e-05,0.0,0.05,40,6.7e-05,0.0,0.05,40,-0.000357,0.0,0.0,40,-0.00034,0.0,0.0,weak_or_context_only
macro,macro,tg:HyperInsight,benchmark_asset,historical_unknown,16,16,0.000121,0.0,0.0625,16,0.000266,0.0,0.0625,16,-0.000339,0.0,0.0,16,-0.000375,0.0,0.0,weak_or_context_only
macro,macro,news:cryptonews,benchmark_asset,historical_unknown,10,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,10,0.0,0.0,0.0,weak_or_context_only
macro,macro,news:cointelegraph,large_cap_alt,historical_unknown,9,9,-0.000957,-0.001358,0.2222,9,0.002881,0.001889,1.0,9,-0.008123,-0.009727,0.0,9,-0.007835,-0.009351,0.0,insufficient_sample
hack_security,hack_security,webhook,benchmark_asset,historical_unknown,7,7,0.000963,0.000892,0.8571,7,0.002527,0.002566,0.8571,7,-0.004822,-0.005919,0.1429,7,-0.005043,-0.006293,0.1429,insufficient_sample
macro,macro,news:coinpaper,benchmark_asset,historical_unknown,7,7,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,7,0.0,0.0,0.0,insufficient_sample
hack_security,hack_security,news:bitcoinist,large_cap_alt,historical_unknown,6,6,-0.00065,-0.001192,0.3333,6,-0.000315,-2.1e-05,0.5,6,-0.005659,-0.005926,0.0,6,0.008192,0.010744,0.8333,insufficient_sample
macro,macro,news:decrypt,large_cap_alt,historical_unknown,6,6,0.000918,-0.000432,0.5,6,0.002791,0.002651,0.8333,6,-0.005961,-0.006184,0.0,6,-0.004665,-0.004252,0.1667,insufficient_sample
macro,macro,news:odaily_exchange_gap,benchmark_asset,historical_unknown,3,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,3,0.0,0.0,0.0,insufficient_sample
hack_security,hack_security,news:cryptonews,benchmark_asset,historical_unknown,2,2,0.002017,0.002017,0.5,2,0.007005,0.007005,0.5,2,0.002673,0.002673,0.5,2,0.002963,0.002963,0.5,insufficient_sample
halving,halving,webhook,benchmark_asset,historical_unknown,2,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,insufficient_sample
institutional_flow,institutional_flow,webhook,benchmark_asset,historical_unknown,2,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,insufficient_sample
macro,macro,news:bitcoinist,large_cap_alt,historical_unknown,2,2,-0.000786,-0.000786,0.0,2,0.000359,0.000359,0.5,2,-0.008524,-0.008524,0.0,2,-0.001385,-0.001385,0.5,insufficient_sample
macro,macro,news:utoday,benchmark_asset,historical_unknown,2,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,insufficient_sample
macro,macro,tg:OneMillion_AI,benchmark_asset,historical_unknown,2,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,insufficient_sample
macro,macro,webhook,large_cap_alt,historical_unknown,2,2,0.000705,0.000705,0.5,2,0.00192,0.00192,0.5,2,-0.005617,-0.005617,0.0,2,0.018361,0.018361,1.0,insufficient_sample
network_upgrade,network_upgrade,webhook,benchmark_asset,historical_unknown,2,2,-0.000632,-0.000632,0.0,2,0.002411,0.002411,0.5,2,0.002001,0.002001,0.5,2,0.000884,0.000884,0.5,insufficient_sample
other,other,webhook,benchmark_asset,historical_unknown,2,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,2,0.0,0.0,0.0,insufficient_sample
other,other,webhook,large_cap_alt,historical_unknown,2,2,-0.00194,-0.00194,0.0,2,0.001245,0.001245,1.0,2,-2.7e-05,-2.7e-05,0.5,2,0.015268,0.015268,1.0,insufficient_sample
staking_governance,staking_governance,webhook,benchmark_asset,historical_unknown,2,2,-0.000375,-0.000375,0.5,2,0.000613,0.000613,0.5,2,-0.007946,-0.007946,0.0,2,-0.007456,-0.007456,0.0,insufficient_sample
hack_security,hack_security,news:bitcoinmagazine,benchmark_asset,historical_unknown,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,insufficient_sample
hack_security,hack_security,news:decrypt,large_cap_alt,historical_unknown,1,1,-0.003563,-0.003563,0.0,1,0.005075,0.005075,1.0,1,-0.003369,-0.003369,0.0,1,-0.005541,-0.005541,0.0,insufficient_sample
hack_security,hack_security,news:jin10,benchmark_asset,historical_unknown,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,insufficient_sample
hack_security,hack_security,news:odaily_exchange_gap,benchmark_asset,historical_unknown,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,insufficient_sample
hack_security,hack_security,tg:OneMillion_AI,benchmark_asset,historical_unknown,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,insufficient_sample
halving,halving,news:coinpedia,benchmark_asset,historical_unknown,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,insufficient_sample
institutional_flow,institutional_flow,news:cointelegraph,large_cap_alt,historical_unknown,1,1,0.000554,0.000554,1.0,1,0.003583,0.003583,1.0,1,-0.009592,-0.009592,0.0,1,-0.014186,-0.014186,0.0,insufficient_sample
institutional_flow,institutional_flow,news:cryptonews,benchmark_asset,historical_unknown,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,insufficient_sample
institutional_flow,institutional_flow,news:decrypt,large_cap_alt,historical_unknown,1,1,0.000213,0.000213,1.0,1,-0.000981,-0.000981,0.0,1,-0.002342,-0.002342,0.0,1,-0.010788,-0.010788,0.0,insufficient_sample
macro,macro,news:coinpaper,large_cap_alt,historical_unknown,1,1,-0.000761,-0.000761,0.0,1,0.004754,0.004754,1.0,1,-0.013665,-0.013665,0.0,1,-0.014503,-0.014503,0.0,insufficient_sample
macro,macro,news:coinpedia,benchmark_asset,historical_unknown,1,1,0.000379,0.000379,1.0,1,0.003623,0.003623,1.0,1,0.003498,0.003498,1.0,1,0.003355,0.003355,1.0,insufficient_sample
macro,macro,news:cryptonews,large_cap_alt,historical_unknown,1,1,0.001234,0.001234,1.0,1,-0.000104,-0.000104,0.0,1,-0.013683,-0.013683,0.0,1,-0.002107,-0.002107,0.0,insufficient_sample
market_structure,long_short_crowding_extreme,long_short,large_cap_alt,downtrend,1,1,-0.000336,-0.000336,0.0,1,-0.00608,-0.00608,0.0,1,0.009794,0.009794,1.0,1,0.014861,0.014861,1.0,insufficient_sample
network_upgrade,network_upgrade,news:cryptonews,benchmark_asset,historical_unknown,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,insufficient_sample
token_unlock,token_unlock,news:cryptonews,large_cap_alt,historical_unknown,1,1,0.00044,0.00044,1.0,1,0.001855,0.001855,1.0,1,-0.021927,-0.021927,0.0,1,-0.016717,-0.016717,0.0,insufficient_sample
token_unlock,token_unlock,news:jin10,benchmark_asset,historical_unknown,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,insufficient_sample
token_unlock,token_unlock_team_large,token_unlock,other_alt,downtrend,1,1,-0.004734,-0.004734,0.0,1,0.060009,0.060009,1.0,1,0.109306,0.109306,1.0,1,0.219682,0.219682,1.0,insufficient_sample
token_unlock,token_unlock,webhook,benchmark_asset,historical_unknown,1,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,1,0.0,0.0,0.0,insufficient_sample
whale_position,whale_position_static_large,hyperliquid,other_alt,downtrend,1,1,-0.017535,-0.017535,0.0,1,-0.016238,-0.016238,0.0,1,0.084985,0.084985,1.0,1,0.190821,0.190821,1.0,insufficient_sample
