event_type,event_subtype,source_type,sample_count,computed_1h_count,avg_abnormal_primary_1h,median_abnormal_primary_1h,abs_avg_abnormal_primary_1h,decay_ratio_from_previous_to_1h,computed_4h_count,avg_abnormal_primary_4h,median_abnormal_primary_4h,abs_avg_abnormal_primary_4h,decay_ratio_from_previous_to_4h,computed_24h_count,avg_abnormal_primary_24h,median_abnormal_primary_24h,abs_avg_abnormal_primary_24h,decay_ratio_from_previous_to_24h,computed_72h_count,avg_abnormal_primary_72h,median_abnormal_primary_72h,abs_avg_abnormal_primary_72h,decay_ratio_from_previous_to_72h,decay_status
macro,macro,news:jin10,58,58,0.0,0.0,0.0,,58,0.0,0.0,0.0,,58,0.0,0.0,0.0,,58,0.0,0.0,0.0,,monitor
macro,macro,webhook,42,42,9.6e-05,0.0,9.6e-05,,42,0.000155,0.0,0.000155,1.6134,42,-0.000607,0.0,0.000607,3.916,42,0.000551,0.0,0.000551,0.9069,slow_burn_or_lagged
macro,macro,tg:HyperInsight,16,16,0.000121,0.0,0.000121,,16,0.000266,0.0,0.000266,2.2008,16,-0.000339,0.0,0.000339,1.2745,16,-0.000375,0.0,0.000375,1.1058,slow_burn_or_lagged
macro,macro,news:cryptonews,11,11,0.000112,0.0,0.000112,,11,-9e-06,0.0,9e-06,0.084,11,-0.001244,0.0,0.001244,132.0371,11,-0.000192,0.0,0.000192,0.154,slow_burn_or_lagged
macro,macro,news:cointelegraph,9,9,-0.000957,-0.001358,0.000957,,9,0.002881,0.001889,0.002881,3.0101,9,-0.008123,-0.009727,0.008123,2.82,9,-0.007835,-0.009351,0.007835,0.9645,insufficient_sample
macro,macro,news:coinpaper,8,8,-9.5e-05,0.0,9.5e-05,,8,0.000594,0.0,0.000594,6.2449,8,-0.001708,0.0,0.001708,2.8742,8,-0.001813,0.0,0.001813,1.0613,insufficient_sample
hack_security,hack_security,webhook,7,7,0.000963,0.000892,0.000963,,7,0.002527,0.002566,0.002527,2.6251,7,-0.004822,-0.005919,0.004822,1.9079,7,-0.005043,-0.006293,0.005043,1.0458,insufficient_sample
hack_security,hack_security,news:bitcoinist,6,6,-0.00065,-0.001192,0.00065,,6,-0.000315,-2.1e-05,0.000315,0.4839,6,-0.005659,-0.005926,0.005659,17.9908,6,0.008192,0.010744,0.008192,1.4478,insufficient_sample
macro,macro,news:decrypt,6,6,0.000918,-0.000432,0.000918,,6,0.002791,0.002651,0.002791,3.0421,6,-0.005961,-0.006184,0.005961,2.1355,6,-0.004665,-0.004252,0.004665,0.7826,insufficient_sample
other,other,webhook,4,4,-0.00097,-0.000106,0.00097,,4,0.000623,0.000582,0.000623,0.642,4,-1.3e-05,0.0,1.3e-05,0.0216,4,0.007634,0.00734,0.007634,568.057,insufficient_sample
macro,macro,news:odaily_exchange_gap,3,3,0.0,0.0,0.0,,3,0.0,0.0,0.0,,3,0.0,0.0,0.0,,3,0.0,0.0,0.0,,insufficient_sample
hack_security,hack_security,news:cryptonews,2,2,0.002017,0.002017,0.002017,,2,0.007005,0.007005,0.007005,3.4736,2,0.002673,0.002673,0.002673,0.3815,2,0.002963,0.002963,0.002963,1.1087,insufficient_sample
halving,halving,webhook,2,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,insufficient_sample
institutional_flow,institutional_flow,webhook,2,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,insufficient_sample
macro,macro,news:bitcoinist,2,2,-0.000786,-0.000786,0.000786,,2,0.000359,0.000359,0.000359,0.4564,2,-0.008524,-0.008524,0.008524,23.7494,2,-0.001385,-0.001385,0.001385,0.1625,insufficient_sample
macro,macro,news:utoday,2,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,insufficient_sample
macro,macro,tg:OneMillion_AI,2,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,2,0.0,0.0,0.0,,insufficient_sample
network_upgrade,network_upgrade,webhook,2,2,-0.000632,-0.000632,0.000632,,2,0.002411,0.002411,0.002411,3.8166,2,0.002001,0.002001,0.002001,0.8303,2,0.000884,0.000884,0.000884,0.4416,insufficient_sample
staking_governance,staking_governance,webhook,2,2,-0.000375,-0.000375,0.000375,,2,0.000613,0.000613,0.000613,1.6374,2,-0.007946,-0.007946,0.007946,12.9536,2,-0.007456,-0.007456,0.007456,0.9383,insufficient_sample
hack_security,hack_security,news:bitcoinmagazine,1,1,0.0,0.0,0.0,,1,0.0,0.0,0.0,,1,0.0,0.0,0.0,,1,0.0,0.0,0.0,,insufficient_sample
