source_type,source_id,source_family,enabled,shadow_mode,tg_default_route,confidence_level,decision_rows,selected_count,filtered_digest_only_count,suppressed_cooldown_count,not_selected_capacity_count,sent_count,skipped_or_failed_count,outcome_rows,false_positive_like_count,false_positive_like_rate,computed_1h_count,avg_abnormal_primary_1h,median_abnormal_primary_1h,win_rate_primary_1h,computed_4h_count,avg_abnormal_primary_4h,median_abnormal_primary_4h,win_rate_primary_4h,computed_24h_count,avg_abnormal_primary_24h,median_abnormal_primary_24h,win_rate_primary_24h,computed_72h_count,avg_abnormal_primary_72h,median_abnormal_primary_72h,win_rate_primary_72h,historical_sample_count,historical_valid_24h_count,historical_avg_abnormal_vs_btc_24h,historical_status,mapped_event_type,live_effectiveness_status,recommended_route
hyperliquid,hyperliquid_clearinghouse_state,first_hand_onchain,true,false,board,medium,13,2,0,11,0,1,0,1,0,0.0,1,-0.017535,-0.017535,0.0,1,-0.016238,-0.016238,0.0,1,0.084985,0.084985,1.0,1,0.190821,0.190821,1.0,,,,needs_more_outcomes,whale_position,insufficient_live_outcomes,board
long_short,long_short,derivatives,true,false,board,medium,24,2,0,22,0,1,0,1,0,0.0,1,-0.000336,-0.000336,0.0,1,-0.00608,-0.00608,0.0,1,0.009794,0.009794,1.0,1,0.014861,0.014861,1.0,,,,needs_more_outcomes,market_structure,insufficient_live_outcomes,board
token_unlock,token_unlock_calendar,calendar,true,false,digest,medium,11,1,4,6,0,1,0,1,0,0.0,1,-0.004734,-0.004734,0.0,1,0.060009,0.060009,1.0,1,0.109306,0.109306,1.0,1,0.219682,0.219682,1.0,,,,needs_more_outcomes,token_unlock,insufficient_live_outcomes,digest
address_transfer,address_transfer,first_hand_onchain,true,true,archive,medium,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,shadow_collect,whale_position,shadow_or_no_live_data,shadow
cex_netflow,cex_netflow,flow,true,false,board,medium,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,needs_baseline,cex_netflow,shadow_or_no_live_data,shadow
exchange_listing,cex_listing_announcement,announcement,true,true,archive,medium,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,shadow_collect,exchange_listing,shadow_or_no_live_data,shadow
funding_rate,funding_rate,derivatives,true,true,archive,medium,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,shadow_collect,funding_rate,shadow_or_no_live_data,shadow
lending_liquidation,lending_liquidation,defi,true,true,archive,medium,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,shadow_collect,lending_liquidation,shadow_or_no_live_data,shadow
news,raw_news_real,news_import,true,true,archive,low,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,historical_only,news,shadow_or_no_live_data,shadow
stablecoin_flow,stablecoin_flow,flow,true,false,board,medium,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,,,,needs_baseline,stablecoin_flow,shadow_or_no_live_data,shadow
