record_type,record_id,title,raw_published_at,published_at_utc,published_at_china,raw_source_published_at,source_published_at_utc,source_published_at_china,source_timezone,source_timezone_assumption,source_lag_minutes,backtest_time_basis,backtest_time_utc,backtest_time_china,price_target_utc,price_target_china,price_kline_time_utc,price_kline_time_china,price_time_lag_seconds,time_audit_status,time_audit_flags
candidate,cand_00001,AI包月「续杯」终结！谷歌Gemini改用「算力限额」,2026-05-19T02:42:30Z,2026-05-19T02:42:30Z,2026-05-19 10:42:30 UTC+8,,,,Asia/Shanghai,source_rule:tg:,,published_at,2026-05-19T02:42:30Z,2026-05-19 10:42:30 UTC+8,,,,,,pass,
candidate,cand_00002,美联储新主席即将宣誓就职，谷歌与黑石合作推出AI云公司,2026-05-19T02:40:16Z,2026-05-19T02:40:16Z,2026-05-19 10:40:16 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,published_at,2026-05-19T02:40:16Z,2026-05-19 10:40:16 UTC+8,,,,,,pass,
candidate,cand_00003,SEC Exemption Tokenized Stock Trading: Report,2026-05-19T02:37:19Z,2026-05-19T02:37:19Z,2026-05-19 10:37:19 UTC+8,,,,UTC,source_rule:news:cointelegraph,,published_at,2026-05-19T02:37:19Z,2026-05-19 10:37:19 UTC+8,,,,,,pass,
candidate,cand_00004,英伟达CEO黄仁勋：随着时间推移，市场将会开放,2026-05-19T02:32:50Z,2026-05-19T02:32:50Z,2026-05-19 10:32:50 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,published_at,2026-05-19T02:32:50Z,2026-05-19 10:32:50 UTC+8,,,,,,pass,
candidate,cand_00005,夜盘主力合约收盘,2026-05-19T02:31:27Z,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,published_at,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,,,,,,pass,
candidate,cand_00006,据香港 01 报道，前香港湾仔警署总督察何兆东于 5 月 18 日在法院正式承认受贿及公职人员行为失当等 4 项罪名。案情显示，何兆东涉嫌收受商人曲海鹏超过 114 万港元（约合 14.6 万美元）的现金与礼物。作为回报，何利用职权多次向该,2026-05-19T02:31:27Z,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,published_at,2026-05-19T02:31:27Z,2026-05-19 10:31:27 UTC+8,,,,,,pass,
candidate,cand_00007,上海黄金交易所黄金T+D 5月18日（周一）晚盘收盘下跌0.06%报996.01元/克；上海黄金交易所白银T+D 5月1…,2026-05-19T02:31:24Z,2026-05-19T02:31:24Z,2026-05-19 10:31:24 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,published_at,2026-05-19T02:31:24Z,2026-05-19 10:31:24 UTC+8,,,,,,pass,
candidate,cand_00008,英伟达CEO黄仁勋：内存需求将超过产能,2026-05-19T02:30:24Z,2026-05-19T02:30:24Z,2026-05-19 10:30:24 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,published_at,2026-05-19T02:30:24Z,2026-05-19 10:30:24 UTC+8,,,,,,pass,
candidate,cand_00009,交易员Loracle加仓HYPE空单20万枚，总规模升至6810万美元,2026-05-19T02:28:37Z,2026-05-19T02:28:37Z,2026-05-19 10:28:37 UTC+8,,,,Asia/Shanghai,source_rule:tg:,,published_at,2026-05-19T02:28:37Z,2026-05-19 10:28:37 UTC+8,,,,,,pass,
candidate,cand_00010,伊朗总统：对话并不意味着屈服,2026-05-19T02:27:40Z,2026-05-19T02:27:40Z,2026-05-19 10:27:40 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,published_at,2026-05-19T02:27:40Z,2026-05-19 10:27:40 UTC+8,,,,,,pass,
candidate,cand_00011,黑客攻击Monad Echo协议，损失约7600万美元,2026-05-19T02:23:18Z,2026-05-19T02:23:18Z,2026-05-19 10:23:18 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,published_at,2026-05-19T02:23:18Z,2026-05-19 10:23:18 UTC+8,,,,,,pass,
candidate,cand_00012,JUST IN: Philippine President Marcos announces the Philippines would have “no choice” but to be involved in any Taiwan c,2026-05-19T02:22:55Z,2026-05-19T02:22:55Z,2026-05-19 10:22:55 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,published_at,2026-05-19T02:22:55Z,2026-05-19 10:22:55 UTC+8,,,,,,pass,
candidate,cand_00013,"⚡️ NOW: Elon Musk's X launches Creator Connect, an AI-powered tool that matches brands with the right creators in real-t",2026-05-19T02:20:15Z,2026-05-19T02:20:15Z,2026-05-19 10:20:15 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,published_at,2026-05-19T02:20:15Z,2026-05-19 10:20:15 UTC+8,,,,,,pass,
candidate,cand_00014,美国国务院批准向比利时出售AGM-184联合打击导弹及相关设备，预计成本约为2.36亿美元,2026-05-19T02:19:51Z,2026-05-19T02:19:51Z,2026-05-19 10:19:51 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,published_at,2026-05-19T02:19:51Z,2026-05-19 10:19:51 UTC+8,,,,,,pass,
candidate,cand_00015,OpenAI 律师：（关于OpenAI与埃隆·马斯克的诉讼判决）即使有上诉，对我们的立场也非常有信心,2026-05-19T02:18:20Z,2026-05-19T02:18:20Z,2026-05-19 10:18:20 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,published_at,2026-05-19T02:18:20Z,2026-05-19 10:18:20 UTC+8,,,,,,pass,
candidate,cand_00016,"5/18 Ethereum ETF Net Flow: $-84.14m
$ETHA (BlackRock): –$55.40m
$FETH (Fidelity): –$14.70m
$ETHW (Bitwise): $0.00m
$TET",2026-05-19T02:12:50Z,2026-05-19T02:12:50Z,2026-05-19 10:12:50 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,published_at,2026-05-19T02:12:50Z,2026-05-19 10:12:50 UTC+8,,,,,,pass,
candidate,cand_00017,"黑石以太坊ETF 5月18日净流出26,269 ETH，交易量达5亿美元",2026-05-19T02:12:19Z,2026-05-19T02:12:19Z,2026-05-19 10:12:19 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,published_at,2026-05-19T02:12:19Z,2026-05-19 10:12:19 UTC+8,,,,,,pass,
candidate,cand_00018,JUST IN: Starbucks Korea chief fired over “inappropriate marketing” tied to South Korea’s democracy protest anniversary.,2026-05-19T02:08:00Z,2026-05-19T02:08:00Z,2026-05-19 10:08:00 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,published_at,2026-05-19T02:08:00Z,2026-05-19 10:08:00 UTC+8,,,,,,pass,
candidate,cand_00019,特朗普称“不考虑向德黑兰作出任何让步”,2026-05-19T02:05:26Z,2026-05-19T02:05:26Z,2026-05-19 10:05:26 UTC+8,,,,Asia/Shanghai,source_rule:news:jin10,,published_at,2026-05-19T02:05:26Z,2026-05-19 10:05:26 UTC+8,,,,,,pass,
candidate,cand_00020,The XRP Asian Breakout: Japan And South Korea Lead The Charge | Bitcoinist.com,2026-05-19T02:00:40Z,2026-05-19T02:00:40Z,2026-05-19 10:00:40 UTC+8,,,,Asia/Shanghai,default_china,,published_at,2026-05-19T02:00:40Z,2026-05-19 10:00:40 UTC+8,,,,,,pass,
candidate,cand_00021,🇺🇸 LATEST: The White House is reviewing whether to scrap a decades-old rule designed to ensure investors get the best po,2026-05-19T02:00:18Z,2026-05-19T02:00:18Z,2026-05-19 10:00:18 UTC+8,,,,Asia/Shanghai,source_rule:webhook,,published_at,2026-05-19T02:00:18Z,2026-05-19 10:00:18 UTC+8,,,,,,pass,
