event_id,event_time,title,asset_symbol,event_type,status,parsed_event_time_utc,time_quality_status,quality_status,quality_flags,skip_reason
cand_00027,2026-05-25T09:30:49Z,"Bitcoin Price Rally Over $77,300 Amid Easing U.S.-Iran Conflict",BTC,institutional_flow,partial,2026-05-25T09:30:49Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00032,2026-05-25T09:26:40Z,"TrapDoor attack targets crypto wallets, AWS keys and GitHub tokens - CoinJournal",SOL,hack_security,partial,2026-05-25T09:26:40Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00086,2026-05-25T06:57:07Z,TrapDoor malware campaign steals crypto wallet data through fake developer tools,SOL,hack_security,partial,2026-05-25T06:57:07Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00054,2026-05-25T08:41:14Z,Pi Network for the curious: A beginner's guide,BTC,network_upgrade,partial,2026-05-25T08:41:14Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00093,2026-05-25T06:33:04Z,Brian Armstrong says finance must move on-chain or fall behind,SOL,network_upgrade,partial,2026-05-25T06:33:04Z,pass,warning,"missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_4h, asset_price_24h, asset_price_72h, btc_price_4h, btc_price_24h, btc_price_72h, eth_price_4h, eth_price_24h, eth_price_72h"
cand_00101,2026-05-25T06:05:38Z,Vitalik Buterin says Ethereum Foundation will sell less ETH under leaner plan,ETH,network_upgrade,partial,2026-05-25T06:05:38Z,pass,warning,"missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_24h, asset_price_72h, btc_price_24h, btc_price_72h, eth_price_24h, eth_price_72h"
cand_00102,2026-05-25T05:58:42Z,以太坊月交易笔数超7000万笔，创历史新高；中位数交易费降至0.00554美元，创历史新低,ETH,network_upgrade,partial,2026-05-25T05:58:42Z,pass,warning,"missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_24h, asset_price_72h, btc_price_24h, btc_price_72h, eth_price_24h, eth_price_72h"
cand_00146,2026-05-25T02:15:02Z,全球首發：Citrea（CTR）現已在 KuCoin 上線！,BTC,network_upgrade,partial,2026-05-25T02:15:02Z,pass,warning,"missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h","missing prices: asset_price_24h, asset_price_72h, btc_price_24h, btc_price_72h, eth_price_24h, eth_price_72h"
cand_00003,2026-05-25T10:19:02Z,VALR Gets Provisional Cayman VASP License for Global Expansion,LINK,macro,skipped,2026-05-25T10:19:02Z,pass,fail,"status_skipped,missing_asset_price_1h,missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_1h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h",asset has no computable return
cand_00005,2026-05-25T10:15:05Z,Binance OMS Toolkit: The First Institutional Exchange Solution for Trading Technology Providers,LINK,macro,skipped,2026-05-25T10:15:05Z,pass,fail,"status_skipped,missing_asset_price_1h,missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_1h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h",asset has no computable return
cand_00006,2026-05-25T10:13:00Z,Zcash (ZEC) Isn't So Private? Arkham Reveals Ability to Track Transactions - U.Today,BTC,macro,skipped,2026-05-25T10:13:00Z,pass,fail,"status_skipped,missing_asset_price_1h,missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_1h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h",asset has no computable return
cand_00010,2026-05-25T10:04:35Z,Dogecoin Price Prediction: DOGE Near a Defining Cycle Moment,DOGE,macro,skipped,2026-05-25T10:04:35Z,pass,fail,"status_skipped,missing_asset_price_1h,missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_1h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h",asset has no computable return
cand_00013,2026-05-25T09:59:45Z,"Dormant Bitcoin whale transfers 2,650 BTC to major crypto trading firms",BTC,macro,skipped,2026-05-25T09:59:45Z,pass,fail,"status_skipped,missing_asset_price_1h,missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_1h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h",asset has no computable return
cand_00015,2026-05-25T09:53:48Z,Solana Price Prediction: SOL Reclaims Key Bullish Structure,SOL,macro,skipped,2026-05-25T09:53:48Z,pass,fail,"status_skipped,missing_asset_price_1h,missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_1h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h",asset has no computable return
cand_00019,2026-05-25T09:46:11Z,Ethereum Price Prediction: ETH Near Important Cycle Turning Point,ETH,macro,skipped,2026-05-25T09:46:11Z,pass,fail,"status_skipped,missing_asset_price_1h,missing_asset_price_4h,missing_asset_price_24h,missing_asset_price_72h,missing_btc_price_24h,missing_eth_price_24h,missing_abnormal_vs_btc_1h,missing_abnormal_vs_btc_4h,missing_abnormal_vs_btc_24h,missing_abnormal_vs_btc_72h",asset has no computable return
