entity,asset_symbol,sample_count,first_observed_china,last_observed_china,avg_abs_net_usd,median_abs_net_usd,p95_abs_net_usd,max_abs_net_usd,avg_gross_usd,avg_tx_count,baseline_status
Binance,USDT,4,2026-05-28 11:39:56 UTC+8,2026-05-28 12:48:56 UTC+8,387010361.54,502331160.81,536731427.38,542701093.31,391208186.06,69.25,needs_more_history
Binance,WLD,4,2026-05-28 11:39:56 UTC+8,2026-05-28 12:48:56 UTC+8,342158.8,7000.53,1153448.05,1354613.67,355306.36,1.5,needs_more_history
Binance,UNI,4,2026-05-28 11:39:56 UTC+8,2026-05-28 12:48:56 UTC+8,61786.84,50763.94,123816.96,130821.03,61810.61,2.25,needs_more_history
Binance,ONDO,4,2026-05-28 11:39:56 UTC+8,2026-05-28 12:48:56 UTC+8,46372.77,41334.0,80649.26,84192.37,168136.45,7.75,needs_more_history
Binance,LINK,4,2026-05-28 11:39:56 UTC+8,2026-05-28 12:48:56 UTC+8,46795.17,47686.04,78059.66,78266.27,99413.76,2.75,needs_more_history
Binance,TUSD,3,2026-05-28 12:34:21 UTC+8,2026-05-28 12:48:56 UTC+8,266207.55,266207.55,266207.55,266207.55,266207.55,1.0,needs_more_history
Binance,AAVE,3,2026-05-28 12:34:21 UTC+8,2026-05-28 12:48:56 UTC+8,16457.41,16623.58,28819.74,30174.87,33526.73,2.0,needs_more_history
Binance,LDO,3,2026-05-28 12:34:21 UTC+8,2026-05-28 12:48:56 UTC+8,6872.17,6242.3,12457.0,13147.52,6872.17,1.33,needs_more_history
Bitfinex,SHIB,3,2026-05-28 12:34:21 UTC+8,2026-05-28 12:48:56 UTC+8,4.72,4.72,4.73,4.73,4.72,1.0,needs_more_history
Binance,WBTC,2,2026-05-28 12:34:21 UTC+8,2026-05-28 12:39:18 UTC+8,219263.58,219263.58,219267.79,219268.26,219263.58,1.0,needs_more_history
Binance,SHIB,2,2026-05-28 12:39:18 UTC+8,2026-05-28 12:48:56 UTC+8,47886.87,47886.87,77393.57,80672.09,47891.71,2.0,needs_more_history
Binance,WETH,1,2026-05-28 12:48:56 UTC+8,2026-05-28 12:48:56 UTC+8,3960.02,3960.02,3960.02,3960.02,3960.02,1.0,needs_more_history
