source,url,status,content_type,bytes,json_summary,snippet
coinmarketcap_page,https://coinmarketcap.com/token-unlocks/,200,text/html; charset=utf-8,507403,,"<!DOCTYPE html><html lang=""en"" dir=""ltr""><head><meta charSet=""utf-8""/><meta http-equiv=""x-ua-compatible"" content=""ie=edge""/><meta name=""viewport"" content=""width=device-width, initial-scale=1, maximum-scale=1, user-scalable=no, shrink-to-fit=no""/><meta property=""og:url"" content=""https://coinmarketcap.com/token-unlocks/""/><link rel=""canonical"" href=""https://coinmarketcap.com/token-unlocks/""/><link rel=""alternate"" hrefL"
coinmarketcap_script_hint,https://s2.coinmarketcap.com/v1/cmc/_next/static/chunks/38365-8ff6c5e1fcc5b256.js,200,application/javascript,93832,,/data-api/v3/unified-trending/listing | /data-api/v3/unified-trending/top-boost/listing | data-api/v3/unified-trending/listing | data-api/v3/unified-trending/top-boost/listing
coinmarketcap_script_hint,https://s2.coinmarketcap.com/v1/cmc/_next/static/chunks/47560-e45d55f94ad6026e.js,200,application/javascript,26756,,/data-api/v3/cryptocurrency/info/batch-query-by-ids | /data-api/v3/cryptocurrency/listing | data-api/v3/cryptocurrency/info/batch-query-by-ids | data-api/v3/cryptocurrency/listing
coinmarketcap_script_hint,https://s2.coinmarketcap.com/v1/cmc/_next/static/chunks/75927-f5a92045aed830ae.js,200,application/javascript,66423,,TokenUnlocksIconV2 | Token_Unlocks | Unlocks | UnlocksIconV2 | token-unlocks | token-unlocks/ | token_unlocks_web | unlocks
coinmarketcap_script_hint,https://s2.coinmarketcap.com/v1/cmc/_next/static/chunks/814-bc6d6b7bd96eeffa.js,200,application/javascript,89468,,token-unlocks | token-unlocks/ | token_unlocks_web | unlocks | unlocks/ | unlocks_web
coinmarketcap_script_hint,https://s2.coinmarketcap.com/v1/cmc/_next/static/chunks/92868-2e802bd33f4fb5b4.js,200,application/javascript,25430,,/data-api/v3/business/switch/get | data-api/v3/business/switch/get
coinmarketcap_script_hint,https://s2.coinmarketcap.com/v1/cmc/_next/static/chunks/pages/_app-e80e7d7cfe68ff1c.js,200,application/javascript,2053660,,/data-api/v3/business/switch/get | /data-api/v3/captcha/type | /data-api/v3/chain/block | /data-api/v3/cryptocurrency/detail | /data-api/v3/cryptocurrency/detail/holders/count | /data-api/v3/cryptocurrency/detail/holders/ratio | /data-api/v3/cryptocurrency/listings/historical | /data-api/v3/cryptocurrency/market-pairs/latest
coinmarketcap_script_hint,https://s2.coinmarketcap.com/v1/cmc/_next/static/chunks/pages/token-unlocks-974629bc26599ec6.js,200,application/javascript,132469,,"/data-api/v3/token-unlock/listing | TokenUnlocks | TokenUnlocksTable_table-control-wrapper__FfCU2 | TokenUnlocksTable_tu-action-area__LzK4O | TokenUnlocksTable_tu-table-header__KdL8N | UNLOCK:return | UNLOCK:return(0,r.jsx)(g.Z,{});case | UNLOCK="
coinmarketcap_script_hint,https://s2.coinmarketcap.com/v1/cmc/_next/static/f6v2iNI47n8SiYSoToLvM/_buildManifest.js,200,application/javascript,35627,,token-unlocks | token-unlocks-974629bc26599ec6.js | unlocks | unlocks-974629bc26599ec6.js
api_probe,https://api.llama.fi/emissions,402,text/plain,66,,Upgrade to the paid API plan at https://defillama.com/subscription
api_probe,https://api.llama.fi/api/emissions,404,,0,,
api_probe,https://api.coinmarketcap.com/data-api/v3/token-unlocks,404,text/html,751,,"<!DOCTYPE html> <html> <head> <meta charset=""utf-8"" /> <meta name=""format-detection"" content=""telephone=no,email=no,address=no""> <title>coinmarketcap.com</title> <link rel=""Shortcut Icon"" href=""favicon.ico""> </head> <style> body{margin: 0} .img{width: 611px;margin: 68px auto 0} .info{width: 370px;margin: 0 auto ;text-align: center;} .info h3{margin: 0;font-size: 25px;color: #333;font-weight: normal;} .info p{font-siz"
api_probe,https://api.coinmarketcap.com/data-api/v3/token-unlock,404,text/html,751,,"<!DOCTYPE html> <html> <head> <meta charset=""utf-8"" /> <meta name=""format-detection"" content=""telephone=no,email=no,address=no""> <title>coinmarketcap.com</title> <link rel=""Shortcut Icon"" href=""favicon.ico""> </head> <style> body{margin: 0} .img{width: 611px;margin: 68px auto 0} .info{width: 370px;margin: 0 auto ;text-align: center;} .info h3{margin: 0;font-size: 25px;color: #333;font-weight: normal;} .info p{font-siz"
api_probe,https://api.coinmarketcap.com/data-api/v3/token-unlock/list,404,text/html,751,,"<!DOCTYPE html> <html> <head> <meta charset=""utf-8"" /> <meta name=""format-detection"" content=""telephone=no,email=no,address=no""> <title>coinmarketcap.com</title> <link rel=""Shortcut Icon"" href=""favicon.ico""> </head> <style> body{margin: 0} .img{width: 611px;margin: 68px auto 0} .info{width: 370px;margin: 0 auto ;text-align: center;} .info h3{margin: 0;font-size: 25px;color: #333;font-weight: normal;} .info p{font-siz"
api_probe,https://api.coinmarketcap.com/data-api/v3/token-unlock/calendar,404,text/html,751,,"<!DOCTYPE html> <html> <head> <meta charset=""utf-8"" /> <meta name=""format-detection"" content=""telephone=no,email=no,address=no""> <title>coinmarketcap.com</title> <link rel=""Shortcut Icon"" href=""favicon.ico""> </head> <style> body{margin: 0} .img{width: 611px;margin: 68px auto 0} .info{width: 370px;margin: 0 auto ;text-align: center;} .info h3{margin: 0;font-size: 25px;color: #333;font-weight: normal;} .info p{font-siz"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/token-unlocks,404,text/html,751,,"<!DOCTYPE html> <html> <head> <meta charset=""utf-8"" /> <meta name=""format-detection"" content=""telephone=no,email=no,address=no""> <title>coinmarketcap.com</title> <link rel=""Shortcut Icon"" href=""favicon.ico""> </head> <style> body{margin: 0} .img{width: 611px;margin: 68px auto 0} .info{width: 370px;margin: 0 auto ;text-align: center;} .info h3{margin: 0;font-size: 25px;color: #333;font-weight: normal;} .info p{font-siz"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/unlock/list,404,text/html,751,,"<!DOCTYPE html> <html> <head> <meta charset=""utf-8"" /> <meta name=""format-detection"" content=""telephone=no,email=no,address=no""> <title>coinmarketcap.com</title> <link rel=""Shortcut Icon"" href=""favicon.ico""> </head> <style> body{margin: 0} .img{width: 611px;margin: 68px auto 0} .info{width: 370px;margin: 0 auto ;text-align: center;} .info h3{margin: 0;font-size: 25px;color: #333;font-weight: normal;} .info p{font-siz"
api_probe,https://api.coinmarketcap.com/data-api/v3/cryptocurrency/vesting,404,text/html,751,,"<!DOCTYPE html> <html> <head> <meta charset=""utf-8"" /> <meta name=""format-detection"" content=""telephone=no,email=no,address=no""> <title>coinmarketcap.com</title> <link rel=""Shortcut Icon"" href=""favicon.ico""> </head> <style> body{margin: 0} .img{width: 611px;margin: 68px auto 0} .info{width: 370px;margin: 0 auto ;text-align: center;} .info h3{margin: 0;font-size: 25px;color: #333;font-weight: normal;} .info p{font-siz"
api_probe,"https://api.coinmarketcap.com/data-api/v3/cryptocurrency/listing?start=1&limit=100&sortBy=market_cap&sortType=desc&convert=USD&cryptoType=all&tagType=all&audited=false&aux=ath,atl,high24h,low24h,num_market_pairs,cmc_rank,date_added,max_supply,circulating_supply,total_supply,volume_7d,volume_30d",200,application/json,125141,"dict_keys=data,status","{""data"":{""cryptoCurrencyList"":[{""id"":1,""name"":""Bitcoin"",""symbol"":""BTC"",""slug"":""bitcoin"",""cmcRank"":1,""marketPairCount"":12647,""circulatingSupply"":20035493.00000000,""selfReportedCirculatingSupply"":0,""totalSupply"":20035493.00000000,""maxSupply"":21000000.00000000,""ath"":126198.069603433860000000,""atl"":0.048646540000000000,""high24h"":76014.299804641500000000,""low24h"":72664.319310026750000000,""isActive"":1,""lastUpdated"":""2026-0"
