metric,value
total_input_rows,500
eligible_rows,219
selected_rows,200
limit,200
mode,broad
selected_event_type:macro,160
selected_event_type:hack_security,20
selected_event_type:institutional_flow,5
selected_event_type:other,4
selected_event_type:network_upgrade,3
selected_event_type:token_unlock,3
selected_event_type:halving,3
selected_event_type:staking_governance,2
selected_asset:BTC,152
selected_asset:ADA,20
selected_asset:ETH,15
selected_asset:BNB,7
selected_asset:XRP,2
selected_asset:SOL,2
selected_asset:DOGE,1
selected_asset:AVAX,1
