metric,value
total_input_rows,500
eligible_rows,172
selected_rows,120
limit,120
mode,conservative
selected_event_type:macro,94
selected_event_type:hack_security,10
selected_event_type:institutional_flow,6
selected_event_type:staking_governance,3
selected_event_type:halving,3
selected_event_type:network_upgrade,2
selected_event_type:whale_position,2
selected_asset:BTC,82
selected_asset:HYPE,15
selected_asset:ETH,13
selected_asset:ONDO,3
selected_asset:XRP,2
selected_asset:WLD,2
selected_asset:SOL,1
selected_asset:DOGE,1
selected_asset:BNB,1
