generated_at_china,source,source_family,total_candidates,backtested_count,clean_backtested_count,valid_event_ratio,avg_abnormal_return_24h,top_asset,top_asset_share,source_score,score_reasons,daily_quota,burst_window_limit,recommended_action
2026-05-28 20:06:10 UTC+8,webhook,webhook_news,2087,93,93,0.4605,0.022354,UNKNOWN,0.575,35,"backtested_count>20,promising_needs_validation",5,2,throttle
2026-05-28 20:06:10 UTC+8,news:utoday,news_import,79,14,14,1.0,-0.005316,BTC,0.5316,30,valid_event_ratio>60,5,2,throttle
2026-05-28 20:06:10 UTC+8,news:odaily_exchange_gap,news_import,110,8,8,0.9364,0.016933,BTC,0.4364,30,valid_event_ratio>60,5,2,throttle
2026-05-28 20:06:10 UTC+8,news:99bitcoins,news_import,17,5,5,1.0,4.5e-05,BTC,0.5294,30,valid_event_ratio>60,5,2,throttle
2026-05-28 20:06:10 UTC+8,news:coinpaper,news_import,94,4,4,1.0,0.060196,BTC,0.6489,30,"valid_event_ratio>60,avg_24h>5pct,single_asset_penalty",5,2,throttle
2026-05-28 20:06:10 UTC+8,news:kucoin_ann,news_import,34,3,3,1.0,0.005572,USDT,0.3529,30,valid_event_ratio>60,5,2,throttle
2026-05-28 20:06:10 UTC+8,news:binance_ann,news_import,11,0,0,1.0,0.0,BTC,0.3636,30,valid_event_ratio>60,5,2,throttle
2026-05-28 20:06:10 UTC+8,news:bitmex_ann,news_import,2,0,0,1.0,0.0,UNKNOWN,0.5,30,valid_event_ratio>60,5,2,throttle
2026-05-28 20:06:10 UTC+8,news:kraken_ann,news_import,2,0,0,1.0,0.0,UNKNOWN,0.5,30,valid_event_ratio>60,5,2,throttle
2026-05-28 20:06:10 UTC+8,news:okx_ann,news_import,5,0,0,1.0,0.0,BTC,0.4,30,valid_event_ratio>60,5,2,throttle
2026-05-28 20:06:10 UTC+8,news:bitcoinist,news_import,80,44,44,1.0,0.002147,BNB,0.9,25,"valid_event_ratio>60,backtested_count>20,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:cointelegraph,news_import,106,42,42,1.0,-0.002943,ADA,0.8679,25,"valid_event_ratio>60,backtested_count>20,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:cryptonews,news_import,213,28,28,0.9906,0.005162,BTC,0.6714,25,"valid_event_ratio>60,backtested_count>20,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:decrypt,news_import,58,22,22,1.0,-0.000549,AAVE,1.0,25,"valid_event_ratio>60,backtested_count>20,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,tg:HyperInsight,historical_news,287,7,7,1.0,0.010151,BTC,0.5854,10,"valid_event_ratio>60,known_hype_contamination_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:coinpedia,news_import,46,4,4,1.0,0.003726,BTC,0.6087,10,"valid_event_ratio>60,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:watcherguru,news_import,55,4,4,1.0,0.00754,BTC,0.9091,10,"valid_event_ratio>60,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:coindesk,news_import,30,2,2,0.9333,-0.003081,BTC,0.7667,10,"valid_event_ratio>60,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:cryptonewsflash,news_import,9,1,1,1.0,0.01159,BTC,0.6667,10,"valid_event_ratio>60,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:bitcoinmagazine,news_import,6,0,0,1.0,0.0,BTC,1.0,10,"valid_event_ratio>60,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:bybit_ann,news_import,13,0,0,1.0,0.0,USDT,0.6154,10,"valid_event_ratio>60,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:coinjournal,news_import,17,0,0,1.0,0.0,BTC,0.7059,10,"valid_event_ratio>60,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:dailyhodl,news_import,20,0,0,0.95,0.0,BTC,1.0,10,"valid_event_ratio>60,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,tg:OneMillion_AI,telegram_news,123,0,0,0.8049,0.0,UNKNOWN,0.7154,10,"valid_event_ratio>60,single_asset_penalty",0,0,block
2026-05-28 20:06:10 UTC+8,news:jin10,news_import,1496,0,0,0.4612,0.0,UNKNOWN,0.6156,0,single_asset_penalty,0,0,block
