row_count,standard_field,source_column,source_column_present,non_empty_count,empty_count,sample_value,notes
5000,raw_id,raw_id,true,5000,0,2057430627612287305,
5000,published_at,published_at,true,5000,0,2026-05-21T11:57:41Z,
5000,source_published_at,,false,0,5000,,"source_column_missing,all_empty"
5000,source_timezone,,false,0,5000,,"source_column_missing,all_empty"
5000,title,title,true,5000,0,This is a race we can win. It's the single largest area of growth for DeFi and no one is the market leader. Some of the ,
5000,content,content,true,5000,0,This is a race we can win. It's the single largest area of growth for DeFi and no one is the market leader. Some of the best and brightest teams are chasing it. We have a head start and the right tech,
5000,source,source,true,5000,0,webhook,
5000,url,url,true,2913,2087,https://www.jin10.com/detail/20260521115702577800.html,
5000,language,language,true,0,5000,,all_empty
5000,author,author,true,5000,0,IOHK_Charles,
5000,category,category,true,3403,1597,[],
5000,tags,tags,true,3403,1597,news_article,
