event_id,event_type,event_subtype,asset_symbol,source,event_time_utc,pre_target_6h_utc,asset_price_pre_6h,asset_price_pre_6h_kline_time_utc,btc_price_pre_6h,btc_price_pre_6h_kline_time_utc,pre_asset_return_6h,pre_btc_return_6h,pre_event_abnormal_6h,post_event_abnormal_24h,price_in_ratio,price_in_flag,title
cand_01718,hack_security,exploit_or_theft,LINK,webhook,2026-05-20T05:03:08Z,2026-05-19T23:03:08Z,9.46,2026-05-19T23:04:00Z,76726.75,2026-05-19T23:04:00Z,0.00666,0.001694,0.004965,0.008241,0.375964,none,Bitwise研究院：资金从LayerZero迁移至Chainlink CCIP
cand_01716,hack_security,exploit_or_theft,LINK,webhook,2026-05-20T05:07:25Z,2026-05-19T23:07:25Z,9.46,2026-05-19T23:08:00Z,76758.34,2026-05-19T23:08:00Z,0.006765,0.001845,0.00492,0.008853,0.357222,none,吴说获悉，Bitwise 加密研究院 Ishmael Asad 发文表示，在 rsETH 攻击事件后，资金在从 LayerZero 向 Chainlink CCIP 迁移，其中 LayerZero 日活跃地址数已跌至近三年来的最低点，ZRO
cand_01542,institutional_flow,etf_or_fund_flow,XRP,news:cryptonews,2026-05-20T09:13:26Z,2026-05-20T03:13:26Z,1.3527,2026-05-20T03:14:00Z,76650.15,2026-05-20T03:14:00Z,0.012789,0.0101,0.002689,0.000767,0.778015,severe,"XRP selling pressure fades, but $1.50 still blocks bulls"
cand_01519,institutional_flow,etf_or_fund_flow,XRP,news:cryptonews,2026-05-20T09:40:43Z,2026-05-20T03:40:43Z,1.3567,2026-05-20T03:41:00Z,76771.99,2026-05-20T03:41:00Z,0.011351,0.009897,0.001454,0.000468,0.756332,severe,"XRP ETF rises as bulls target $2, while SHRMiner cloud mining's daily passive income of $5,700 attracts attention"
cand_01388,hack_security,exploit_or_theft,XRP,news:coinpedia,2026-05-20T12:12:37Z,2026-05-20T06:12:37Z,1.3685,2026-05-20T06:13:00Z,77221.41,2026-05-20T06:13:00Z,-0.001388,0.003087,-0.004476,0.000984,0.0,none,Why Is Elizabeth Warren Attacking Ripple? The Answer Reveals Who Really Fears the CLARITY Act
cand_01383,institutional_flow,etf_or_fund_flow,XRP,news:utoday,2026-05-20T12:17:00Z,2026-05-20T06:17:00Z,1.3689,2026-05-20T06:17:00Z,77275,2026-05-20T06:17:00Z,-0.001242,0.002582,-0.003824,0.000782,0.0,none,"XRP Records 100% Uptick in U.S. ETFs, but 105-Day Sideways Drift Blocks Price Breakout - U.Today"
cand_01237,institutional_flow,etf_or_fund_flow,SOL,webhook,2026-05-20T14:14:39Z,2026-05-20T08:14:39Z,84.81,2026-05-20T08:15:00Z,77274.83,2026-05-20T08:15:00Z,0.000354,-0.000513,0.000867,0.015081,0.054362,none,Token Terminal：代币化ETF持有地址增至4.44万个
cand_01211,institutional_flow,etf_or_fund_flow,SOL,news:coinjournal,2026-05-20T14:33:04Z,2026-05-20T08:33:04Z,84.98,2026-05-20T08:34:00Z,77347.22,2026-05-20T08:34:00Z,0.004707,0.000398,0.004309,0.013079,0.247819,none,Jupiter (JUP) price forecast as TVL rises to $2.94B and Metis V8 launch - CoinJournal
cand_01151,institutional_flow,etf_or_fund_flow,SOL,webhook,2026-05-20T15:10:17Z,2026-05-20T09:10:17Z,85,2026-05-20T09:11:00Z,77450.99,2026-05-20T09:11:00Z,0.005647,-0.001623,0.00727,0.01085,0.401229,none,🔥 NEW: Morgan Stanley filed an amended Solana ETF application with $MSOL as the proposed ticker. https://t.co/Qw1LVgdMnE
cand_01092,hack_security,exploit_or_theft,XRP,news:utoday,2026-05-20T15:58:00Z,2026-05-20T09:58:00Z,1.3703,2026-05-20T09:58:00Z,77486.8,2026-05-20T09:58:00Z,0.002773,-0.000534,0.003307,-0.006962,0.0,none,Ripple CLO Alderoty Breaks Down What Clarity Act Really Means for US Market - U.Today
cand_01026,hack_security,exploit_or_theft,SOL,news:cryptonews,2026-05-20T17:00:00Z,2026-05-20T11:00:00Z,84.97,2026-05-20T11:00:00Z,77515.3,2026-05-20T11:00:00Z,0.017418,-0.002581,0.019999,-0.001088,0.0,none,"Drift says insurance fund untouched after attack, withdrawals to resume"
cand_00835,institutional_flow,etf_or_fund_flow,HYPE,webhook,2026-05-20T20:15:00Z,2026-05-20T14:15:00Z,51.019,2026-05-20T14:15:00Z,77235.17,2026-05-20T14:15:00Z,0.029009,0.006371,0.022637,0.114842,0.16466,none,"🚨HYPERLIQUID ETFs SEE $22M INFLOWS IN FIRST WEEK

The first U.S. spot $HYPE ETFs have pulled in $22.3M in net inflows si"
cand_00598,institutional_flow,etf_or_fund_flow,SOL,webhook,2026-05-20T23:27:00Z,2026-05-20T17:27:00Z,86.84,2026-05-20T17:27:00Z,77603,2026-05-20T17:27:00Z,-0.010479,-0.002311,-0.008168,0.01137,0.0,none,吴说获悉，据彭博 ETF 分析师 James Seyffart，Morgan Stanley 今晨提交了 Solana ETF 修订版申请文件，拟使用代码“MSOL”，目前尚未披露管理费率。https://t.co/7BbQCjRkqs
cand_00472,institutional_flow,etf_or_fund_flow,HYPE,webhook,2026-05-21T01:26:23Z,2026-05-20T19:26:23Z,52.633,2026-05-20T19:27:00Z,77526.89,2026-05-20T19:27:00Z,0.08413,0.004347,0.079783,0.008993,0.898701,severe,Grayscale：已提交$HYPE ETF注册申请，过去一周购入51万枚
cand_00430,institutional_flow,etf_or_fund_flow,LINK,webhook,2026-05-21T02:20:41Z,2026-05-20T20:20:41Z,9.606,2026-05-20T20:21:00Z,77548.26,2026-05-20T20:21:00Z,0.014262,0.00591,0.008352,0.010043,0.454021,none,"SpaceX IPO Playbook: 7 Supply Chain Stocks Riding the IPO Wave

The Space Economy is entering its most explosive phase y"
cand_00362,institutional_flow,etf_or_fund_flow,HYPE,webhook,2026-05-21T03:45:03Z,2026-05-20T21:45:03Z,52.805,2026-05-20T21:46:00Z,77643.4,2026-05-20T21:46:00Z,0.070296,0.004988,0.065308,0.022472,0.743997,severe,链上监测：鲸鱼和机构大量购买$HYPE
cand_00361,institutional_flow,etf_or_fund_flow,HYPE,news:odaily_exchange_gap,2026-05-21T03:46:34Z,2026-05-20T21:46:34Z,52.854,2026-05-20T21:47:00Z,77660.31,2026-05-20T21:47:00Z,0.072256,0.004528,0.067728,0.018621,0.784355,severe,多个巨鲸及机构近期持续增持HYPE
