generated_at_china,event_group,btc_regime_trend_14d,sample_count,computed_1h_count,avg_abnormal_vs_btc_1h,win_rate_vs_btc_1h,computed_4h_count,avg_abnormal_vs_btc_4h,win_rate_vs_btc_4h,computed_24h_count,avg_abnormal_vs_btc_24h,win_rate_vs_btc_24h,computed_72h_count,avg_abnormal_vs_btc_72h,win_rate_vs_btc_72h
2026-05-28 19:47:10 UTC+8,etf_or_fund_flow,btc_range,21,21,-0.000365,0.619,21,0.005895,0.5714,21,0.013622,0.9048,21,0.018438,0.5714
2026-05-28 19:47:10 UTC+8,exploit_or_theft,btc_range,36,36,0.000328,0.5,36,0.00172,0.5,36,0.00939,0.6389,36,0.010309,0.5
2026-05-28 19:47:10 UTC+8,halving,btc_range,4,4,-3.2e-05,0.5,4,-0.000595,0.25,4,0.007439,1.0,4,0.022817,1.0
2026-05-28 19:47:10 UTC+8,listing_delisting,btc_range,4,4,0.002363,0.75,4,-0.001284,0.5,4,0.009346,1.0,4,-0.000249,0.5
2026-05-28 19:47:10 UTC+8,needs_taxonomy_review,btc_range,20,20,0.004339,0.7,20,0.00584,0.65,20,0.042162,0.9,20,0.054477,0.85
2026-05-28 19:47:10 UTC+8,rwa_tokenization,btc_range,1,1,-0.004711,0.0,1,0.025535,1.0,1,0.027797,1.0,1,0.098568,1.0
2026-05-28 19:47:10 UTC+8,stablecoin_supply_or_flow,btc_range,7,7,0.005666,0.7143,7,0.008705,0.7143,7,0.026638,0.8571,7,0.024705,0.5714
2026-05-28 19:47:10 UTC+8,staking_or_governance,btc_range,10,10,0.002988,0.8,10,0.007277,0.6,10,0.050738,0.8,10,0.065841,0.8
2026-05-28 19:47:10 UTC+8,upgrade_or_fork,btc_range,9,9,0.003017,0.8889,9,0.003475,0.6667,9,0.010917,1.0,9,0.020469,0.5556
2026-05-28 19:47:10 UTC+8,whale_wallet_position,btc_range,59,59,0.004898,0.6949,59,0.013256,0.6949,59,0.07914,0.8983,59,0.095839,0.9831
