card_family,fixture_record_id,signal_type,is_valid,has_public_card,quality_gate_passed,send_readiness_replay_passed,fixture_workflow_ready,fixture_e2e_passed
liquidation_pressure,liq_v112b_fixture_001_btc_long_pressure,long_liquidation_pressure,True,True,True,True,True,True
liquidation_pressure,liq_v112b_fixture_002_eth_short_pressure,short_liquidation_pressure,True,True,True,True,True,True
liquidation_pressure,liq_v112b_fixture_003_sol_two_sided,two_sided_liquidation_pressure,True,True,True,True,True,True
liquidation_pressure,liq_v112b_fixture_004_invalid_missing_asset,long_liquidation_pressure,False,False,False,False,False,False
liquidation_pressure,liq_v112b_fixture_005_invalid_zero_liquidation,no_significant_pressure,False,False,False,False,False,False
news_event_market_impact,news_001_etf_fund_flow,ETF,True,True,True,True,True,True
news_event_market_impact,news_002_regulation_policy,政策,True,True,True,True,True,True
news_event_market_impact,news_003_security_exploit,安全,True,True,True,True,True,True
news_event_market_impact,news_004_exchange_listing,上线,True,True,True,True,True,True
news_event_market_impact,news_005_macro_liquidity,宏观,True,True,True,True,True,True
news_event_market_impact,news_006_invalid_no_assets,其他,False,False,False,False,False,False
news_event_market_impact,news_007_invalid_already_priced,其他,False,False,False,False,False,False
price_oi_volume_anomaly,pova_fixture_001_btc_Q1_healthy,Q1_healthy,False,False,False,False,False,False
price_oi_volume_anomaly,pova_fixture_002_eth_Q2_deleveraging_up,Q2_deleveraging_up,False,False,False,False,False,False
price_oi_volume_anomaly,pova_fixture_003_sol_Q2_deleveraging_up,Q2_deleveraging_up,False,False,False,False,False,False
price_oi_volume_anomaly,pova_fixture_004_bnb_neutral,neutral,False,False,False,False,False,False
price_oi_volume_anomaly,pova_fixture_005_xrp_Q2_deleveraging_up,Q2_deleveraging_up,False,False,False,False,False,False
price_oi_volume_anomaly,pova_fixture_006_doge_Q2_deleveraging_up,Q2_deleveraging_up,False,False,False,False,False,False
price_oi_volume_anomaly,pova_fixture_007_hype_Q1_healthy,Q1_healthy,True,False,True,True,True,True
